"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"2382","廣達","378","+4.5","+1.2","07/13","+1","+479","2.72","0.01","+36","+326,636","23.8","8.46","+2","+377","1.19","0.01","+1","+2,719","15.4","0.07"
"2377","微星","149.5","+4.5","+3.1","07/13","+3","+19,298","26.3","2.28","+31","+46,870","5.9","5.55","+3","+1,179","1.61","0.14","+17","+53,990","18.3","6.39"
"2633","台灣高鐵","26.45","-0.25","-0.94","07/13","-5","-7,490","-20.2","-0.13","+21","+89,511","35.7","1.59","-3","-399","-1.58","-0.01","-5","-5,599","-15.1","-0.1"
"2886","兆豐金","47","+0.3","+0.64","07/13","+3","+15,552","24.9","0.1","+19","+391,886","47.8","2.64","+1","+688","2.56","0","+14","+86,616","14.2","0.58"
"3596","智易","197","+3","+1.55","07/13","+6","+565","6.59","0.26","+18","+5,560","12.9","2.52","+1","+7","0.87","0","+6","+577","6.71","0.26"
"1303","南亞","199.5","+18","+9.92","07/13","-6","-40,094","-9.63","-0.51","+17","+126,292","10.3","1.59","+3","+4,019","1.26","0.05","+1","+4,181","4.7","0.05"
"6526","達發","682","+30","+4.6","07/13","+1","+143","13.8","0.09","+17","+551","3.86","0.33","+2","+24","1.88","0.01","+1","+220","21.2","0.13"
"1216","統一","78.5","+0.1","+0.13","07/13","+6","+33,486","27.9","0.59","+16","+55,163","20.6","0.97","+11","+5,318","3.12","0.09","+8","+39,143","28.1","0.69"
"2542","興富發","43.25","-0.35","-0.8","07/13","-3","-2,392","-19.1","-0.11","+16","+15,079","9.68","0.69","+2","+55","0.65","0","-3","-1,237","-9.88","-0.06"
"5269","祥碩","1510","+30","+2.03","07/13","+1","+319","32","0.43","+15","+2,319","13.4","3.13","+1","+2","0.21","0","+1","+511","51.3","0.69"
"8046","南電","1270","+55","+4.53","07/13","-3","-5,513","-7.69","-0.85","+14","+18,693","6.22","2.89","-1","-223","-0.87","-0.03","+2","+3,771","7.48","0.58"
"2379","瑞昱","756","-84","-10","07/13","-1","-3,101","-47.6","-0.6","+13","+9,766","11.5","1.89","-1","-38","-0.59","-0.01","-1","-2,510","-38.5","-0.49"
"6548","長科*","84.7","+1.8","+2.17","07/13","-4","-7,306","-18.7","-0.77","+13","+6,923","3.67","0.73","+1","+23","0.31","0","-4","-6,027","-15.4","-0.63"
"1785","光洋科","129","-14","-9.79","07/13","-3","-9,526","-19.6","-1.6","+12","+421","0.19","0.07","-1","-69","-0.24","-0.01","-3","-9,428","-19.4","-1.58"
