股票代號,股票名稱,法人持股,上榜區塊
00401A,主動摩根台灣鑫收,5.2,60日
0050,元大台灣50,7.347476058078468,"60日,120日"
0057,富邦摩台,6.95,"20日,120日"
00634R,富邦上証反1,8.17,60日
00636,國泰中國A50,1.0725553012967202,5日
00640L,富邦日本正2,2.16,"20日,5日"
00643,群益深証中小,16.87,"20日,5日,120日"
00647L,元大S&P500正2,5.734389027431422,60日
00650L,復華香港正2,1.47,"20日,5日"
00652,富邦印度,2.06,20日
00653L,富邦印度正2,3.77,"60日,20日,5日,120日"
00657,國泰日經225,13.21,"60日,20日,5日,120日"
00661,元大日經225,8.268537886872998,"60日,20日,5日,120日"
00665L,富邦恒生國企正2,2.05,"20日,5日"
00673R,期元大S&P原油反1,1.89,20日
00674R,期元大S&P黃金反1,7.18,"60日,120日"
00675L,富邦臺灣加權正2,3.96,"20日,5日"
00678,群益那斯達克生技,4.13,"20日,5日"
00681R,元大美債20反1,18.1,"60日,20日,5日,120日"
00683L,期元大美元指正2,20.32,"60日,20日,5日,120日"
00689R,國泰20年美債反1,45.07,"60日,20日,5日,120日"
00693U,期街口S&P黃豆,3.56,"60日,20日,5日"
00700,富邦恒生國企,4.96,"60日,5日"
00708L,期元大S&P黃金正2,0.8296582999533866,5日
00712,復華富時不動產,1.33,"20日,5日"
00714,群益道瓊美國地產,5.16,"60日,120日"
00731,復華富時高息低波,6.39524886877828,60日
00736,國泰新興市場,24.14,"60日,20日,120日"
00739,元大MSCI A股,2.29,20日
00753L,中信中國50正2,3.11,"20日,5日"
00757,統一FANG+,0.15029307494025157,"20日,5日"
00762,元大全球AI,1.6994412203614657,5日
00763U,期街口道瓊銅,3.95,"5日,120日"
00770,國泰北美科技,1.21,5日
00783,富邦中証500,6.1,20日
00830,國泰費城半導體,5.3758488148210155,"5日,120日"
00865B,國泰US短期公債,3.83,"60日,20日,120日"
00875,國泰網路資安,6.41,"60日,5日,120日"
00876,元大全球5G,0.92,5日
00896,中信綠能及電動車,0.9,20日
00897,富邦基因免疫生技,3.92,"60日,5日,120日"
00902,中信電池及儲能,0.52,5日
00910,第一金太空衛星,6.64,"60日,120日"
00916,國泰全球品牌50,2.49,"20日,5日"
00917,中信特選金融,3.59,"60日,5日,120日"
00918,大華優利高填息30,1.59,20日
00922,國泰台灣領袖50,20.494952156149488,"60日,120日"
00924,復華S&P500成長,0.86,5日
00926,凱基全球菁英55,3.14,"60日,20日"
00935,野村臺灣新科技50,5.634654466601816,120日
00938,凱基優選30,2.36,"20日,5日"
00941,中信上游半導體,0.58,5日
00943,兆豐電子高息等權,24.94,"60日,120日"
00944,野村趨勢動能高息,2.62,60日
00947,台新臺灣IC設計,4.917470057709596,120日
00951,台新日本半導體,2.28,5日
00963,中信全球高股息,3.43,"20日,120日"
00971,野村美國研發龍頭,1.57,5日
00972,野村日本動能高息,18.46,"20日,5日"
00983A,主動中信ARK創新,2.58,5日
00988A,主動統一全球創新,5.368462348830065,"60日,120日"
00990A,主動元大AI新經濟,2.68,5日
00994A,主動第一金台股優,4.7,"60日,20日,120日"
00996A,主動兆豐台灣豐收,5.24,60日
00997A,主動群益美國增長,6.933367584625621,"60日,5日"
1215,卜蜂,39.93741097633476,5日
1232,大統益,2.79250352813127,5日
1301,台塑,32.15747581805908,"20日,120日"
1303,南亞,37.01273296988423,"60日,20日,120日"
1310,台苯,5.675654614459032,20日
1313,聯成,6.9012773828552065,20日
1314,中石化,10.20873796749252,20日
1326,台化,37.873257772701976,120日
1342,八貫,33.65794677579498,"60日,20日,5日,120日"
1402,遠東新,14.847392643893583,20日
1476,儒鴻,30.83220032108732,"20日,5日"
1477,聚陽,12.806323363619729,"20日,5日"
1513,中興電,16.21763571852312,20日
1515,力山,4.41,20日
1516,川飛,5.8,120日
1536,和大,5.492675063531531,"20日,5日"
1560,中砂,40.9818807267707,"60日,20日,120日"
1563,巧新,3.66,60日
1568,倉佑,4.16,"60日,20日,5日,120日"
1590,亞德客-KY,82.32344601563447,"20日,120日"
1597,直得,6.565556301326825,120日
1609,大亞,12.857956064148704,20日
1623,大東電,2.68,"60日,20日,5日"
1707,葡萄王,15.729032573366885,5日
1709,和益,7.17,"60日,20日,5日,120日"
1710,東聯,6.019460109557783,"60日,20日"
1717,長興,11.972414456776372,20日
1718,中纖,7.6,"60日,20日,5日"
1727,中華化,5.268437738720846,20日
1730,花仙子,7.16,5日
1733,五鼎,3.3650024916410364,5日
1734,杏輝,6.29,"20日,5日"
1760,寶齡富錦,11.7123326603958,5日
1762,中化生,3.17,20日
1802,台玻,6.027219965964948,20日
1806,冠軍,8.414095136147088,60日
1809,中釉,1.59,5日
1810,和成,5.543388902039938,20日
2006,東和鋼鐵,19.436072593767324,"20日,5日,120日"
2014,中鴻,6.1060657048580165,60日
2027,大成鋼,23.021064604894736,"60日,120日"
2030,彰源,5.23,"60日,20日,120日"
2031,新光鋼,8.394703448886563,5日
2032,新鋼,3.58,60日
2049,上銀,36.69614875894395,"60日,120日"
2101,南港,6.859715233600609,"60日,5日"
2103,台橡,24.62332405994009,"60日,20日,120日"
2105,正新,7.154104234885113,"20日,5日"
2206,三陽工業,7.103788091113183,20日
2233,宇隆,8.06851129300184,"60日,5日"
2236,百達-KY,53.0,20日
2241,艾姆勒,11.37,60日
2243,宏旭-KY,30.50387617848151,"60日,120日"
2301,光寶科,34.80728162035006,"60日,120日"
2302,麗正,2.263006562465986,5日
2305,全友,6.706467810177579,"60日,120日"
