 排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1801,2754,亞洲藏壽司,71.1,0.7,0.99,26W29,07/17,31.6,0.0,33.5,0.0,66.5,0.0
1802,2887I,台新新光辛特,9.51,0.0,0.0,26W29,07/17,31.9,-0.11,34.0,-0.09,66.0,0.09
1803,4192,杏國,19.2,0.05,0.26,26W29,07/17,33.4,0.0,33.4,0.0,66.6,0.0
1804,1713,國化,43.55,-0.25,-0.57,26W29,07/17,33.4,-0.01,33.4,-0.01,66.6,0.01
1805,6914,阜爾運通,147.5,1.0,0.68,26W29,07/17,32.0,0.0,33.3,0.0,66.7,0.0
1806,6988,威力暘-創,12.65,0.0,0.0,26W29,07/17,29.6,-0.05,33.4,-0.05,66.6,0.05
1807,4958,臻鼎-KY,473.0,-9.0,-1.87,26W29,07/17,30.4,-1.33,32.7,-0.93,67.3,0.93
1808,2109,華豐,14.45,0.0,0.0,26W29,07/17,30.7,-0.02,33.3,-0.02,66.7,0.02
1809,3664,安瑞-KY,7.28,0.58,8.66,26W29,07/17,33.0,-1.82,33.0,-1.82,67.0,1.82
1810,6177,達麗,48.8,1.0,2.09,26W29,07/17,30.1,-1.12,33.1,-0.39,66.9,0.39
1811,1504,東元,66.0,-0.7,-1.05,26W29,07/17,32.5,0.1,33.2,-0.08,66.8,0.08
1812,3284,太普高,21.2,-0.6,-2.75,26W29,07/17,32.5,0.13,32.5,0.13,67.5,-0.13
1813,3168,眾福科,42.45,-0.4,-0.93,26W29,07/17,29.4,0.0,33.2,0.0,66.8,0.0
1814,2603,長榮,207.5,3.5,1.72,26W29,07/17,32.5,-0.37,34.1,-0.68,65.9,0.68
1815,5212,凌網,47.45,0.45,0.96,26W29,07/17,30.3,0.03,33.0,0.03,67.0,-0.03
1816,6196,帆宣,493.5,-14.5,-2.85,26W29,07/17,32.5,0.53,32.9,-0.76,67.1,0.76
1817,4707,磐亞,31.9,-1.95,-5.76,26W29,07/17,31.5,-0.18,33.8,-0.14,66.2,0.14
1818,8349,恒耀,39.7,0.0,0.0,26W29,07/17,31.9,-0.01,33.1,-0.01,66.9,0.01
1819,2477,美隆電,22.35,0.65,3.0,26W29,07/17,30.9,-0.03,33.0,-0.03,67.0,0.03
1820,2317,鴻海,260.0,-4.5,-1.7,26W29,07/17,33.2,0.04,34.0,0.07,66.0,-0.07
1821,9941,裕融,84.3,2.4,2.93,26W29,07/17,32.0,0.0,32.4,-0.29,67.6,0.29
1822,4154,樂威科-KY,11.3,-0.05,-0.44,26W29,07/17,32.9,-1.23,32.9,-1.23,67.1,1.23
1823,3016,嘉晶,98.0,-5.5,-5.31,26W29,07/17,30.5,-0.66,32.4,-0.35,67.6,0.4
1824,2344,華邦電,163.5,-7.5,-4.39,26W29,07/17,32.4,0.1,33.3,0.18,66.7,-0.18
1825,9928,中視,18.2,0.05,0.28,26W29,07/17,28.9,0.0,32.8,0.0,67.2,0.0
1826,1437,勤益控,29.7,0.25,0.85,26W29,07/17,29.0,0.07,33.2,0.07,66.8,-0.07
1827,6592B,和潤企業乙特,94.8,0.1,0.11,26W29,07/17,24.8,0.0,32.8,0.0,67.2,0.0
1828,1104,環泥,26.6,0.15,0.57,26W29,07/17,31.7,-0.09,32.6,-0.32,67.4,0.32
1829,5469,瀚宇博,71.4,0.9,1.28,26W29,07/17,32.1,0.65,33.4,0.6,66.6,-0.6
