排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,020040,元大上櫃ESG龍頭N,12.51,0.0,0.0,07/20,,,,100.0,100.0,14.6,2.23,2.76,8.16,,,3.02
2,00785B,富邦金融投等債,35.08,0.06,0.17,07/20,-1.54,0.42,-0.79,99.2,99.3,98.7,96.8,95.5,91.9,90.6,,94.8
3,00756B,群益投等新興公債,31.88,0.09,0.28,07/20,99.5,98.8,98.2,97.2,93.4,98.6,95.0,89.4,89.9,65.8,,92.0
4,00780B,國泰A級金融債,37.87,0.13,0.34,07/20,12.1,99.0,98.7,97.0,94.6,90.3,76.7,79.4,79.5,59.7,,78.3
5,020038,元大ESG配息N,13.27,-0.24,-1.78,07/20,100.0,90.5,90.5,95.4,90.3,72.1,44.1,46.8,58.0,16.0,,51.7
6,00788B,元大10年IG電能債,30.49,0.0,0.0,07/20,0.0,98.5,97.2,91.3,83.4,75.1,64.4,59.0,45.1,-4.49,,51.0
7,910322,康師傅-DR,23.9,0.45,1.92,07/20,93.0,89.1,88.5,90.5,83.6,34.0,-15.8,-4.6,-3.44,-0.61,-0.31,3.79
8,00787B,元大10年IG醫療債,32.83,0.08,0.24,07/20,-100.0,88.5,91.7,85.4,64.6,66.4,72.7,62.2,37.9,-4.11,,63.6
9,009822,華南永昌未來金融,9.48,-0.05,-0.52,07/20,63.6,63.2,74.7,78.9,73.2,62.2,,,,,,
10,00717,富邦美國特別股,14.86,0.09,0.61,07/20,96.3,84.7,72.6,78.0,64.3,64.0,78.5,68.6,63.6,51.3,,69.0
11,020030,統一智慧電動車N,16.27,-0.58,-3.44,07/20,23.1,-5.26,74.7,77.0,10.0,55.3,26.8,38.5,45.4,74.8,,41.6
12,00916,國泰全球品牌50,26.51,-0.07,-0.26,07/20,89.1,73.7,74.0,75.8,69.5,53.0,-10.3,-7.94,-1.28,-4.2,,-7.66
13,00960,野村全球航運龍頭,17.77,-0.15,-0.84,07/20,86.4,87.1,85.5,75.5,61.8,32.2,38.0,40.6,41.1,,,45.0
14,00712,復華富時不動產,9.03,-0.03,-0.33,07/20,58.7,81.3,77.7,75.1,72.7,53.2,3.99,-10.5,-5.36,-12.8,,-4.68
15,020012,富邦行動通訊N,21.36,-0.1,-0.47,07/20,100.0,100.0,75.0,75.0,75.0,79.3,81.8,66.8,81.3,55.3,,68.2
16,00763U,期街口道瓊銅,33.46,0.38,1.15,07/20,60.7,51.5,66.0,74.1,68.6,15.3,24.2,8.14,-4.71,-3.14,,4.87
17,00786B,元大10年IG銀行債,33.0,-0.03,-0.09,07/20,95.2,96.6,90.8,74.0,49.4,37.1,58.0,57.2,36.5,-6.42,,56.7
18,00682U,期元大美元指數,20.58,-0.01,-0.05,07/20,100.0,99.7,60.7,73.0,9.83,15.9,21.6,10.6,11.3,32.5,,14.7
