代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
6414,樺漢,500.0,-3.0,-0.6,07/24,27,15851,23.7,10.9,0,0,0.0,0.0,3,165,0.8,0.11,21,8253,14.7,5.66
00898,國泰基因免疫革命,9.39,0.06,0.64,07/24,18,7858,44.4,5.59,0,0,0.0,0.0,-5,-526,-17.0,-0.37,18,9668,54.6,6.88
2357,華碩,771.0,2.0,0.26,07/24,17,26659,31.6,3.59,-8,-2208,-6.74,-0.3,2,24,0.35,0.0,17,23173,27.5,3.12
2385,群光,106.5,0.5,0.47,07/24,15,20319,28.1,2.65,1,11,0.26,0.0,-3,-406,-2.85,-0.05,1,216,5.27,0.03
8415,大國鋼,37.9,0.15,0.4,07/24,14,4063,38.4,0.39,0,0,0.0,0.0,0,0,0.0,0.0,14,3525,33.3,0.34
2368,金像電,901.0,-40.0,-4.25,07/24,13,10888,15.8,2.11,-5,-5512,-19.9,-1.07,-1,-160,-3.92,-0.03,1,107,2.64,0.02
2618,長榮航,40.7,-0.15,-0.37,07/24,13,329082,45.7,6.09,1,462,1.48,0.01,1,27,0.09,0.0,15,282357,35.3,5.23
2603,長榮,206.0,2.5,1.23,07/24,12,61733,46.4,2.85,1,10,0.15,0.0,-3,-344,-1.39,-0.02,1,2792,41.3,0.13
8482,商億-KY,49.85,0.4,0.81,07/24,12,36,46.0,0.03,0,0,0.0,0.0,-1,-1,-13.9,0.0,10,35,48.5,0.03
00706L,期元大S&P日圓正2,18.05,-0.16,-0.88,07/24,11,90,0.76,0.06,0,0,0.0,0.0,2,352,18.4,0.23,2,358,18.7,0.23
00931B,統一美債20年,13.34,-0.02,-0.15,07/24,11,5592,24.4,0.25,0,0,0.0,0.0,1,445,36.5,0.02,1,752,61.8,0.03
3045,台灣大,113.5,1.5,1.34,07/24,11,104946,48.3,2.82,1,324,2.37,0.01,-3,-214,-0.61,-0.01,11,93266,43.0,2.5
4904,遠傳,105.5,3.0,2.93,07/24,11,45082,26.9,1.25,1,267,1.54,0.01,-1,-195,-1.12,-0.01,7,28604,25.4,0.79
5213,亞昕,22.0,-0.15,-0.68,07/24,11,1062,34.1,0.15,0,0,0.0,0.0,1,0,0.04,0.0,11,1061,34.1,0.15
00857B,永豐20年美公債,23.06,-0.02,-0.09,07/24,10,6021,44.0,1.14,0,0,0.0,0.0,-2,-390,-24.3,-0.07,1,81,16.1,0.02
1788,杏昌,129.5,-0.5,-0.38,07/24,10,70,23.7,0.16,0,0,0.0,0.0,0,0,0.0,0.0,10,70,23.7,0.16
2347,聯強,88.6,0.8,0.91,07/24,10,41251,46.1,2.47,1,11,0.3,0.0,-3,-219,-1.38,-0.01,10,26610,29.7,1.6
3034,聯詠,507.0,4.0,0.8,07/24,10,18944,30.2,3.11,1,99,2.36,0.02,4,236,1.2,0.04,13,15887,19.6,2.61
3548,兆利,74.5,-0.6,-0.8,07/24,10,442,16.5,0.65,0,0,0.0,0.0,-2,-4,-1.82,-0.01,10,380,14.2,0.56
3679,新至陞,109.5,-0.5,-0.45,07/24,10,100,23.3,0.16,0,0,0.0,0.0,0,0,0.0,0.0,1,13,29.6,0.02
5609,中菲行,79.2,-0.2,-0.25,07/24,10,595,33.8,0.42,0,0,0.0,0.0,0,0,0.0,0.0,10,603,34.3,0.42
6121,新普,382.5,3.5,0.92,07/24,10,4733,39.8,2.56,0,0,0.0,0.0,1,1,0.1,0.0,5,1168,20.9,0.63
00717,富邦美國特別股,14.7,-0.12,-0.81,07/24,9,1026,73.3,0.83,0,0,0.0,0.0,-4,-140,-29.1,-0.11,22,1685,60.2,1.37
00859B,群益0-1年美債,41.61,0.12,0.29,07/24,9,1467,6.45,5.43,0,0,0.0,0.0,-1,-55,-1.75,-0.2,9,1310,5.76,4.85
1402,遠東新,27.35,0.15,0.55,07/24,9,102529,46.2,1.92,1,3226,12.3,0.06,-2,-2135,-4.75,-0.04,9,116351,52.4,2.17
2002,中鋼,19.15,0.2,1.06,07/24,9,170573,40.7,1.08,0,0,0.0,0.0,5,6316,2.36,0.04,9,176307,42.1,1.12
3388,崇越電,74.3,0.8,1.09,07/24,9,1067,23.8,1.37,0,0,0.0,0.0,-6,-156,-4.2,-0.2,9,917,20.5,1.18
8027,鈦昇,197.0,-11.5,-5.52,07/24,9,1364,19.2,1.23,0,0,0.0,0.0,-3,-18,-1.29,-0.02,9,1479,20.8,1.33
8906,花王,26.3,0.25,0.96,07/24,9,23,9.99,0.05,0,0,0.0,0.0,0,0,0.0,0.0,9,23,10.1,0.05
9933,中鼎,40.05,-0.3,-0.74,07/24,9,5026,24.6,0.53,1,7,0.5,0.0,-4,-190,-2.43,-0.02,9,4570,22.4,0.48
9945,潤泰新,26.1,-0.15,-0.57,07/24,9,16512,31.4,0.58,1,26,0.57,0.0,-4,-160,-0.76,-0.01,9,16512,31.4,0.58
1525,江申,66.9,-0.3,-0.45,07/24,8,27,28.6,0.04,0,0,0.0,0.0,0,0,0.0,0.0,2,4,26.7,0.01
2356,英業達,64.5,1.5,2.38,07/24,8,60715,20.2,1.69,1,29,0.07,0.0,-1,-149,-0.34,0.0,7,28877,11.3,0.8
2882,國泰金,97.0,-0.3,-0.31,07/24,8,46322,27.6,0.32,1,875,7.74,0.01,2,251,0.92,0.0,10,40838,19.3,0.28
2883B,凱基金乙特,8.02,0.0,0.0,07/24,8,2906,37.1,0.18,0,0,0.0,0.0,-5,-400,-7.26,-0.03,8,2532,32.3,0.16
3164,景岳,16.4,0.05,0.31,07/24,8,58,27.3,0.07,0,0,0.0,0.0,0,0,0.0,0.0,8,63,29.6,0.07
6469,大樹,80.2,1.6,2.04,07/24,8,748,22.2,0.5,0,0,0.0,0.0,-3,-4,-0.26,0.0,8,757,22.5,0.5
00900,富邦特選高股息30,18.33,-0.1,-0.54,07/24,7,7921,22.9,0.49,0,0,0.0,0.0,19,31444,31.9,1.95,19,48364,49.1,3.0
1476,儒鴻,334.5,0.5,0.15,07/24,7,2699,21.5,0.98,1,39,5.12,0.01,-3,-29,-0.81,-0.01,2,151,7.53,0.06
2065,世豐,32.0,0.0,0.0,07/24,7,27,9.99,0.04,0,0,0.0,0.0,1,0,0.35,0.0,7,36,13.5,0.06
2412,中華電,139.0,1.0,0.72,07/24,7,60652,42.1,0.78,1,696,4.35,0.01,3,1737,4.31,0.02,7,66196,46.0,0.85
2434,統懋,68.8,-1.1,-1.57,07/24,7,146,5.03,0.39,0,0,0.0,0.0,4,52,4.07,0.14,7,199,6.85,0.54
3026,禾伸堂,640.0,-57.0,-8.18,07/24,7,8775,16.2,5.29,-1,-182,-12.8,-0.11,-2,-82,-3.0,-0.05,-1,-166,-11.7,-0.1
5014,建錩,11.2,0.1,0.9,07/24,7,398,18.5,0.22,0,0,0.0,0.0,0,0,0.0,0.0,7,425,19.8,0.23
8114,振樺電,230.0,-2.0,-0.86,07/24,7,2132,16.5,2.79,0,0,0.0,0.0,-2,-11,-0.12,-0.01,7,2373,18.3,3.1
9921,巨大,88.7,3.2,3.74,07/24,7,1628,4.85,0.42,1,2,0.04,0.0,1,14,0.31,0.0,7,1710,5.1,0.44
00653L,富邦印度正2,45.08,-1.12,-2.42,07/24,6,187,12.5,1.3,0,0,0.0,0.0,-2,-65,-32.4,-0.45,-2,-61,-30.4,-0.43
00915,凱基優選高股息30,31.3,-0.13,-0.41,07/24,6,3067,15.4,0.59,0,0,0.0,0.0,1,152,15.5,0.03,19,13694,19.5,2.63
00918,大華優利高填息30,32.5,0.15,0.46,07/24,6,31790,22.5,0.92,0,0,0.0,0.0,5,23909,22.3,0.69,5,50093,46.7,1.44
00981D,主動中信非投等債,10.45,0.0,0.0,07/24,6,10763,35.2,1.97,0,0,0.0,0.0,6,7105,23.2,1.3,6,17868,58.4,3.27
2367,燿華,42.1,-2.0,-4.54,07/24,6,8019,15.2,1.14,0,0,0.0,0.0,5,698,1.8,0.1,6,8426,16.0,1.19
2606,裕民,64.0,0.8,1.27,07/24,6,11702,46.8,1.38,1,2,0.04,0.0,1,148,3.33,0.02,5,8673,40.6,1.03
