排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
601,2323,中環,10.35,-0.25,-2.36,2026,0.0,0.0,11.8,1.82,0.02,-0.26,5.37,1.75,82.9,-3.32,0,0.0
602,2324,仁寶,37.2,0.45,1.22,2026,0.0,0.0,34.5,-7.26,18.7,-2.21,10.5,0.61,36.2,8.86,0,0.0
603,2328,廣宇,45.3,-1.2,-2.58,2026,0.08,0.08,7.91,-10.6,0.0,-0.73,27.6,-0.95,64.4,12.2,0,0.0
604,2329,華泰,45.05,-2.05,-4.35,2026,0.0,0.0,10.8,3.64,0.73,-0.41,37.7,9.84,50.7,-13.1,0,0.0
605,2331,精英,19.25,-0.5,-2.53,2026,0.0,-0.15,7.14,-0.5,0.35,0.35,49.4,0.0,43.2,0.29,0,0.0
606,2337,旺宏,124.0,-5.5,-4.25,2026,2.59,1.03,26.0,12.7,9.14,5.06,2.65,-1.18,59.6,-17.6,0,0.0
607,2340,台亞,30.65,-1.75,-5.4,2026,0.0,0.0,10.9,1.72,1.26,0.17,22.8,-0.16,65.0,-1.73,0,0.0
608,2342,茂矽,39.1,-2.15,-5.21,2026,0.03,0.03,3.2,-4.22,0.61,-0.25,31.3,-0.17,64.9,4.61,0,0.0
609,2344,華邦電,154.5,-6.5,-4.04,2026,3.1,1.85,16.2,5.83,7.13,4.2,29.6,-0.58,44.0,-11.3,0,0.0
610,2345,智邦,2220.0,-105.0,-4.52,2026,6.27,2.58,57.5,-1.02,14.3,0.46,11.9,-0.05,10.1,-1.97,0,0.0
611,2347,聯強,88.6,0.8,0.91,2026,0.0,0.0,33.2,2.53,20.2,-2.78,33.8,1.65,12.8,-1.4,0,0.0
612,2349,錸德,11.25,-0.05,-0.44,2026,0.0,0.0,11.2,-1.66,0.02,0.01,2.82,0.41,85.9,1.24,0,0.0
613,2351,順德,161.0,-3.0,-1.83,2026,1.39,0.05,13.2,1.79,3.39,-1.03,19.2,2.77,62.8,-3.58,0,0.0
614,2352,佳世達,29.2,-0.9,-2.99,2026,0.73,-0.28,9.16,-1.65,4.72,-0.33,24.2,-1.17,61.2,3.43,0,0.0
615,2353,宏碁,30.05,-0.1,-0.33,2026,0.94,0.06,10.4,-11.2,9.24,4.76,9.98,-7.42,69.4,13.8,0,0.0
616,2354,鴻準,57.1,0.1,0.18,2026,1.25,-0.89,12.4,-6.22,1.86,0.09,29.7,-0.2,54.8,7.22,0,0.0
617,2356,英業達,64.5,1.5,2.38,2026,0.37,0.03,12.7,-0.1,10.9,-1.66,21.8,0.89,54.2,0.84,0,0.0
618,2357,華碩,771.0,2.0,0.26,2026,0.0,0.0,33.3,-13.9,30.2,9.43,6.9,-1.82,29.6,6.25,0,0.0
619,2359,所羅門,145.0,3.0,2.11,2026,0.0,0.0,3.5,-0.98,0.0,0.0,14.0,0.92,82.5,0.05,0,0.0
620,2360,致茂,2080.0,-75.0,-3.48,2026,3.34,2.72,59.8,-6.83,10.9,5.09,7.7,2.78,18.2,-3.75,0,0.0
621,2363,矽統,55.3,-1.8,-3.15,2026,0.0,0.0,5.42,-0.58,0.33,0.1,22.0,-1.26,72.3,1.75,0,0.0
622,2364,倫飛,71.2,0.3,0.42,2026,0.0,0.0,14.8,-3.87,0.0,-0.01,36.4,-0.09,48.8,3.97,0,0.0
623,2365,昆盈,30.2,-0.15,-0.49,2026,0.0,0.0,0.52,-1.04,0.14,-0.55,5.09,0.46,94.3,1.13,0,0.0
624,2367,燿華,42.1,-2.0,-4.54,2026,0.01,-0.64,6.54,-2.66,0.3,0.29,12.4,0.52,80.8,2.51,0,-0.03
625,2368,金像電,901.0,-40.0,-4.25,2026,0.0,0.0,25.9,10.4,17.8,-3.94,15.4,0.1,40.9,-6.53,0,0.0
626,2369,菱生,32.9,-1.8,-5.19,2026,0.0,0.0,13.9,0.56,5.66,-0.35,2.65,0.96,77.7,-1.17,0,0.0
627,2371,大同,25.8,-0.55,-2.09,2026,0.02,-0.45,9.01,1.8,0.36,-0.08,28.2,-6.42,62.4,8.37,0,-3.23
628,2373,震旦行,54.0,0.6,1.12,2026,0.0,0.0,1.24,0.41,0.0,0.0,76.9,0.35,21.9,-0.75,0,0.0
629,2375,凱美,131.0,-11.5,-8.07,2026,0.0,0.0,11.8,5.39,0.01,-0.36,18.0,-0.3,70.2,-4.72,0,0.0
630,2376,技嘉,354.5,0.0,0.0,2026,0.0,0.0,17.0,2.83,21.2,-4.54,17.3,-0.36,44.5,2.07,0,0.0
631,2377,微星,146.5,-5.5,-3.62,2026,0.0,0.0,13.8,-11.8,14.4,-9.81,7.6,-4.57,64.2,26.2,0,0.0
632,2379,瑞昱,744.0,-1.0,-0.13,2026,0.0,0.0,46.4,-4.74,26.5,3.31,11.6,-1.14,15.6,2.57,0,0.0
633,2380,虹光,19.5,0.5,2.63,2026,0.0,0.0,0.24,-0.01,0.0,0.0,11.2,-0.09,88.6,0.1,0,0.0
634,2382,廣達,328.0,-8.0,-2.38,2026,0.0,0.0,24.7,5.31,17.9,0.95,24.8,-1.14,32.6,-5.12,0,0.0
635,2383,台光電,4755.0,-340.0,-6.67,2026,9.36,0.9,42.6,7.12,16.9,-2.44,17.7,-0.98,13.4,-4.59,0,0.0
636,2385,群光,106.5,0.5,0.47,2026,0.0,0.0,20.3,-5.33,27.7,-0.76,18.3,-1.19,33.8,7.27,0,0.0
637,2387,精元,38.85,0.0,0.0,2026,0.0,0.0,7.52,-14.5,0.44,-0.17,19.1,3.17,72.9,11.5,0,0.0
638,2388,威盛,74.9,1.5,2.04,2026,0.0,0.0,15.3,0.36,0.03,-0.36,46.8,0.96,37.9,-0.96,0,0.0
