"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"301","6426","統新","市","07/29","","148.5","-14","-8.62","1,385","212","162.5","162","167.5","146.5","12.9","286","6.13","","","","",""
"302","1773","勝一","市","07/29","","148","-6","-3.9","1,405","207","154","154","156","143","8.44","18.5","3.88","","","","",""
"303","3135","凌航","市","07/29","","148","+2.5","+1.72","2,701","385","145.5","148","154","135","13.1","9.28","4.07","","","","",""
"304","6933","AMAX-KY","市","07/29","","148","-9","-5.73","530","79","157","159","161.5","142","12.4","24.8","2.63","","","","",""
"305","6173","信昌電","櫃","07/29","","147","-16","-9.82","455","67.4","163","149.5","149.5","147","1.53","39.4","2.82","","","","",""
"306","6712","長聖","櫃","07/29","","146.5","+2","+1.38","514","74.1","144.5","146.5","147","142","3.46","29.4","5.01","","","","",""
"307","6914","阜爾運通","市","07/29","","146","+0.5","+0.34","91","13.1","145.5","145.5","146","143.5","1.72","14.9","2.8","","","","",""
"308","2731","雄獅","市","07/29","","145","+1.5","+1.05","610","87.4","143.5","144.5","145","142","2.09","8.47","2.53","","","","",""
"309","5287","數字","櫃","07/29","","145","0","0","94","13.7","145","145.5","146","144.5","1.03","10.3","3.54","","","","",""
"310","7730","暉盛-創","市","07/29","","145","-2","-1.36","117","16.8","147","148","150","135.5","9.86","75.5","5.5","","","","",""
"311","7740","熙特爾-創","市","07/29","","145","+4.5","+3.2","211","30.2","140.5","142.5","147.5","140","5.34","20.3","5.32","","","","",""
"312","4571","鈞興-KY","市","07/29","","144.5","-4.5","-3.02","502","72.2","149","149","150.5","140","7.05","16","2.23","","","","",""
"313","6214","精誠","市","07/29","","144","+1","+0.7","3,366","485","143","144.5","147","140.5","4.55","15.1","2.06","","","","",""
"314","2640","大車隊","櫃","07/29","","143","0","0","45","6.41","143","144","146","141.5","3.15","15.5","4.56","","","","",""
"315","6693","廣閎科","櫃","07/29","","142","-13.5","-8.68","1,075","155","155.5","156","157","140","10.9","104","5.63","","","","",""
"316","1303","南亞","市","07/29","","141.5","-15.5","-9.87","106,771","15,603","157","153","156","141.5","9.24","61.3","2.92","","","","",""
"317","7827","漢康-KY創","市","07/29","","141","+1","+0.71","503","69.3","140","141.5","142","133","6.43","","42.86","","","","",""
"318","2412","中華電","市","07/29","","140.5","-0.5","-0.35","36,601","5,157","141","141","142.5","139","2.48","28","2.75","","","","",""
"319","6263","普萊德","櫃","07/29","","140.5","-3.5","-2.43","229","32.3","144","144","146","138.5","5.21","16.9","4.64","","","","",""
"320","3217","優群","櫃","07/29","","140","-5","-3.45","1,035","144","145","145","145","136","6.21","11.2","2.43","","","","",""
"321","3479","安勤","櫃","07/29","","139.5","+1.5","+1.09","2,437","332","138","142","142","130","8.7","20.6","3.13","","","","",""
"322","4572","駐龍","市","07/29","","139","-1.5","-1.07","71","9.78","140.5","143","143","136","4.98","52.7","2.99","","","","",""
"323","6166","凌華","市","07/29","","139","+2","+1.46","5,875","793","137","137.5","140","130","7.3","38.6","5.23","","","","",""
"324","6658","聯策","市","07/29","","138","-6.5","-4.5","811","111","144.5","145","147.5","132","10.7","52.7","3.64","","","","",""
"325","2377","微星","市","07/29","","137.5","-1.5","-1.08","17,643","2,432","139","140.5","144.5","133","8.27","14.4","2.12","","","","",""
"326","5236","凌陽創新","市","07/29","","137.5","-6","-4.18","442","60.8","143.5","142","142.5","133.5","6.27","14.4","3.59","","","","",""
"327","2359","所羅門","市","07/29","","137","+3","+2.24","7,971","1,066","134","134.5","139","127","8.96","70.6","4.08","","","","",""
"328","3265","台星科","櫃","07/29","","137","-12.5","-8.36","1,290","179","149.5","150","151.5","135","11","24","3.09","","","","",""
"329","6720","久昌","櫃","07/29","","137","-1","-0.72","144","18.8","138","137.5","137.5","126","8.33","50","4.72","","","","",""
"330","2316","楠梓電","市","07/29","","136.5","-6","-4.21","3,826","516","142.5","143","146","128.5","12.3","8.83","1.8","","","","",""
"331","3042","晶技","市","07/29","","136.5","-13","-8.7","12,128","1,684","149.5","147.5","150.5","135","10.4","26.1","3.07","","","","",""
"332","6278","台表科","市","07/29","","136.5","-7","-4.88","6,764","920","143.5","144.5","146.5","130.5","11.1","15.6","1.77","","","","",""
"333","7714","創泓科技","櫃","07/29","","136","-6.5","-4.56","362","48.1","142.5","143","143","129","9.82","19.8","5.41","","","","",""
"334","3228","金麗科","櫃","07/29","","135.5","-8.5","-5.9","466","64.5","144","157","157","133.5","16.3","","15.21","","","","",""
"335","1736","喬山","市","07/29","","134.5","+4","+3.07","1,116","146","130.5","132.5","135","127.5","5.75","16.1","2.9","","","","",""
"336","3218","大學光","櫃","07/29","","134","-2","-1.47","339","45.2","136","136.5","137.5","130.5","5.15","11.8","3.11","","","","",""
"337","3555","博士旺","櫃","07/29","","134","-7","-4.96","122","15.9","141","137","140.5","127","9.57","15.6","6.48","","","","",""
"338","6761","穩得","櫃","07/29","","134","-4.5","-3.25","500","65.5","138.5","139","139","126","9.39","19.4","2.85","","","","",""
"339","8227","巨有科技","櫃","07/29","","134","-10","-6.94","911","122","144","146","146","130","11.1","53.2","4.55","","","","",""
"340","3088","艾訊","櫃","07/29","","133.5","+1","+0.75","2,543","332","132.5","134","137.5","125.5","9.06","23.6","2.83","","","","",""
"341","3289","宜特","櫃","07/29","","133.5","-10","-6.97","1,674","225","143.5","144","145","130","10.5","27.6","2.42","","","","",""
"342","5347","世界","櫃","07/29","","133","-14.5","-9.83","28,825","3,970","147.5","147.5","150","133","11.5","31.7","3.63","","","","",""
"343","00647L","元大S&P500正2","市","07/29","","132.25","+0.8","+0.61","55","7.28","131.45","131.9","132.95","131.8","0.87","","0.9923","","","","",""
"344","3004","豐達科","市","07/29","","132","-0.5","-0.38","1,254","162","132.5","132","135","124.5","7.92","24.7","2.33","","","","",""
"345","5474","聰泰","櫃","07/29","","132","-6","-4.35","322","42","138","138.5","138.5","126","9.06","26.2","2.79","","","","",""
"346","2236","百達-KY","市","07/29","","131","-0.5","-0.38","884","111","131.5","132.5","132.5","119","10.3","","3.48","","","","",""
"347","6605","帝寶","市","07/29","","131","+1","+0.77","521","67.5","130","132","133","128","3.85","9.83","1.05","","","","",""
"348","8255","朋程","櫃","07/29","","131","-7","-5.07","1,210","158","138","138","140.5","127","9.78","23","1.71","","","","",""
"349","2351","順德","市","07/29","","130.5","-14","-9.69","4,976","668","144.5","145","145.5","130.5","10.4","57.5","3.28","","","","",""
"350","6438","迅得","市","07/29","","130.5","-5.5","-4.04","998","129","136","138","138.5","126","9.19","23.9","1.9","","","","",""
