排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,3167,大量,486.0,44.0,9.95,07/31,46.8,26.3,24.8,25.7,10.8,3.92,4.57,2.78,0.99,0.44,0.38,2.69
2,3026,禾伸堂,450.0,22.5,5.26,07/31,26.0,29.0,26.8,25.7,9.91,4.37,2.29,1.4,1.03,0.92,1.11,1.38
3,3090,日電貿,125.0,11.0,9.65,07/31,38.3,24.7,27.8,23.4,15.2,18.5,3.14,2.76,2.08,1.83,0.91,2.97
4,6510,精測,2495.0,225.0,9.91,07/31,14.5,22.0,22.9,19.2,15.8,15.0,11.9,10.8,6.98,5.99,3.82,9.61
5,3624,光頡,62.5,5.6,9.84,07/31,10.8,12.4,14.8,19.0,6.78,2.47,1.21,1.03,0.56,0.65,0.78,0.79
6,3532,台勝科,271.5,-6.0,-2.16,07/31,29.6,23.9,20.9,18.2,7.22,3.74,2.47,2.3,1.24,2.09,2.26,1.7
7,5439,高技,199.5,14.0,7.55,07/31,17.9,13.7,14.3,18.0,18.6,8.6,5.57,4.23,2.24,1.24,1.45,3.8
8,6535,順藥,87.0,-1.3,-1.47,07/31,16.3,19.0,18.2,17.7,14.0,11.8,5.85,3.18,0.87,0.45,,2.71
9,6515,穎崴,5815.0,525.0,9.92,07/31,15.9,26.5,22.3,17.5,19.6,17.7,15.0,10.5,5.6,5.42,,9.13
10,6415,矽力*-KY,413.0,37.5,9.99,07/31,19.9,16.0,15.6,16.1,9.92,9.01,3.41,2.83,2.31,2.21,2.29,2.54
11,2368,金像電,793.0,72.0,9.99,07/31,15.9,11.6,11.8,14.5,17.4,14.5,10.2,5.6,4.78,4.28,2.17,6.38
12,6831,邁科,525.0,47.5,9.95,07/31,0.0,12.8,11.8,13.4,14.5,7.62,2.45,1.69,,,,1.59
13,6584,南俊國際,425.5,18.0,4.42,07/31,18.4,20.3,15.3,12.0,7.66,3.11,2.5,1.69,2.09,1.1,,2.78
14,2481,強茂,117.5,10.5,9.81,07/31,0.0,1.23,4.03,11.6,8.02,5.93,2.03,1.91,1.65,1.62,1.61,1.92
15,3551,世禾,170.5,15.5,10.0,07/31,0.0,0.0,15.6,10.8,5.62,1.47,0.84,0.95,0.46,0.18,0.21,0.75
16,6683,雍智科技,927.0,84.0,9.96,07/31,30.4,15.9,14.3,10.6,2.19,1.61,3.07,1.85,1.17,1.28,,1.56
17,8028,昇陽半導體,245.0,17.5,7.69,07/31,0.53,13.0,13.2,9.86,2.38,1.57,0.96,0.63,0.41,0.1,,0.74
