排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1501,6191,精成科,83.5,-1.4,-1.65,26M06,20.9,0.0,41.8,0,0,0.0,0.0,0.0,0,0,20.9,0.0,41.8,0,0
1502,6194,育富,29.7,0.05,0.17,26M06,0.85,0.0,17.8,0,0,0.0,0.0,0.0,0,0,0.85,0.0,17.8,0,0
1503,6195,詩肯,27.15,0.0,0.0,26M06,1.73,83.5,34.5,0,0,0.0,-83.5,0.0,0,0,1.73,0.0,34.5,0,0
1504,6196,帆宣,493.5,-14.5,-2.85,26M06,10.1,0.0,45.9,0,0,0.0,0.0,0.0,0,0,10.1,0.0,45.9,0,0
1505,6198,瑞築,19.6,0.05,0.26,26M06,11.9,0.0,69.4,0,0,0.01,0.0,0.03,0,0,11.9,0.0,69.5,0,0
1506,6201,亞弘電,45.5,-0.2,-0.44,26M06,1.65,0.0,18.5,0,0,0.0,0.0,0.0,0,0,1.65,0.0,18.5,0,0
1507,6202,盛群,59.9,0.6,1.01,26M06,1.58,-45.0,6.87,0,0,0.0,0.0,0.02,0,0,1.59,-45.0,6.89,0,0
1508,6203,海韻電,61.0,0.4,0.66,26M06,0.72,-1487.0,8.73,0,0,0.0,0.0,0.0,0,0,0.72,-1487.0,8.73,0,0
1509,6204,艾華,78.9,2.1,2.73,26M06,0.6,0.0,25.9,0,0,0.0,0.0,0.0,0,0,0.6,0.0,25.9,0,0
1510,6205,詮欣,59.9,0.0,0.0,26M06,1.1,0.0,13.3,0,0,0.0,0.0,0.0,0,0,1.1,0.0,13.3,0,0
1511,6206,飛捷,144.0,-0.5,-0.35,26M06,2.87,0.0,20.1,0,0,0.0,0.0,0.01,0,0,2.88,0.0,20.1,0,0
1512,6208,日揚,81.5,-0.4,-0.49,26M06,1.17,-172.0,12.4,0,0,0.0,0.0,0.04,0,0,1.17,-172.0,12.4,0,0
1513,6210,慶生,17.1,-0.2,-1.16,26M06,0.36,-440.0,10.3,0,0,0.0,-25.1,0.01,0,0,0.36,-465.0,10.3,0,0
1514,6212,理銘,29.35,0.25,0.86,26M06,0.5,0.0,4.86,0,0,0.0,0.0,0.0,0,0,0.5,0.0,4.86,0,0
1515,6213,聯茂,389.0,14.0,3.73,26M06,7.25,0.0,20.0,0,0,0.0,0.0,0.0,0,0,7.25,0.0,20.0,0,0
1516,6214,精誠,146.5,1.0,0.69,26M06,3.61,0.0,13.2,0,0,0.0,0.0,0.0,0,0,3.61,0.0,13.2,0,0
1517,6216,居易,21.9,0.05,0.23,26M06,1.83,0.0,18.8,0,0,0.0,0.0,0.01,0,0,1.83,0.0,18.8,0,0
1518,6218,豪勉,34.3,-0.2,-0.58,26M06,0.63,14.1,9.8,0,0,0.01,-90.9,0.16,0,0,0.64,-76.8,9.96,0,0
1519,6220,岳豐,26.0,-0.65,-2.44,26M06,1.38,0.0,9.43,0,0,0.0,0.0,0.0,0,0,1.38,0.0,9.43,0,0
1520,6223,旺矽,6100.0,-200.0,-3.17,26M06,0.91,59.8,9.25,0,0,0.01,-160.0,0.13,0,0,0.92,-101.0,9.39,0,0
1521,6225,天瀚,25.95,0.75,2.98,26M06,0.69,0.0,24.9,0,0,0.0,0.0,0.0,0,0,0.69,0.0,24.9,0,0
1522,6226,光鼎,22.05,-0.8,-3.5,26M06,1.31,-270.0,11.3,0,0,0.0,0.0,0.0,0,0,1.31,-270.0,11.3,0,0
1523,6227,茂綸,123.0,-2.0,-1.6,26M06,5.15,0.0,67.6,0,0,0.0,0.0,0.0,0,0,5.15,0.0,67.6,0,0
1524,6228,全譜,18.3,0.35,1.95,26M06,1.45,0.0,55.9,0,0,0.0,0.0,0.0,0,0,1.45,0.0,55.9,0,0
1525,6229,研通,23.35,-0.35,-1.48,26M06,0.34,0.0,8.53,0,0,0.0,0.0,0.0,0,0,0.34,0.0,8.53,0,0
1526,6230,尼得科超眾,109.0,-2.0,-1.8,26M06,7.45,0.0,86.3,0,0,0.0,0.0,0.0,0,0,7.45,0.0,86.3,0,0
1527,6231,系微,228.0,-0.5,-0.22,26M06,1.13,0.0,24.8,0,0,0.0,0.0,0.0,0,0,1.13,0.0,24.8,0,0
1528,6234,高僑,34.05,-0.65,-1.87,26M06,0.98,-7857.0,9.8,0,0,0.01,0.0,0.14,0,0,1.0,-7857.0,9.93,0,0
1529,6235,華孚,39.3,0.2,0.51,26M06,5.01,-110.0,25.1,0,0,0.0,0.0,0.01,0,0,5.01,-110.0,25.1,0,0
