排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00717,富邦美國特別股,15.07,0.06,0.4,08/05,73.9,83.8,82.5,80.2,66.9,69.4,73.8,70.6,62.8,46.7,,67.8
2,5324,士開,12.3,0.05,0.41,08/05,72.9,61.8,67.4,68.7,68.0,65.4,43.0,26.8,14.3,2.06,0.91,21.0
3,910322,康師傅-DR,23.65,-0.5,-2.07,08/05,-54.5,-3.28,-3.17,66.8,78.3,80.3,-3.07,13.2,1.11,-0.09,0.13,11.6
4,4127,天良,84.9,7.7,9.97,08/05,15.7,21.0,20.1,63.0,24.4,9.85,5.6,5.14,3.85,0.73,0.3,4.38
5,00836B,永豐10年A公司債,28.55,0.24,0.85,08/05,0.0,21.8,20.9,61.7,46.7,21.4,8.36,9.28,73.4,82.9,,83.0
6,00898,國泰基因免疫革命,9.58,0.14,1.48,08/05,52.5,60.4,58.8,56.9,57.2,46.6,43.1,45.0,39.0,34.5,,42.8
7,8426,紅木-KY,21.5,0.3,1.42,08/05,13.5,40.2,44.9,52.9,46.8,37.4,11.2,6.54,3.74,0.11,0.09,5.96
8,5278,尚凡*,24.4,-0.45,-1.81,08/05,23.1,52.8,56.0,50.9,19.0,11.0,0.94,-0.9,-3.07,-1.68,-1.29,-1.11
9,00987A,主動台新優勢成長,15.18,0.66,4.55,08/05,30.7,22.6,39.7,49.4,16.6,2.35,4.8,2.45,,,,4.53
10,4402,郡都開發,16.9,0.8,4.97,08/05,89.4,58.9,59.9,48.6,35.2,15.5,2.0,1.32,0.75,0.6,0.22,1.38
11,1216,統一,73.2,-0.7,-0.95,08/05,15.6,45.9,43.4,48.2,25.3,9.4,0.81,-0.59,-8.06,-5.02,-5.53,-2.2
12,00995A,主動中信台灣卓越,16.62,0.6,3.75,08/05,31.6,26.1,32.6,47.1,22.1,11.3,7.28,3.19,,,,
13,2618,長榮航,43.8,0.0,0.0,08/05,52.8,37.0,36.1,46.3,41.7,44.9,12.4,8.21,4.74,0.22,0.36,9.44
14,2606,裕民,64.5,1.1,1.74,08/05,61.0,49.8,47.1,45.9,36.6,35.7,21.8,14.6,6.34,1.75,0.74,14.6
15,009819,中信數據及電力,10.42,0.31,3.07,08/05,64.2,54.3,51.1,45.9,39.8,20.5,4.66,,,,,
16,00993A,主動安聯台灣,12.81,0.35,2.81,08/05,33.1,28.7,40.0,45.5,15.0,8.76,10.1,8.3,,,,
17,2453,凌群,53.7,1.0,1.9,08/05,41.6,45.6,35.2,45.3,8.73,-1.91,1.73,1.79,-1.44,0.0,0.07,0.26
18,009801,中信美國創新科技,12.72,0.37,3.0,08/05,58.3,45.5,35.4,45.3,33.3,20.4,16.3,13.5,8.19,,,11.8
19,6782,視陽,199.0,9.0,4.74,08/05,72.3,57.3,49.4,44.6,6.2,-0.47,-9.55,1.38,0.66,0.89,,0.89
20,6189,豐藝,48.8,0.9,1.88,08/05,60.0,58.1,45.0,44.4,13.1,11.0,1.87,1.18,-0.6,0.18,-0.26,0.69
21,00992A,主動群益科技創新,16.55,0.37,2.29,08/05,14.6,15.2,22.2,44.3,23.7,5.94,6.5,2.1,,,,2.22
22,3227,原相,209.5,4.0,1.95,08/05,49.9,54.9,56.0,43.7,27.2,1.97,6.05,5.26,-1.93,0.52,0.17,2.82
23,00668,國泰美國道瓊,64.0,0.95,1.51,08/05,52.0,49.2,47.3,43.5,20.5,12.4,2.34,1.32,0.53,0.0,,0.86
24,00762,元大全球AI,115.3,4.3,3.87,08/05,23.3,15.1,10.8,40.2,6.03,5.66,3.48,9.02,5.74,3.72,,9.77
25,00904,台新臺灣半導體30,39.41,1.28,3.36,08/05,31.3,24.4,25.4,39.9,22.3,4.33,1.77,2.49,1.21,0.31,,1.81
26,3293,鈊象,777.0,3.0,0.39,08/05,45.6,37.4,27.7,39.7,37.7,17.0,-4.77,2.15,-4.12,-3.21,-0.49,2.11
27,8488,吉源-KY,10.05,0.14,1.41,08/05,0.0,20.0,42.1,39.1,46.2,15.3,4.35,3.4,1.28,0.52,,2.28
28,2204,中華,51.5,0.9,1.78,08/05,67.4,40.2,30.7,37.8,24.8,7.16,-5.25,-5.48,-5.02,-2.36,-1.09,-7.44
29,6235,華孚,39.15,0.55,1.42,08/05,50.8,41.6,44.6,37.6,8.14,-7.37,-7.71,-5.29,-2.0,-0.6,-0.03,-3.27
30,4583,台灣精銳,515.0,24.5,4.99,08/05,34.0,14.4,16.6,37.5,34.0,30.2,8.9,3.8,1.1,0.41,,3.85
31,00999A,主動野村臺灣高息,10.75,0.24,2.28,08/05,48.7,35.9,35.9,37.5,14.0,5.02,2.6,,,,,
32,00996A,主動兆豐台灣豐收,13.47,0.55,4.26,08/05,11.8,6.0,8.93,37.2,5.6,-0.41,1.88,,,,,
33,4506,崇友,123.0,0.5,0.41,08/05,10.2,12.3,23.6,37.1,34.8,27.2,18.0,18.0,13.4,1.43,1.23,14.0
34,5876,上海商銀,44.15,0.0,0.0,08/05,-2.72,15.9,21.4,36.7,30.7,31.3,6.4,-1.02,-0.76,0.0,,-2.13
35,6655,科定,120.0,2.5,2.13,08/05,0.0,16.6,27.7,36.7,48.6,33.9,15.9,11.1,2.94,1.81,,8.1
36,009804,聯邦台精彩50,21.61,0.54,2.56,08/05,36.0,13.9,23.6,36.5,9.83,2.85,1.57,3.29,2.55,,,3.12
37,2912,統一超,221.5,0.0,0.0,08/05,37.8,41.5,28.4,36.3,8.42,5.11,-17.9,-7.27,-10.1,-11.3,-7.72,-7.66
38,00894,中信小資高價30,47.12,1.76,3.88,08/05,42.1,34.3,38.9,36.3,19.0,10.4,3.72,1.34,1.02,0.92,,1.04
39,1463,強盛新,17.7,0.0,0.0,08/05,-8.17,-18.3,-15.4,36.2,31.4,36.0,19.6,35.9,12.2,7.24,1.59,35.3
40,2505,國揚,17.7,-0.1,-0.56,08/05,47.8,36.1,32.6,36.0,36.5,20.2,-4.76,-5.41,-8.24,-1.98,-0.89,-5.74
41,3596,智易,187.5,7.0,3.88,08/05,59.8,37.8,47.4,35.9,17.4,12.2,7.36,-5.47,-8.49,2.13,0.48,-7.45
42,009821,野村稀土關鍵資源,13.71,0.52,3.94,08/05,41.5,47.9,37.6,35.8,24.2,8.85,,,,,,
43,00994A,主動第一金台股優,16.25,0.45,2.85,08/05,22.0,10.5,27.7,35.4,5.42,-2.23,1.16,-0.74,,,,
44,2883,凱基金,31.6,1.05,3.44,08/05,59.8,50.0,26.5,34.9,22.9,21.0,-4.8,2.27,6.46,3.19,0.62,5.11
45,4745,合富-KY,12.0,0.0,0.0,08/05,-5.58,8.78,27.2,34.2,26.9,19.5,-1.97,-10.7,-5.42,-5.67,-1.5,-9.29
46,00916,國泰全球品牌50,27.51,0.31,1.14,08/05,29.6,41.0,31.6,34.1,31.7,18.1,4.02,4.17,4.71,2.32,,4.09
47,00645,富邦日本,57.05,1.1,1.97,08/05,38.9,27.4,39.4,33.5,16.6,5.76,2.36,0.89,-0.01,0.0,-0.11,0.67
48,3141,晶宏,74.4,2.6,3.62,08/05,35.3,43.9,41.5,33.4,21.2,4.2,-0.42,0.06,-0.51,0.33,-0.08,0.12
49,00876,元大全球5G,89.65,4.7,5.53,08/05,49.7,32.5,34.8,32.9,3.42,-3.58,-1.42,-0.02,3.33,6.16,,0.27
50,7842,天能綠電,76.1,0.1,0.13,08/05,39.4,38.5,28.2,32.8,28.7,25.6,,,,,,
51,00861,元大全球未來通訊,89.1,4.35,5.13,08/05,77.3,53.9,47.5,32.7,16.8,1.03,6.0,9.27,8.56,9.28,,10.2
52,2414,精技,60.6,1.0,1.68,08/05,23.0,41.6,27.5,32.7,16.3,-6.12,-0.04,1.33,-0.07,0.01,-3.97,0.71
53,5209,新鼎,159.0,3.5,2.25,08/05,25.4,25.4,16.2,32.6,19.8,-1.2,-3.22,-4.61,0.45,-1.06,0.09,-3.22
54,2867,三商壽,9.77,0.01,0.1,08/05,5.09,7.77,12.6,32.5,29.4,32.5,25.8,27.3,23.4,9.53,4.75,27.6
55,1522,堤維西,28.2,-0.05,-0.18,08/05,21.3,22.4,20.0,32.3,11.2,-1.2,-8.19,-10.4,-2.59,-0.81,-0.32,-5.57
56,00965,元大航太防衛科技,26.64,0.63,2.42,08/05,18.5,31.2,28.6,32.2,25.8,15.4,6.03,6.71,3.39,,,6.87
57,00944,野村趨勢動能高息,20.68,0.43,2.12,08/05,88.3,68.8,9.99,31.8,3.96,-3.91,-0.03,2.85,3.74,,,4.11
58,1524,耿鼎,26.4,-0.05,-0.19,08/05,9.79,27.8,25.3,31.8,15.1,-0.9,1.45,0.85,-1.44,0.01,-0.08,0.83
59,6763,綠界科技*,42.2,0.55,1.32,08/05,39.1,22.4,24.6,31.8,22.8,3.39,-0.73,0.99,-0.33,-1.12,,0.42
60,1402,遠東新,26.7,-0.45,-1.66,08/05,14.0,25.2,22.8,31.5,33.9,18.8,-2.71,-6.23,-4.23,-0.02,-0.54,-4.72
61,2610,華航,22.6,0.15,0.67,08/05,34.2,26.1,28.4,31.4,26.4,19.7,9.9,0.79,0.53,0.92,0.18,4.55
62,2385,群光,104.0,0.0,0.0,08/05,13.8,-2.17,4.75,31.4,13.5,23.0,5.11,2.81,2.54,-3.15,-3.18,3.71
63,6914,阜爾運通,147.0,0.5,0.34,08/05,-35.3,-34.6,-33.9,31.3,28.7,16.4,2.05,3.24,1.39,,,-0.23
64,1605,華新,34.85,1.1,3.26,08/05,47.3,39.6,35.9,31.3,6.75,-1.42,1.5,3.07,0.5,-0.45,-0.68,2.72
65,2354,鴻準,55.5,-0.5,-0.89,08/05,4.16,12.7,15.2,31.2,11.4,5.86,-3.11,-2.66,-4.39,-0.93,-1.61,-3.15
66,2347,聯強,97.1,3.3,3.52,08/05,19.8,16.6,12.0,31.1,25.3,18.8,-12.2,-0.48,0.57,0.24,-1.21,2.55
67,7792,安葆,203.5,5.5,2.78,08/05,54.4,31.7,30.8,31.0,30.6,23.2,4.81,2.27,,,,
68,6179,亞通,27.65,1.85,7.17,08/05,43.6,41.9,38.3,31.0,13.1,0.66,3.05,0.64,-0.02,0.28,0.16,0.41
69,00888,永豐台灣ESG,32.09,0.71,2.26,08/05,25.6,14.2,19.3,30.9,6.66,-0.28,0.44,2.31,2.38,2.9,,2.36
70,2376,技嘉,342.0,10.0,3.01,08/05,48.0,51.5,48.2,30.9,13.0,4.45,0.2,5.06,0.45,-0.7,-0.48,2.84
71,5244,弘凱,32.05,0.55,1.75,08/05,30.0,26.8,32.1,30.8,15.6,11.7,0.41,-0.48,-1.58,-0.37,,-0.76
72,1432,大魯閣,15.1,0.05,0.33,08/05,29.4,22.4,20.6,30.5,18.8,5.41,-3.35,-2.56,-1.19,-0.39,-0.01,-1.6
73,6605,帝寶,136.0,2.0,1.49,08/05,46.0,25.2,10.8,30.3,18.7,10.6,-4.65,-8.41,-1.99,-2.11,0.08,-5.53
74,5538,東明-KY,34.05,0.3,0.89,08/05,66.7,33.3,36.0,30.3,27.9,23.3,3.96,5.91,1.43,1.23,1.36,5.31
75,6121,新普,372.5,2.5,0.68,08/05,47.1,45.2,44.6,30.3,26.1,18.2,16.1,11.6,6.79,0.22,-0.61,11.2
76,6118,建達,15.7,0.0,0.0,08/05,34.8,28.4,26.1,30.2,12.5,-0.08,-2.5,-1.18,-0.34,0.35,-0.02,-0.38
77,00700,富邦恒生國企,17.91,0.0,0.0,08/05,26.6,35.3,5.89,30.1,25.4,21.2,10.6,19.5,13.1,4.74,,19.7
78,4771,望隼,192.5,5.0,2.67,08/05,63.0,46.1,40.7,29.8,-7.89,-0.79,4.45,5.61,4.0,,,5.58
79,00895,富邦未來車,50.5,1.25,2.54,08/05,15.8,-9.58,-11.4,29.6,22.5,18.7,12.3,10.4,7.09,5.84,,10.3
80,4303,信立,43.95,0.05,0.11,08/05,9.23,33.8,33.4,29.6,19.7,10.4,3.14,1.18,-1.71,-0.15,-0.13,0.97
81,9912,偉聯,12.85,0.0,0.0,08/05,-19.2,16.4,23.5,29.5,42.6,40.0,18.4,13.0,7.42,2.12,0.51,11.9
82,8349,恒耀,39.9,0.1,0.25,08/05,-7.18,4.93,29.1,29.4,30.6,21.9,5.31,-0.49,-0.21,0.02,0.01,0.45
83,00739,元大MSCI A股,28.32,0.42,1.51,08/05,52.6,25.3,15.7,29.4,14.5,5.71,10.6,13.3,8.12,3.22,,13.1
84,5371,中光電,90.5,7.8,9.43,08/05,34.8,38.6,36.5,29.2,14.6,0.61,1.68,1.03,-0.27,-0.56,-1.41,0.85
85,9937,全國,55.4,0.0,0.0,08/05,-10.3,13.3,12.4,29.2,42.0,40.9,20.9,11.8,2.39,1.01,0.28,9.77
86,2845,遠東銀,13.3,0.0,0.0,08/05,-20.2,-19.1,-21.4,29.0,23.2,20.6,3.11,0.62,-1.5,-0.22,-0.04,-1.59
87,2421,建準,140.5,5.0,3.69,08/05,50.4,33.7,32.0,28.8,16.1,-1.14,0.37,-5.53,-0.18,0.15,0.35,-4.85
88,2753,八方雲集,179.0,0.5,0.28,08/05,-13.1,-25.8,-22.8,28.8,30.5,15.3,0.23,-6.34,-4.89,-1.36,,-10.3
89,009816,凱基台灣TOP50,15.0,0.44,3.02,08/05,35.4,27.1,31.3,28.7,8.27,3.65,0.87,0.3,,,,
90,3611,鼎翰,186.5,2.0,1.08,08/05,5.71,8.7,30.6,28.7,23.7,7.25,4.09,-0.7,2.25,-1.58,-0.13,-3.45
91,1521,大億,25.0,-0.1,-0.4,08/05,56.2,38.6,39.0,28.7,25.9,10.5,-0.92,0.32,-0.43,-0.78,-0.31,-0.33
92,00634R,富邦上証反1,3.08,-0.04,-1.28,08/05,56.5,49.2,39.7,28.6,22.4,7.6,6.59,4.83,2.27,1.02,0.47,3.71
93,6104,創惟,94.2,0.4,0.43,08/05,47.6,43.2,36.0,28.6,13.0,-3.31,4.02,1.85,-3.74,0.28,0.04,0.09
