代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00717,富邦美國特別股,15.07,0.06,0.4,26W32,08/05,58,28874,60.8,23.6,0,0,0.0,0.0,2,180,7.49,0.15,23,18560,74.6,15.2
00772B,中信高評級公司債,33.4,0.22,0.66,26W32,08/05,19,124469,44.4,3.71,0,0,0.0,0.0,4,6440,14.1,0.19,50,266555,40.4,7.93
00900,富邦特選高股息30,18.74,0.36,1.96,26W32,08/05,18,236741,25.3,14.8,0,0,0.0,0.0,18,340734,36.4,21.3,18,585974,62.6,36.7
6657,華安,30.5,-0.15,-0.49,26W32,08/05,13,1871,14.2,2.11,0,0,0.0,0.0,-1,-2,-1.04,0.0,13,1869,14.2,2.1
2645,長榮航太,196.5,8.5,4.52,26W32,08/05,12,16636,7.27,4.44,-4,-4112,-3.97,-1.1,-1,-22,-0.32,-0.01,2,1663,7.58,0.44
2646,星宇航空,21.3,0.15,0.71,26W32,08/05,12,48375,12.9,1.61,-1,-1782,-12.3,-0.06,-1,-415,-2.87,-0.01,-1,-1773,-12.3,-0.06
8467,波力-KY,98.5,-0.5,-0.51,26W32,08/05,12,189,18.6,0.39,0,0,0.0,0.0,-1,-3,-7.92,-0.01,12,189,18.6,0.39
00898,國泰基因免疫革命,9.58,0.14,1.48,26W32,08/05,11,20663,44.3,14.7,0,0,0.0,0.0,-1,-428,-28.0,-0.3,26,43592,49.4,31.0
00942B,台新美A公司債20+,14.16,0.11,0.78,26W32,08/05,11,287244,78.5,14.4,0,0,0.0,0.0,1,200,7.01,0.01,4,6178,25.9,0.31
4438,廣越,60.5,0.0,0.0,26W32,08/05,11,372,10.9,0.33,0,0,0.0,0.0,-1,-4,-3.39,0.0,11,359,10.5,0.32
1565,精華,93.2,0.6,0.65,26W32,08/05,10,512,7.03,1.02,0,0,0.0,0.0,2,8,0.67,0.02,10,519,7.12,1.03
2887E,台新新光戊特一,48.75,0.05,0.1,26W32,08/05,10,1079,8.76,0.22,0,0,0.0,0.0,0,0,0.0,0.0,10,1079,8.76,0.22
5324,士開,12.3,0.05,0.41,26W32,08/05,10,9070,55.0,4.01,0,0,0.0,0.0,1,0,0.01,0.0,10,9070,55.0,4.01
00916,國泰全球品牌50,27.51,0.31,1.14,26W32,08/05,9,11189,6.83,9.65,0,0,0.0,0.0,7,25169,39.8,21.7,7,35211,55.6,30.4
00918,大華優利高填息30,33.66,0.41,1.23,26W32,08/05,9,129464,6.8,3.82,0,0,0.0,0.0,7,232800,22.8,6.87,7,353111,34.5,10.4
2006,東和鋼鐵,78.4,-4.1,-4.97,26W32,08/05,9,56770,33.8,7.77,-1,-466,-2.52,-0.06,-1,-175,-0.95,-0.02,5,22399,28.5,3.07
2434,統懋,60.1,5.4,9.87,26W32,08/05,9,1258,4.07,3.4,0,0,0.0,0.0,3,71,1.34,0.19,9,1334,4.32,3.61
3714,富采,55.1,1.4,2.61,26W32,08/05,9,22569,5.36,3.06,0,0,0.0,0.0,-1,-50,-0.28,-0.01,9,21432,5.09,2.9
00652,富邦印度,34.45,0.04,0.12,26W32,08/05,8,3270,23.1,5.23,4,343,5.28,0.55,4,1250,19.2,2.0,12,7344,32.0,11.7
1203,味王,47.8,-0.65,-1.34,26W32,08/05,8,344,26.1,0.14,0,0,0.0,0.0,-1,-22,-16.4,-0.01,8,333,25.3,0.14
1235,興泰,36.05,0.15,0.42,26W32,08/05,8,188,16.4,0.1,0,0,0.0,0.0,-1,-12,-19.9,-0.01,-1,-7,-11.6,0.0
1341,富林-KY,59.4,0.8,1.37,26W32,08/05,8,43,13.9,0.08,0,0,0.0,0.0,-1,-3,-21.9,-0.01,0,0,0.0,0.0
1454,台富,12.95,-0.05,-0.38,26W32,08/05,8,132,12.5,0.1,0,0,0.0,0.0,-1,-9,-23.2,-0.01,-1,-6,-15.5,0.0
