證券代號,證券名稱,交易別,成交價,成交股數,成交金額
2033,佳大,配對交易,17.60,"2,198,000","38,684,800"
2059,川湖,配對交易,"10,019.81","16,000","160,316,960"
2330,台積電,配對交易,"2,382.75","6,694","15,950,128"
2330,台積電,配對交易,"2,382.67","6,306","15,025,117"
2330,台積電,配對交易,"2,374.72","133,000","315,837,760"
2330,台積電,配對交易,"2,373.49","24,840","58,957,492"
2330,台積電,配對交易,"2,373.46","29,160","69,210,094"
2330,台積電,配對交易,"2,371.32","7,000","16,599,240"
2330,台積電,配對交易,"2,367.50","53,000","125,477,500"
2330,台積電,配對交易,"2,366.88","8,000","18,935,040"
2330,台積電,配對交易,"2,365.00","1,100,000","2,601,500,000"
2344,華邦電,配對交易,170.49,"146,000","24,891,540"
2345,智邦,配對交易,"2,415.08","7,000","16,905,560"
2377,微星,配對交易,150.00,"100,000","15,000,000"
2377,微星,配對交易,136.00,"509,000","69,224,000"
2412,中華電,配對交易,136.91,"619,000","84,747,290"
2412,中華電,配對交易,136.90,"165,000","22,588,500"
2449,京元電子,配對交易,249.75,"79,000","19,730,250"
2461,光群雷,配對交易,18.55,"2,000,000","37,100,000"
2882,國泰金,配對交易,98.31,"166,000","16,319,460"
2882,國泰金,配對交易,98.30,"230,000","22,609,000"
2887,台新新光金,配對交易,34.92,"594,000","20,742,480"
2891,中信金,配對交易,65.64,"253,000","16,606,920"
2891,中信金,配對交易,64.80,"8,700,000","563,760,000"
3036,文曄,配對交易,231.00,"940,000","217,140,000"
總計,,,,"18,090,000","4,583,859,131"
