排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,2405,輔信,16.15,-0.15,-0.92,967,08/06,0.0,0.0,14.7,3800.0,160.0,,1200.0,44.4,-71.3,62.5
2,9904,寶成,23.75,0.3,1.28,12631,08/06,2517.0,897.0,866.0,3594.0,20833.0,10367.0,476.0,666.0,810.0,419.0
3,3438,類比科,61.3,0.4,0.66,572,08/06,16.7,23.5,23.5,2000.0,950.0,,31.2,320.0,2000.0,320.0
4,2204,中華,50.7,-0.8,-1.55,3635,08/06,567.0,233.0,900.0,1900.0,400.0,400.0,,0.0,-84.6,-75.6
5,2059,川湖,10100.0,630.0,6.65,698,08/06,26.7,11.8,660.0,1800.0,1800.0,3700.0,217.0,1167.0,40.7,280.0
6,8358,金居,384.0,34.5,9.87,20821,08/06,42.2,81.8,311.0,1775.0,426.0,-1.32,-68.9,-90.3,-94.9,-93.2
7,1216,統一,73.0,-0.2,-0.27,22305,08/06,-5.26,800.0,1700.0,1700.0,350.0,100.0,-14.3,-53.8,1700.0,28.6
8,5202,力新,12.4,-0.1,-0.8,227,08/06,0.0,167.0,1500.0,1500.0,0.0,-20.0,220.0,,1500.0,1500.0
9,00995A,主動中信台灣卓越,16.84,0.22,1.32,3708,08/06,0.0,0.0,0.0,1400.0,25.0,-21.1,36.4,,,
10,4142,國光生,17.15,0.0,0.0,1398,08/06,0.0,75.0,1300.0,1300.0,600.0,-30.0,1300.0,-65.9,-56.2,-69.6
11,3033,威健,47.85,1.95,4.25,6866,08/06,,,,1290.0,-21.1,42.4,-42.2,96.0,,132.0
12,6168,宏齊,24.7,-0.5,-1.98,1646,08/06,-1.47,8.06,48.9,1240.0,-77.5,-88.3,116.0,272.0,509.0,379.0
13,4971,IET-KY,480.0,18.0,3.9,4513,08/06,457.0,550.0,609.0,1200.0,,767.0,500.0,-87.3,-86.1,-90.8
14,3006,晶豪科,258.0,19.0,7.95,30664,08/06,31.0,86.7,172.0,1181.0,125.0,588.0,86.7,-57.6,191.0,-70.9
15,006208,富邦台50,236.55,-1.7,-0.71,3757,08/06,300.0,500.0,500.0,1100.0,300.0,-25.0,-61.3,-71.4,-33.3,200.0
16,1519,華城,662.0,-1.0,-0.15,911,08/06,10.0,,,1000.0,10.0,-45.0,0.0,-95.7,-97.7,-95.5
17,2345,智邦,2410.0,25.0,1.05,4045,08/06,22.2,22.2,0.0,1000.0,22.2,-31.2,-72.5,-91.3,-95.0,-94.4
18,2495,普安,39.0,0.7,1.83,1682,08/06,-18.5,-12.0,29.4,1000.0,,-84.3,-61.4,-87.5,267.0,-95.8
19,6158,禾昌,16.85,-0.35,-2.03,96,08/06,1000.0,1000.0,1000.0,1000.0,,,,,,
20,8054,安國,83.4,0.2,0.24,793,08/06,-38.9,83.3,175.0,1000.0,10.0,-59.3,-71.8,-98.1,-98.9,-98.7
21,8936,國統,52.3,0.2,0.38,681,08/06,1000.0,1000.0,1000.0,1000.0,1000.0,-80.2,83.3,1000.0,22.2,340.0
22,6831,邁科,656.0,59.0,9.88,1440,08/06,19.2,34.8,72.2,933.0,520.0,,,,,
23,4716,大立,17.2,0.2,1.18,456,08/06,-26.4,-45.3,167.0,814.0,0.0,-76.2,1.59,-71.7,1180.0,-74.6
24,6530,創威,77.3,-4.8,-5.85,1603,08/06,92.3,178.0,212.0,733.0,1150.0,1150.0,-83.0,-13.8,-37.5,-56.9
25,2449,京元電子,249.0,2.0,0.81,15016,08/06,125.0,129.0,180.0,711.0,,-40.1,-38.1,-81.1,-49.1,-85.1
26,2006,東和鋼鐵,86.2,7.8,9.95,11103,08/06,343.0,244.0,417.0,675.0,3000.0,,182.0,1450.0,675.0,1450.0
27,3147,大綜,244.5,-27.0,-9.94,699,08/06,280.0,1800.0,3700.0,660.0,660.0,850.0,3700.0,1800.0,-17.4,1800.0
28,5289,宜鼎,1610.0,145.0,9.9,3695,08/06,112.0,300.0,300.0,620.0,300.0,800.0,12.5,-67.6,1700.0,-81.4
29,00987A,主動台新優勢成長,15.42,0.24,1.58,1787,08/06,40.0,40.0,40.0,600.0,-30.0,-70.8,-76.7,,,
30,1789,神隆,18.65,-0.75,-3.87,1655,08/06,,,600.0,600.0,,600.0,,-72.0,,250.0
31,9958,世紀鋼,110.5,3.5,3.27,1618,08/06,40.0,55.6,16.7,600.0,600.0,-79.1,-60.0,-57.6,,-84.8
32,3211,順達,356.5,32.0,9.86,10611,08/06,208.0,321.0,357.0,596.0,49.5,596.0,281.0,-59.7,-82.2,-74.5
33,6213,聯茂,375.0,34.0,9.97,30618,08/06,80.0,184.0,358.0,590.0,164.0,136.0,46.7,91.2,90.4,76.0
34,6488,環球晶,872.0,0.0,0.0,11174,08/06,-21.1,-5.8,30.0,572.0,-55.8,38.3,-43.6,167.0,353.0,474.0
35,2436,偉詮電,61.4,0.4,0.66,4713,08/06,17.9,276.0,249.0,550.0,271.0,153.0,4.23,5673.0,-8.61,5536.0
36,4540,全球傳動,55.8,2.2,4.1,4447,08/06,24.7,49.2,160.0,550.0,-9.9,250.0,-40.5,-28.3,-59.7,250.0
37,6715,嘉基,360.0,-11.5,-3.1,644,08/06,-13.6,-13.6,11.8,533.0,,,-72.5,375.0,,850.0
38,00653L,富邦印度正2,48.92,0.01,0.02,114,08/06,20.0,500.0,500.0,500.0,500.0,20.0,-62.5,-68.4,-72.7,-71.4
39,1733,五鼎,31.85,0.0,0.0,91,08/06,0.0,0.0,0.0,500.0,500.0,,,0.0,0.0,0.0
40,5474,聰泰,148.5,-0.5,-0.34,135,08/06,0.0,200.0,200.0,500.0,500.0,,-80.6,,500.0,
41,6937,天虹,262.5,2.5,0.96,277,08/06,0.0,50.0,50.0,500.0,-33.3,,-64.7,20.0,200.0,50.0
42,8299,群聯,2025.0,180.0,9.76,5666,08/06,458.0,657.0,1078.0,489.0,489.0,3433.0,-17.8,-15.9,32.5,-75.6
43,6805,富世達,1760.0,160.0,10.0,3155,08/06,250.0,218.0,338.0,483.0,218.0,169.0,6.06,-67.0,-83.1,-67.6
44,2354,鴻準,61.0,5.5,9.91,30110,08/06,152.0,173.0,132.0,483.0,604.0,1778.0,-61.0,238.0,-35.0,138.0
45,8021,尖點,417.5,21.5,5.43,9987,08/06,41.3,5.95,114.0,456.0,456.0,109.0,-60.2,1.14,-95.5,-94.0
46,4807,日成-KY,34.2,-2.45,-6.68,381,08/06,0.0,0.0,0.0,450.0,267.0,22.2,,1000.0,-21.4,1000.0
47,5351,鈺創,103.0,6.5,6.74,48869,08/06,43.0,120.0,243.0,434.0,143.0,48.0,221.0,72.9,171.0,17.6
48,9907,統一實,14.4,-0.15,-1.03,5829,08/06,421.0,357.0,377.0,433.0,7367.0,2700.0,2389.0,,672.0,22300.0
49,4722,國精化,230.0,12.0,5.5,1416,08/06,9.38,34.6,41.9,425.0,28.0,-9.48,-15.3,-68.5,-41.0,-87.5
50,6274,台燿,1530.0,60.0,4.08,16758,08/06,6.54,21.6,233.0,409.0,213.0,98.8,-81.8,-89.1,-94.9,-91.9
51,1907,永豐餘,30.35,0.6,2.02,3007,08/06,200.0,150.0,400.0,400.0,1400.0,,,650.0,650.0,400.0
52,5392,能率,46.2,-0.2,-0.43,7510,08/06,13.7,219.0,219.0,388.0,388.0,-13.5,66.0,10.7,-79.7,-58.5
53,6191,精成科,84.9,0.5,0.59,2528,08/06,0.81,-2.36,0.0,377.0,188.0,,265.0,-50.0,-87.7,-84.0
54,8039,台虹,216.0,-4.0,-1.82,29210,08/06,-1.66,13.4,36.0,364.0,-57.0,12185.0,2181.0,371.0,391.0,57.0
55,7777,能率亞洲,41.7,-0.7,-1.65,2482,08/06,64.3,64.3,229.0,360.0,-28.1,1050.0,,,,
56,3543,州巧,36.6,3.3,9.91,4535,08/06,86.5,60.3,47.0,351.0,,1193.0,1193.0,743.0,-87.3,140.0
57,3131,弘塑,2385.0,40.0,1.71,1454,08/06,,,,350.0,,-52.6,-50.0,800.0,,800.0
58,3550,聯穎,22.8,0.25,1.11,2138,08/06,0.0,-30.8,50.0,350.0,-25.0,-93.8,-88.0,-65.4,-52.6,-90.9
59,4526,東台,30.15,-0.55,-1.79,1089,08/06,-1.22,0.0,65.3,350.0,2600.0,-15.6,2.53,-83.7,-94.0,-74.4
60,2233,宇隆,204.0,-20.0,-8.93,3180,08/06,420.0,2500.0,2500.0,333.0,333.0,-33.3,-55.9,-72.3,73.3,-49.0
61,3693,營邦,537.0,36.0,7.19,1168,08/06,23.8,23.8,189.0,333.0,36.8,160.0,189.0,-67.9,-61.8,62.5
62,2399,映泰,42.7,3.35,8.51,11731,08/06,10.8,8.17,81.5,333.0,63.0,-31.6,-22.9,302.0,-24.2,-27.9
63,2486,一詮,229.0,10.5,4.81,6890,08/06,2.15,7.97,57.2,315.0,121.0,241.0,2.15,-54.3,-8.37,-41.3
64,1608,華榮,34.4,1.0,2.99,9789,08/06,12.1,-14.0,76.2,311.0,,1750.0,270.0,-60.2,147.0,-75.2
65,00951,台新日本半導體,18.07,-0.57,-3.06,3689,08/06,-14.3,20.0,71.4,300.0,-40.0,9.09,-75.0,,-7.69,1100.0
66,1434,福懋,17.1,-0.15,-0.87,1928,08/06,-20.0,-20.0,33.3,300.0,-92.0,33.3,,-60.0,33.3,
67,3580,友威科,78.6,-0.3,-0.38,158,08/06,33.3,100.0,100.0,300.0,0.0,-66.7,-71.4,300.0,-20.0,-69.2
68,6223,旺矽,6300.0,55.0,0.88,650,08/06,33.3,50.0,33.3,300.0,100.0,,300.0,-88.9,-90.8,-92.3
69,6605,帝寶,138.0,2.0,1.47,438,08/06,0.0,0.0,-11.1,300.0,,,700.0,,-87.5,167.0
70,3081,聯亞,2375.0,215.0,9.95,5145,08/06,152.0,178.0,178.0,290.0,74.5,16.3,54.7,-66.4,-19.2,-66.7
71,2340,台亞,32.45,-0.9,-2.7,3213,08/06,-20.5,10.0,230.0,288.0,26.9,-25.0,-74.8,-81.7,50.0,-85.1
72,5443,均豪,95.2,0.5,0.53,706,08/06,-9.28,2.33,7.32,283.0,-31.2,69.2,-5.38,-12.9,-56.9,87.2
73,5871,中租-KY,109.0,-3.0,-2.68,7375,08/06,2000.0,2000.0,950.0,282.0,,23.5,2000.0,162.0,320.0,-67.4
74,6620,漢達,85.9,-3.4,-3.81,511,08/06,58.3,58.3,35.7,280.0,1800.0,,,,,
75,00990A,主動元大AI新經濟,15.83,-0.37,-2.28,15497,08/06,-7.34,94.2,231.0,274.0,127.0,31.2,50.7,963.0,,-98.3
76,00935,野村臺灣新科技50,55.9,0.05,0.09,6282,08/06,9.52,17.9,80.4,268.0,-30.8,-19.3,67.3,9100.0,100.0,2200.0
77,3624,光頡,75.6,0.8,1.07,1008,08/06,-7.14,-27.8,-22.0,255.0,69.6,,-4.88,-36.1,144.0,-84.3
78,6895,宏碩系統,117.0,-1.5,-1.27,45,08/06,0.0,0.0,600.0,250.0,61.5,50.0,110.0,-82.8,23.5,-87.6
79,00403A,主動統一升級50,9.91,0.1,1.02,183979,08/06,10.2,34.1,66.7,229.0,211.0,216.0,,,,
80,3591,艾笛森,21.6,-0.85,-3.79,2447,08/06,0.0,4.55,229.0,229.0,188.0,229.0,91.7,,109.0,
81,2049,上銀,362.0,-3.0,-0.82,12613,08/06,0.0,33.0,93.5,224.0,366.0,,-16.3,217.0,119.0,314.0
82,4439,冠星-KY,102.0,0.5,0.49,4,08/06,0.0,220.0,220.0,220.0,220.0,,300.0,6.67,,0.0
83,3032,偉訓,84.4,-2.7,-3.1,1705,08/06,-13.6,111.0,111.0,217.0,0.0,-9.52,-5.0,-68.9,0.0,-59.6
84,6214,精誠,145.5,-7.5,-4.9,4458,08/06,-32.1,-29.6,-67.8,217.0,1800.0,850.0,,138.0,58.3,138.0
85,4931,新盛力,218.5,19.5,9.8,5791,08/06,56.4,53.8,73.9,215.0,226.0,937.0,97.2,-53.2,-89.2,-83.3
86,1514,亞力,101.5,0.0,0.0,1182,08/06,-4.35,0.0,0.0,214.0,-31.2,-83.1,-46.3,-92.3,-93.1,-83.7
87,6016,康和證,20.3,-0.6,-2.87,4041,08/06,21.2,9.59,8.11,214.0,,122.0,700.0,742.0,,1900.0
88,3017,奇鋐,2940.0,210.0,7.69,9419,08/06,41.6,67.7,65.2,211.0,132.0,78.7,289.0,-72.3,-90.3,-74.7
89,6538,倉和,150.0,-6.5,-4.15,1829,08/06,-2.41,4.14,22.9,208.0,1077.0,1077.0,36400.0,36400.0,7200.0,72900.0
