排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2409,友達,24.45,0.0,0.0,205885,08/05,-220,436,225,6434,-15421,-14242,-13115.0,-8926.0,6173.0,5248.0
2,3149,正達,65.4,-0.4,-0.61,22517,08/05,3690,5196,5372,6395,6551,10135,10403.0,10227.0,10463.0,10382.0
3,00631L,元大台灣50正2,34.15,2.0,6.22,392064,08/05,558,1287,-171,4256,-483,-2405,2232.0,15274.0,13281.0,15708.0
4,00403A,主動統一升級50,9.81,0.27,2.83,337665,08/05,854,1622,3305,2844,2623,3404,,,,
5,6116,彩晶,14.2,1.25,9.65,36172,08/05,-643,-504,-49,2202,4322,-1838,8944.0,8446.0,8913.0,8800.0
6,2436,偉詮電,61.0,2.0,3.39,10016,08/05,1379,1329,1591,1583,1530,1013,-187.0,1968.0,-559.0,1966.0
7,6770,力積電,66.1,6.0,9.98,240808,08/05,4025,5423,5841,1518,6564,7183,7363.0,10223.0,8321.0,-7361.0
8,6547,高端疫苗,52.1,4.7,9.92,7706,08/05,898,902,931,876,941,808,2297.0,2836.0,2741.0,2826.0
9,2301,光寶科,249.0,-3.0,-1.19,90356,08/05,277,694,742,847,833,867,958.0,889.0,-448.0,575.0
10,8039,台虹,220.0,20.0,10.0,7676,08/05,216,450,885,844,-681,1580,1558.0,1259.0,1298.0,607.0
11,2313,華通,218.0,19.5,9.82,29232,08/05,-91,514,741,826,-3888,722,533.0,-1471.0,516.0,130.0
12,3036,文曄,225.0,12.5,5.88,23076,08/05,-190,-3,187,779,605,882,946.0,980.0,851.0,997.0
13,6538,倉和,156.5,8.0,5.39,6466,08/05,47,154,394,703,684,677,746.0,747.0,736.0,747.0
14,3231,緯創,193.0,-2.0,-1.03,206766,08/05,188,421,280,687,1024,1440,911.0,484.0,-337.0,-281.0
15,6451,訊芯-KY,430.0,39.0,9.97,1939,08/05,34,91,329,611,772,581,472.0,405.0,716.0,724.0
16,00981A,主動統一台股增長,28.46,0.88,3.19,240838,08/05,-4535,-2429,414,589,-515,2803,1494.0,4658.0,5942.0,3601.0
17,2408,南亞科,445.0,9.0,2.06,144426,08/05,-208,275,1392,538,2894,4290,1568.0,-4549.0,-3322.0,-12088.0
18,5371,中光電,90.5,7.8,9.43,24660,08/05,696,728,621,498,-13,121,1193.0,1035.0,-359.0,891.0
19,3189,景碩,828.0,61.0,7.95,33104,08/05,8,156,259,476,280,544,181.0,-846.0,-71.0,-419.0
20,3006,晶豪科,239.0,21.5,9.89,12064,08/05,169,294,495,464,7,499,118.0,-1327.0,340.0,-1988.0
21,3037,欣興,969.0,45.0,4.87,44515,08/05,133,131,173,451,197,557,350.0,-5202.0,-566.0,-1662.0
22,6147,頎邦,158.5,14.0,9.69,17698,08/05,234,376,441,436,203,466,-181.0,550.0,565.0,544.0
23,2464,盟立,170.0,8.0,4.94,16112,08/05,112,163,279,430,224,-81,-263.0,725.0,676.0,817.0
24,1303,南亞,177.0,6.5,3.81,83793,08/05,84,804,-1434,402,348,1579,-1920.0,-3049.0,-747.0,-4256.0
25,2305,全友,29.35,-3.25,-9.97,8879,08/05,175,177,274,383,365,289,484.0,485.0,494.0,491.0
26,1802,台玻,53.9,1.6,3.06,41349,08/05,281,387,583,382,236,-1386,-1439.0,-8437.0,-6318.0,-6899.0
27,5351,鈺創,96.5,8.7,9.91,31426,08/05,208,348,439,333,226,367,297.0,-22.0,337.0,-129.0
28,2367,燿華,41.6,1.15,2.84,10002,08/05,139,257,332,332,-406,-597,-1529.0,-5888.0,-196.0,158.0
29,6213,聯茂,341.0,31.0,10.0,26866,08/05,194,321,385,294,242,112,-92.0,30.0,-221.0,-12.0
30,2486,一詮,218.5,-2.5,-1.13,8316,08/05,30,195,261,271,373,400,-298.0,-648.0,-34.0,-412.0
31,2317,鴻海,258.5,8.5,3.4,72634,08/05,248,214,234,266,248,450,-542.0,-1078.0,-1320.0,-1603.0
32,2388,威盛,83.0,2.7,3.36,13128,08/05,41,156,258,259,138,308,-103.0,218.0,208.0,242.0
33,00991A,主動復華未來50,16.89,0.56,3.43,180154,08/05,-323,-97,-351,241,1057,-124,1006.0,1163.0,,1194.0
34,2027,大成鋼,44.35,0.1,0.23,14192,08/05,8,205,94,219,306,243,429.0,295.0,-4285.0,408.0
35,0050,元大台灣50,103.8,3.15,3.13,168906,08/05,-455,-433,-364,218,198,-601,-946.0,177.0,87.0,-1262.0
36,009816,凱基台灣TOP50,15.0,0.44,3.02,183825,08/05,110,-31,-12,212,-219,-518,-145.0,509.0,,
37,1815,富喬,83.9,3.8,4.74,35594,08/05,-32,107,299,197,237,173,367.0,-1250.0,-19545.0,-4362.0
38,2312,金寶,32.0,-0.3,-0.93,16707,08/05,-16,21,227,197,-1197,-1151,49.0,-274.0,240.0,33.0
39,3441,聯一光,85.4,-4.2,-4.69,22511,08/05,-11,-283,42,191,847,773,838.0,877.0,876.0,848.0
40,00990A,主動元大AI新經濟,16.2,0.71,4.58,19239,08/05,114,157,-76,185,137,-20,74.0,201.0,,-11610.0
41,8358,金居,349.5,8.5,2.49,24906,08/05,46,138,159,185,150,-196,-724.0,-2895.0,-5488.0,-4200.0
42,1717,長興,66.5,2.9,4.56,10615,08/05,38,-14,69,184,5,-314,-81.0,-334.0,254.0,12.0
43,1605,華新,34.85,1.1,3.26,38468,08/05,138,-93,33,183,3,21,423.0,-1797.0,147.0,-535.0
44,2451,創見,282.5,-2.0,-0.7,9764,08/05,56,41,277,178,505,273,477.0,407.0,559.0,395.0
45,4916,事欣科,104.5,3.0,2.96,4991,08/05,3,21,44,174,49,-11,165.0,-57.0,-6529.0,-114.0
46,4958,臻鼎-KY,488.0,44.0,9.91,24359,08/05,235,314,346,149,325,351,-194.0,186.0,502.0,311.0
47,00992A,主動群益科技創新,16.55,0.37,2.29,40129,08/05,-40,161,279,144,113,156,-560.0,331.0,,341.0
48,4967,十銓,265.5,9.0,3.51,8584,08/05,44,82,119,142,112,-307,-927.0,-1031.0,123.0,-1863.0
49,2399,映泰,39.35,-0.5,-1.25,7939,08/05,-5,79,118,139,75,-170,-124.0,147.0,-19.0,-109.0
50,9105,泰金寶-DR,8.21,-0.09,-1.08,22610,08/05,-172,-23,-5,138,-231,-2124,469.0,446.0,35.0,389.0
51,0056,元大高股息,51.45,0.85,1.68,59266,08/05,25,81,36,136,190,114,68.0,143.0,-46.0,-163.0
52,00407A,主動凱基台灣,9.28,0.29,3.23,85688,08/05,0,42,98,134,89,218,,,,
53,2356,英業達,65.7,-0.3,-0.45,45448,08/05,-15,57,274,134,-301,525,392.0,122.0,-388.0,153.0
54,00671R,富邦NASDAQ反1,2.41,-0.08,-3.21,10121,08/05,20,70,67,131,-70,-143,-320.0,-474.0,415.0,-185.0
55,2351,順德,169.0,3.5,2.11,3029,08/05,58,129,129,129,94,-252,-173.0,-104.0,106.0,82.0
56,6274,台燿,1470.0,130.0,9.7,3017,08/05,19,104,112,129,93,60,-933.0,-1402.0,-2897.0,-1864.0
57,00706L,期元大S&P日圓正2,19.41,-0.05,-0.26,1634,08/05,28,24,37,126,54,32,349.0,381.0,391.0,391.0
58,2618,長榮航,43.8,0.0,0.0,45130,08/05,-9,-20,-306,119,153,568,525.0,291.0,250.0,361.0
59,4931,新盛力,199.0,3.0,1.53,3652,08/05,-3,18,76,119,100,138,37.0,-438.0,-1354.0,-1497.0
60,6239,力成,256.5,0.0,0.0,32171,08/05,10,43,35,112,34,-20,14.0,-183.0,99.0,44.0
61,2049,上銀,365.0,33.0,9.94,7751,08/05,37,72,112,107,112,149,32.0,99.0,43.0,113.0
62,3543,州巧,33.3,0.45,1.37,1269,08/05,-17,-28,-69,104,104,88,89.0,80.0,-1602.0,23.0
