"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"601","4903","聯光通","36.75","+0.15","+0.41","26W32","08/07","49.5","-1.06","53","-1.34","57","-0.91","60.3","-0.93"
"602","2731","雄獅","145","+0.5","+0.35","26W32","08/07","47.1","-0.32","51.1","-0.26","56.6","-0.53","60.4","+0.08"
"603","4946","辣椒","93.9","+1","+1.08","26W32","08/07","48.3","-0.09","49.6","0","57.4","0","57.4","0"
"604","2241","艾姆勒","35.5","+0.15","+0.42","26W32","08/07","37.7","+0.16","45.3","+0.73","56.5","+1.46","63.5","+0.65"
"605","00679B","元大美債20年","25.85","-0.19","-0.73","26W32","08/07","41.1","+0.52","50.6","+0.66","56.9","+0.73","59.4","+0.74"
"606","6477","安集","37.05","-1.1","-2.88","26W32","08/07","48.4","-0.56","52.8","-0.43","56.4","-0.79","59.9","+0.28"
"607","6167","久正","10.8","-0.15","-1.37","26W32","08/07","43","-0.23","50.3","-0.06","56.9","-0.29","59.1","+0.02"
"608","6425","易發","65.2","+3.1","+4.99","26W32","08/07","47","+0.04","49.6","+0.18","57.4","+1.69","61.3","+0.06"
"609","00646","元大S&P500","76.85","-0.1","-0.13","26W32","08/07","50.3","-1.83","54.8","-1.97","57.7","-2.07","59.7","-2.11"
"610","8289","泰藝","46.35","-0.65","-1.38","26W32","08/07","43.6","-0.35","48.9","-0.48","57.1","+0.65","61.9","+0.12"
"611","1316","上曜","11.15","-0.6","-5.11","26W32","08/07","44.5","-0.36","51.3","-0.33","56.9","-0.35","60.8","-0.32"
"612","6259","百徽","31.75","+1.5","+4.96","26W32","08/07","47.5","-0.46","50.6","-0.12","57.2","0","58.9","0"
"613","4111","濟生","28.75","-0.05","-0.17","26W32","08/07","38.5","-0.3","46.7","-0.1","56.8","-0.09","60.9","-0.09"
"614","00981D","主動中信非投等債","10.29","-0.05","-0.48","26W32","08/07","29.4","+0.74","43.3","+1.65","55.6","+1.84","62.5","+2.21"
"615","3714","富采","62.6","-0.9","-1.42","26W32","08/07","47.6","-0.02","53.3","+0.01","57.8","-0.07","60.4","-0.21"
"616","8050","廣積","56.4","-0.9","-1.57","26W32","08/07","46.6","-1.51","51.1","-1.7","55.4","-1.51","57.5","-2.07"
"617","1760","寶齡富錦","58.3","-0.3","-0.51","26W32","08/07","45.1","-0.05","50.8","-0.22","57.2","0","62.6","0"
"618","6158","禾昌","16.5","0","0","26W32","08/07","42.4","-0.04","47.9","+0.32","56.7","-0.76","58.5","-0.04"
"619","6486","互動","77.4","0","0","26W32","08/07","46.9","0","51.9","-0.58","56.9","-0.01","56.9","-0.01"
"620","2636","台驊控股","68.9","-0.6","-0.86","26W32","08/07","48.5","-0.19","53.8","-0.01","58.2","-0.03","61","-0.45"
"621","00642U","期元大S&P石油","27.65","+0.49","+1.8","26W32","08/07","50.5","+3.08","55.6","+2.67","61","+3.14","62.7","+3.12"
"622","6123","上奇","43.5","+0.15","+0.35","26W32","08/07","44","+0.03","50.1","-0.02","56.6","0","63.9","0"
"623","3027","盛達","18.35","-0.2","-1.08","26W32","08/07","47.4","-0.19","52.4","-0.37","57.1","-0.34","61.8","+0.01"
"624","5291","邑昇","68.5","+2.1","+3.16","26W32","08/07","39.2","-0.23","44.7","-0.69","53.7","-0.25","65.3","-0.26"
"625","00965","元大航太防衛科技","26.18","+0.06","+0.23","26W32","08/07","47.4","-1.95","53.4","-2.26","55.9","-2.28","57","-2.24"
"626","3376","新日興","217","+7","+3.33","26W32","08/07","44.5","-0.35","48.7","-0.46","55.9","-1.03","61.1","-1.41"
"627","8261","富鼎","187.5","+2.5","+1.35","26W32","08/07","43.9","+2.35","45.6","+2.23","50","+2.84","52.2","+2.1"
"628","1733","五鼎","32.1","-0.3","-0.93","26W32","08/07","44.5","-0.46","51","-0.19","57.5","+0.01","59.2","+0.65"
"629","8112","至上","90.9","-1.3","-1.41","26W32","08/07","52.7","-0.12","57.2","+0.67","61.3","+0.84","63.4","+0.81"
"630","6426","統新","263.5","+4","+1.54","26W32","08/07","43.2","-1.58","51.6","+0.79","60.2","+1.8","60.2","+1.8"
"631","4128","中天","15.3","+0.1","+0.66","26W32","08/07","44.8","+0.15","51.2","+0.18","56.4","+0.29","58.3","-0.06"
"632","4173","久裕","17.4","-0.1","-0.57","26W32","08/07","46","0","53.1","+0.05","56.4","+0.55","57","-0.01"
"633","1785","光洋科","103.5","+0.5","+0.49","26W32","08/07","46.6","-0.66","51.4","-0.43","55.5","-0.71","58.1","-0.61"
"634","6645","金萬林-創","12.4","-0.5","-3.88","26W32","08/07","38.8","-0.01","50.7","-0.01","56.3","-0.01","62.3","-0.01"
"635","8271","宇瞻","232.5","-1.5","-0.64","26W32","08/07","43.4","-5.64","47.3","-5.66","51.9","-5.57","54.5","-6"
"636","1711","永光","43.9","+0.4","+0.92","26W32","08/07","47.8","-0.23","51.7","-0.24","56.6","-0.27","59.1","-0.18"
"637","4557","永新-KY","51","-0.9","-1.73","26W32","08/07","35.5","+0.08","43.9","-0.57","56.5","-0.46","62","+0.42"
"638","3257","虹冠電","50.3","+0.35","+0.7","26W32","08/07","47","-0.38","51.6","+0.01","56.2","+0.06","58.4","+0.81"
"639","2233","宇隆","172.5","-2","-1.15","26W32","08/07","41.3","+1.32","46.4","+1.91","53.4","+0.94","56.8","+1.77"
"640","9110","越南控-DR","3.1","-0.04","-1.27","26W32","08/07","32.1","+0.22","43.8","+0.33","56.2","+0.32","62.9","+0.33"
"641","6163","華電網","43.3","-0.2","-0.46","26W32","08/07","46.9","-0.52","52.8","-0.13","57","-0.51","60.4","-0.48"
"642","6527","明達醫","74.5","-0.8","-1.06","26W32","08/07","27.7","-0.28","38.6","-0.35","56.6","-0.48","64.6","-0.44"
"643","4109","加捷生醫","11.25","-0.05","-0.44","26W32","08/07","42.8","+0.1","51.2","-0.02","56.4","-0.01","61.1","0"
"644","4746","台耀","49.35","-0.4","-0.8","26W32","08/07","43.5","-0.64","50.9","-0.8","57.3","-1.27","62.7","-0.93"
"645","3305","昇貿","116.5","+5","+4.48","26W32","08/07","46.7","-0.25","51.1","-0.71","55.3","+0.23","57.7","-0.77"
"646","6263","普萊德","165.5","0","0","26W32","08/07","45.9","-0.23","51.3","+0.01","56.6","0","59","0"
"647","00938","凱基優選30","25.16","+0.09","+0.36","26W32","08/07","52.3","+0.01","55.7","+0.15","56.3","-0.38","56.8","-0.34"
"648","3028","增你強","64.4","-1.1","-1.68","26W32","08/07","46.8","-0.87","50.9","-0.74","55.3","-0.52","57.3","-0.47"
"649","1338","廣華-KY","14.2","-0.15","-1.05","26W32","08/07","43.8","-0.15","49.5","-0.14","57.1","-0.18","59.3","-0.18"
"650","00984D","主動聯博全球非投","10.01","-0.03","-0.3","26W32","08/07","27.7","-0.53","42","-0.36","56.1","-0.14","63.4","-0.67"
"651","3499","環天科","12.55","+0.1","+0.8","26W32","08/07","48","-0.22","51.9","-0.03","55.9","-0.02","58.2","-0.01"
"652","6983","華洋精機","353","+15.5","+4.59","26W32","08/07","33","+0.02","44.8","+0.02","55.8","0","58.1","0"
"653","4114","健喬","29.9","+0.05","+0.17","26W32","08/07","43.3","+0.14","50.6","+0.27","57.1","+0.28","60.8","+0.27"
"654","5203","訊連","58.9","+0.4","+0.68","26W32","08/07","40.4","-0.14","47.4","-1.12","55.2","+0.67","59","+0.05"
"655","6961","旅天下","50.8","-0.2","-0.39","26W32","08/07","39.4","-0.42","46.9","0","55.6","0","61.1","0"
"656","8064","東捷","103","-1.5","-1.44","26W32","08/07","49.4","-0.17","52.2","-0.14","55.7","-0.5","58.4","-0.82"
"657","5356","協益","26","-0.1","-0.38","26W32","08/07","44.1","-0.01","50.8","+0.03","55.5","+0.01","57.5","+0.01"
"658","5220","萬達光電","20.05","0","0","26W32","08/07","41","-0.02","50.2","0","56.4","+1.01","61.2","0"
"659","3645","達邁","76.6","+6.9","+9.9","26W32","08/07","45.5","-0.22","49.5","+0.02","55.6","+0.16","59.2","-0.59"
"660","2616","山隆","13.4","0","0","26W32","08/07","47.7","+0.42","51.7","+0.43","55.3","-0.29","56.5","0"
"661","1781","合世","10.5","-0.25","-2.33","26W32","08/07","44.7","-0.03","49.2","-0.01","55.3","-0.01","64.6","0"
"662","5493","三聯","88.5","+3.5","+4.12","26W32","08/07","40.4","-0.08","45.8","-0.02","56.1","+0.01","65.7","+0.01"
"663","2461","光群雷","18.85","+0.35","+1.89","26W32","08/07","39.6","+0.16","46.7","-0.09","55","+0.52","59.4","-0.05"
"664","3209","全科","51.9","+0.5","+0.97","26W32","08/07","41.4","-0.2","47","-0.17","52.3","-0.29","55.9","+0.07"
"665","3312","弘憶股","51.9","+0.3","+0.58","26W32","08/07","48.8","+0.07","52.3","+0.43","54.8","+0.06","56.8","-0.01"
"666","00673R","期元大S&P原油反1","12.39","-0.26","-2.06","26W32","08/07","27.5","-0.35","40.1","-0.46","51.6","-0.07","58","-0.11"
"667","3152","璟德","248","-5","-1.98","26W32","08/07","39.4","-0.3","45.2","-0.03","54.7","-1.57","57.6","-1.57"
"668","2104","國際中橡","10.25","-0.2","-1.91","26W32","08/07","39.6","+0.07","47.5","+0.08","55.2","+0.01","58.6","-0.14"
"669","3438","類比科","61.5","-0.7","-1.13","26W32","08/07","48.8","-0.3","51.6","-0.61","54.9","0","54.9","0"
"670","3526","凡甲","286","+4.5","+1.6","26W32","08/07","33.5","+0.09","40","-0.04","52.9","-0.06","57.2","+0.39"
"671","3707","漢磊","63.8","+0.2","+0.31","26W32","08/07","50.2","-0.13","52.9","-0.19","54.9","-0.06","55.6","-0.16"
"672","0055","元大MSCI金融","45.11","+0.58","+1.3","26W32","08/07","46.8","+1.58","50.5","+1.73","54.6","+2.03","59","+2.22"
"673","6197","佳必琪","309.5","+1.5","+0.49","26W32","08/07","45.2","-0.01","50","-0.03","53.8","-0.05","58.4","-0.3"
"674","4161","聿新科","22.9","0","0","26W32","08/07","33.1","-0.02","41.6","-0.04","55.6","-0.03","59.8","-0.03"
"675","6441","廣錠","21.25","-0.25","-1.16","26W32","08/07","47.1","-0.32","51.4","-0.04","54.9","-0.02","58.1","0"
"676","00674R","期元大S&P黃金反1","26.69","+0.18","+0.68","26W32","08/07","44.6","+0.62","51.4","+0.94","53.1","+1.07","53.1","+1.07"
"677","006205","富邦上証","40.62","-0.12","-0.29","26W32","08/07","44","-0.08","50.8","-0.09","54.3","-0.32","61.7","+0.2"
"678","3693","營邦","587","+39","+7.12","26W32","08/07","45.3","-2.01","50.5","-0.95","56.5","-0.44","60.4","-0.17"
"679","6111","光聚晶電","37.05","+0.85","+2.35","26W32","08/07","46.1","-0.2","51.2","-0.2","55.2","+0.01","55.6","+0.01"
"680","1513","中興電","168","-2.5","-1.47","26W32","08/07","51.6","-0.62","54.1","-0.72","56.5","-0.92","58.8","-1.06"
"681","4104","佳醫","71","0","0","26W32","08/07","46.9","+0.14","51.2","+0.1","54.6","+0.21","56.9","+0.01"
"682","3466","德晉","24.5","-0.3","-1.21","26W32","08/07","40.4","+0.55","47.1","+0.25","53.9","+0.01","58","+0.01"
"683","2911","麗嬰房","6.46","-0.08","-1.22","26W32","08/07","45.6","+0.09","50.3","0","54.4","0","57.6","0"
"684","4155","訊映","14.45","-0.05","-0.34","26W32","08/07","38.8","+0.12","45.9","+0.03","54.4","+0.04","58.9","-0.01"
"685","8929","富堡","13.3","-0.15","-1.12","26W32","08/07","45.4","0","48.8","0","54.3","0","56.4","0"
"686","8091","翔名","220.5","+2.5","+1.15","26W32","08/07","38.4","-0.23","44.4","-0.44","52.4","+0.09","59.3","+1.06"
"687","8163","達方","31.85","+0.3","+0.95","26W32","08/07","45.7","+0.13","51.1","+0.39","54.2","+0.39","56.9","-0.13"
"688","00648R","元大S&P500反1","3.9","-0.01","-0.26","26W32","08/07","28.1","-0.05","40.9","+0.17","54","+0.71","58.8","-0.36"
"689","6245","立端","83.2","-0.5","-0.6","26W32","08/07","41.6","-0.22","47.7","+0.04","55","-0.19","57","-0.56"
"690","6770","力積電","70","+0.4","+0.57","26W32","08/07","48.5","-0.21","52.8","-0.21","56.3","-0.21","58.3","-0.2"
"691","8021","尖點","454","+31.5","+7.46","26W32","08/07","42.5","+0.11","46.4","+0.04","53.1","-0.49","57.9","+0.76"
"692","1529","樂事綠能","17.6","+0.35","+2.03","26W32","08/07","48.2","-0.02","52.4","-0.12","54.6","-0.11","56.3","-0.11"
"693","9919","康那香","13.85","0","0","26W32","08/07","47.8","+0.09","51.2","+0.24","54","+0.33","55","+0.13"
