排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00981A,主動統一台股增長,28.03,-0.81,-2.81,185657,08/07,-8359,-8026,-22868,-128170,20335,46505.0,-19035.0,136769.0,180990.0,97318.0
2,00991A,主動復華未來50,16.86,-0.3,-1.75,77244,08/07,-3730,-1683,-27335,-102730,57244,79023.0,148115.0,150483.0,,112407.0
3,00403A,主動統一升級50,9.72,-0.19,-1.92,151709,08/07,-2417,-5658,-24952,-47929,-7200,8707.0,116838.0,,,
4,00631L,元大台灣50正2,33.68,-0.17,-0.5,172376,08/07,-3347,2418,-32943,-27513,1174,28279.0,116303.0,257385.0,255354.0,257147.0
5,00953B,群益優選非投等債,9.75,0.0,0.0,20464,08/07,-481,258,-10672,-26226,10465,-31807.0,18030.0,37882.0,76163.0,48204.0
6,00685L,群益臺灣加權正2,11.01,-0.04,-0.36,219574,08/07,-2386,3836,-18126,-20586,-3249,61320.0,189504.0,189482.0,189436.0,189534.0
7,3231,緯創,183.5,-6.0,-3.17,65416,08/07,-2304,367,-13497,-11560,-9849,-7938.0,-14789.0,-19750.0,3695.0,-11965.0
8,0050,元大台灣50,102.85,-0.45,-0.44,69374,08/07,-312,-510,-4916,-8797,-7588,11468.0,15157.0,16999.0,18458.0,16415.0
9,00753L,中信中國50正2,9.95,0.07,0.71,6772,08/07,97,-349,-2252,-8308,-16386,-21520.0,-25628.0,-23909.0,-32144.0,-27298.0
10,6182,合晶,101.0,-7.0,-6.48,5025,08/07,-250,-1119,-4794,-8086,-7797,-11767.0,19197.0,42842.0,47620.0,43521.0
11,00988A,主動統一全球創新,16.39,-0.21,-1.27,50988,08/07,514,2478,-903,-7546,-5952,-11988.0,32049.0,58229.0,,61495.0
12,00405A,主動富邦台灣龍耀,8.02,-0.23,-2.79,69034,08/07,-660,-4371,-6307,-7015,4946,9517.0,,,,
13,00990A,主動元大AI新經濟,15.68,-0.15,-0.95,18775,08/07,183,694,-3713,-3829,-3015,-3711.0,9765.0,10087.0,,4286.0
14,2324,仁寶,36.55,-0.75,-2.01,30473,08/07,-1134,-735,-1194,-3229,-6356,-9466.0,-6940.0,18078.0,39404.0,18060.0
15,00407A,主動凱基台灣,9.28,-0.17,-1.8,34844,08/07,-82,864,-881,-3135,-6241,-8972.0,,,,
16,00981B,第一金優選非投債,9.32,-0.01,-0.11,8437,08/07,-1,-6,-1212,-3073,-4015,-4511.0,-5895.0,-7232.0,3814.0,-15114.0
17,2301,光寶科,247.0,-5.5,-2.18,33005,08/07,-363,1034,-852,-3006,-4101,-4451.0,-3694.0,-6218.0,-3743.0,-6146.0
18,2634,漢翔,61.7,-0.5,-0.8,13783,08/07,-784,-786,-994,-2608,-5389,-304.0,308.0,-1434.0,3075.0,-2761.0
19,4763,材料*-KY,49.9,0.25,0.5,13796,08/07,-1951,-2405,-2207,-2314,-1254,-580.0,-4487.0,-7187.0,-3278.0,-2369.0
20,00637L,元大滬深300正2,21.12,0.58,2.82,28521,08/07,-2213,-2118,-3224,-2281,1223,73.0,-2791.0,-46960.0,-114830.0,-25675.0
21,009816,凱基台灣TOP50,14.88,-0.08,-0.53,78079,08/07,271,1451,-589,-2114,835,1436.0,1869.0,28125.0,,
22,2412,中華電,137.5,0.5,0.36,6922,08/07,-670,-943,-1584,-2037,-84,1846.0,2128.0,1928.0,1846.0,1740.0
23,00671R,富邦NASDAQ反1,2.43,0.0,0.0,5247,08/07,-229,-339,-1992,-1993,-4687,-5888.0,-12616.0,-11377.0,4172.0,-13088.0
24,00400A,主動國泰動能高息,13.74,-0.15,-1.08,19835,08/07,855,494,-306,-1725,257,-165.0,-3703.0,,,
25,2371,大同,25.95,0.5,1.96,6981,08/07,-217,-504,-692,-1564,-5003,-7489.0,-26735.0,-25273.0,-27702.0,-32877.0
26,3706,神達,91.7,-1.2,-1.29,9730,08/07,-170,-414,-175,-1507,-2666,-3659.0,-4585.0,-10527.0,-25314.0,-14460.0
27,1314,中石化,7.8,-0.01,-0.13,17031,08/07,1077,-834,-499,-1435,-7033,-1654.0,26622.0,29859.0,38041.0,25139.0
28,8111,立碁,59.4,-3.2,-5.11,5814,08/07,-1027,-1316,-1539,-1323,747,384.0,-1074.0,-1572.0,1310.0,-2049.0
29,1605,華新,34.55,0.3,0.88,16295,08/07,502,1332,60,-1309,-2736,-8700.0,-2863.0,-30410.0,13707.0,-17581.0
30,3037,欣興,955.0,-18.0,-1.85,21596,08/07,-305,98,-1400,-1291,-181,-1143.0,981.0,-2831.0,13397.0,7482.0
31,2332,友訊,22.15,-0.55,-2.42,25331,08/07,-74,741,-450,-1277,1972,6253.0,8480.0,7247.0,6731.0,7614.0
32,2388,威盛,77.9,-1.5,-1.89,4538,08/07,-561,-254,-954,-1259,-1640,-3135.0,-5331.0,-5142.0,-2477.0,-4534.0
33,3035,智原,172.0,1.0,0.58,3307,08/07,59,33,-288,-1205,-1111,-1906.0,-8286.0,-6225.0,-3127.0,-6246.0
34,5371,中光電,83.0,-3.7,-4.27,12221,08/07,-237,-242,-211,-1175,-5699,-7450.0,-5010.0,-15959.0,-7194.0,-18244.0
35,3026,禾伸堂,535.0,-58.0,-9.78,1934,08/07,-32,-100,-134,-1151,-1640,-2540.0,-9755.0,4265.0,6909.0,3963.0
36,5351,鈺創,104.0,1.0,0.97,60379,08/07,88,-397,-1048,-1088,-2319,-2738.0,-4500.0,-754.0,4111.0,-1429.0
37,0056,元大高股息,51.05,-0.25,-0.49,15001,08/07,15,207,-458,-1087,-488,476.0,5505.0,3817.0,1974.0,1624.0
38,1717,長興,66.2,0.0,0.0,5562,08/07,-87,3,-520,-1084,-3930,-5747.0,-12085.0,-11142.0,9186.0,2378.0
39,009819,中信數據及電力,10.31,0.01,0.1,5146,08/07,-12,-25,-1036,-1080,-1382,-1985.0,-3080.0,,,
40,00927,群益半導體收益,35.54,-0.44,-1.22,8345,08/07,-260,-383,-568,-1079,-3478,-1238.0,8474.0,10054.0,11676.0,11985.0
41,3260,威剛,416.0,-5.0,-1.19,20172,08/07,-1231,-896,-1143,-1068,-1641,-4026.0,-3191.0,6346.0,12718.0,8104.0
42,3714,富采,59.4,1.7,2.95,10408,08/07,42,-221,-707,-1061,-3717,-7357.0,-9980.0,8267.0,11912.0,9573.0
43,9945,潤泰新,26.75,0.4,1.52,5745,08/07,-426,-464,-332,-1056,-1207,-2566.0,311.0,-4020.0,1080.0,-4010.0
44,2610,華航,22.5,0.35,1.58,30517,08/07,167,253,818,-1015,-4413,-3827.0,-6162.0,1418.0,676.0,-4967.0
45,00663L,國泰臺灣加權正2,96.6,-0.35,-0.36,6363,08/07,-47,-78,-330,-1004,460,1934.0,5951.0,6505.0,9107.0,7457.0
46,00982A,主動群益台灣強棒,22.39,-0.32,-1.41,30584,08/07,378,367,-137,-978,19,-440.0,-2748.0,-2445.0,-4290.0,-4374.0
47,2421,建準,151.5,-3.0,-1.94,6064,08/07,-502,-693,-845,-937,-1343,-1458.0,-2978.0,451.0,-3918.0,-1066.0
48,1313,聯成,11.5,-0.1,-0.86,4134,08/07,114,-442,-702,-908,-556,299.0,-717.0,2380.0,952.0,1782.0
49,00888,永豐台灣ESG,31.71,-0.39,-1.21,4827,08/07,14,-40,-33,-903,-2003,2120.0,3458.0,4334.0,4263.0,4210.0
50,00706L,期元大S&P日圓正2,19.22,-0.17,-0.88,473,08/07,23,20,31,-887,-3036,-3894.0,1439.0,1687.0,3000.0,1487.0
51,2867,三商壽,9.81,0.04,0.41,11713,08/07,-77,-89,10,-879,-1688,-498.0,1875.0,1875.0,1875.0,1875.0
52,8932,智通*,98.0,-3.0,-2.97,1494,08/07,354,92,-202,-866,-1120,-728.0,12261.0,41934.0,46080.0,44770.0
53,3006,晶豪科,256.5,-1.5,-0.58,19501,08/07,-509,-577,-340,-859,-1555,-5339.0,-7686.0,-7122.0,6876.0,3547.0
54,00715L,期街口布蘭特正2,43.02,4.54,11.8,13259,08/07,-80,-77,-878,-846,-2381,-2600.0,1609.0,-240.0,-70181.0,-32371.0
55,2305,全友,26.5,0.05,0.19,10523,08/07,246,-457,-1030,-817,-828,-1728.0,2271.0,3832.0,4470.0,4139.0
56,1301,台塑,55.8,0.7,1.27,24645,08/07,-96,221,-176,-812,-5271,-3163.0,5439.0,1473.0,-13008.0,-3188.0
57,00673R,期元大S&P原油反1,13.54,-0.64,-4.51,14748,08/07,1062,1157,-56,-794,-10026,6671.0,-57413.0,26099.0,24147.0,48003.0
58,6548,長科*,72.4,-1.8,-2.43,3067,08/07,3,-60,64,-789,-2101,-3087.0,-3294.0,-2615.0,659.0,-1848.0
59,2313,華通,208.5,-12.0,-5.44,31604,08/07,602,-254,-905,-785,-10954,-14398.0,-10857.0,-7335.0,4141.0,-6812.0
60,00918,大華優利高填息30,33.59,0.01,0.03,12108,08/07,26,-329,-386,-729,-350,-1130.0,2121.0,304.0,-2113.0,-670.0
61,3711,日月光投控,585.0,-10.0,-1.68,13050,08/07,250,822,-1673,-705,1509,2169.0,6155.0,7981.0,8101.0,3037.0
62,009821,野村稀土關鍵資源,14.34,0.22,1.56,13247,08/07,132,-531,-508,-684,-1696,-4383.0,,,,
63,8112,至上,91.2,2.2,2.47,22270,08/07,-346,-317,-181,-677,-422,-3098.0,-26.0,-4203.0,10494.0,-2101.0
64,4991,環宇-KY,465.0,23.0,5.2,1252,08/07,-348,-397,-357,-666,-1376,-2423.0,-1263.0,-3145.0,-4982.0,-4442.0
