排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
901,2910,統領,24.25,-0.2,-0.82,26W32,08/07,95.8,0.0,94.9,0.0,92.9,0
902,1906,寶隆,10.95,-0.05,-0.45,26W32,08/07,73.5,0.01,72.6,0.0,70.3,0
903,1294,漢田生技,56.6,0.4,0.71,26W32,08/07,54.6,0.0,43.5,0.0,40.8,0
904,9918,欣天然,42.45,-0.15,-0.35,26W32,08/07,80.9,0.0,78.0,0.0,77.1,0
905,1742,台蠟,17.8,-0.15,-0.84,26W32,08/07,77.3,-0.01,72.9,-0.01,72.0,0
906,5508,永信建,53.5,1.6,3.08,26W32,08/07,67.2,-0.23,65.9,0.0,65.9,0
907,2029,盛餘,20.7,0.25,1.22,26W32,08/07,69.9,0.0,68.9,0.0,68.4,0
908,1733,五鼎,32.0,0.15,0.47,26W32,08/07,40.8,-0.65,37.9,0.0,33.0,0
909,6248,沛波,17.55,-0.05,-0.28,26W32,08/07,45.8,0.0,44.5,0.0,43.6,0
910,6221,晉泰,20.7,-0.1,-0.48,26W32,08/07,73.7,0.0,72.9,0.0,72.4,0
911,5905,南仁湖,8.19,0.05,0.61,26W32,08/07,44.7,-0.6,42.9,-0.57,40.7,0
912,3325,旭品,12.0,0.05,0.42,26W32,08/07,23.5,0.0,19.7,0.0,14.8,0
913,6752,叡揚,99.5,-0.1,-0.1,26W32,08/07,41.2,0.04,26.1,0.0,21.1,0
914,6435,大中,251.5,-7.0,-2.71,26W32,08/07,52.0,-0.49,48.3,-2.17,48.3,0
915,4721,美琪瑪,71.7,-0.3,-0.42,26W32,08/07,30.6,-0.17,28.0,0.0,28.0,0
916,3168,眾福科,42.45,-0.4,-0.93,26W32,08/07,72.6,0.0,70.6,0.0,66.8,0
917,1324,地球,10.05,0.0,0.0,26W32,08/07,63.7,0.0,62.0,0.0,60.7,0
