排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
601,7765,中華資安,226.5,4.5,2.03,26W32,08/07,59.6,0.0,59.6,0.0,59.6,0
602,3027,盛達,18.6,0.1,0.54,26W32,08/07,38.2,-0.01,33.9,0.0,33.9,0
603,2755,揚秦,102.5,-1.0,-0.97,26W32,08/07,61.0,0.0,59.3,0.0,59.3,0
604,6958,日盛台駿,18.35,-0.1,-0.54,26W32,08/07,93.7,0.0,93.5,0.0,93.0,0
605,9926,新海,49.3,-0.2,-0.4,26W32,08/07,79.6,0.0,76.6,0.0,73.7,0
606,6614,資拓宏宇,36.25,0.05,0.14,26W32,08/07,73.7,0.0,73.7,0.0,73.7,0
607,3128,昇銳,21.6,-0.25,-1.14,26W32,08/07,30.1,-0.01,25.8,-0.01,23.8,0
608,1817,凱撒衛,38.3,0.05,0.13,26W32,08/07,61.2,0.0,58.4,0.0,58.4,0
609,2514,龍邦,12.25,0.1,0.82,26W32,08/07,87.3,0.01,85.7,0.2,84.8,0
610,8446,華研,85.1,-0.6,-0.7,26W32,08/07,45.7,1.18,44.5,0.0,42.8,0
611,2028,威致,15.4,0.15,0.98,26W32,08/07,82.7,-0.01,82.3,0.0,81.2,0
612,1439,雋揚,27.4,-1.5,-5.19,26W32,08/07,80.9,0.01,78.6,-0.01,74.7,0
613,1201,味全,12.1,0.1,0.83,26W32,08/07,61.6,-0.27,60.4,0.15,59.1,0
614,6885,全福生技,21.1,0.1,0.48,26W32,08/07,31.3,-0.02,27.3,0.0,22.5,0
615,1432,大魯閣,15.1,-0.05,-0.33,26W32,08/07,54.0,0.0,53.4,0.0,53.4,0
616,5212,凌網,47.45,0.45,0.96,26W32,08/07,73.8,0.0,69.7,0.0,67.0,0
617,1417,嘉裕,8.28,0.03,0.36,26W32,08/07,53.4,0.0,51.2,0.0,48.2,0
618,3663,鑫科,62.1,-1.3,-2.05,26W32,08/07,63.7,0.46,62.5,0.0,62.5,0
619,6945,圓祥生技,99.6,2.7,2.79,26W32,08/07,60.1,-0.06,58.6,-0.06,52.4,0
620,4195,基米-創,15.35,0.05,0.33,26W32,08/07,35.2,0.0,33.5,0.0,30.2,0
