排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
1,00719B,元大美債1-3,31.45,-0.02,-0.06,26W27,07/03,59.4,0.28,58.2,-0.09,56.9,0.21
2,4989,榮科,65.7,-2.0,-2.95,26W27,07/03,28.0,6.74,25.5,5.73,23.6,5.68
3,00657,國泰日經225,77.65,-0.2,-0.26,26W27,07/03,15.0,-0.74,15.0,-0.74,0.0,-15.8
4,00989B,台新美國非投等債,10.26,0.0,0.0,26W27,07/03,50.8,0.62,49.5,0.6,46.0,0.57
5,009826,貝萊德世界股票,10.22,-0.06,-0.58,,,,,,,,
6,00982T,平衡兆豐台美動能,15.24,0.0,0.0,26W27,07/03,31.0,0.31,26.9,0.31,22.0,0.31
7,00689R,國泰20年美債反1,22.9,0.19,0.84,26W27,07/03,71.0,1.41,60.7,1.41,60.7,1.41
8,00666R,富邦恒生國企反1,9.02,-0.02,-0.22,26W27,07/03,86.2,1.16,86.2,1.16,86.2,1.16
9,00731,復華富時高息低波,91.0,0.5,0.55,26W27,07/03,17.3,-2.03,11.0,-5.45,11.0,-5.45
10,00799B,國泰A級醫療債,29.35,-0.21,-0.71,26W27,07/03,20.7,0.63,20.7,0.63,16.8,0.63
11,00676R,富邦臺灣加權反1,5.77,0.04,0.7,26W27,07/03,34.8,0.93,29.3,-0.96,24.0,-2.1
12,00401A,主動摩根台灣鑫收,13.23,-0.16,-1.19,26W27,07/03,24.4,0.8,24.2,0.83,23.1,0.49
13,8996,高力,1045.0,-90.0,-7.93,26W27,07/03,42.3,0.36,38.7,0.31,32.9,-1.67
14,00986B,FT金融債10+,9.72,-0.03,-0.31,26W27,07/03,80.3,0.15,77.3,0.15,77.3,0.15
15,009817,國泰日本不動產,9.19,-0.04,-0.43,26W27,07/03,21.5,1.24,20.4,1.53,18.8,1.52
16,00715L,期街口布蘭特正2,43.02,4.54,11.8,26W27,07/03,31.1,-3.34,29.5,-3.82,28.7,-3.92
17,00983B,大華優利美公債20,15.36,-0.15,-0.97,26W27,07/03,56.0,0.4,56.0,2.41,52.8,2.47
18,6271,同欣電,193.5,1.5,0.78,26W27,07/03,54.5,2.07,50.8,3.02,49.1,2.23
19,00664R,國泰臺灣加權反1,1.68,0.01,0.6,26W27,07/03,50.8,0.81,44.8,0.66,40.4,1.28
20,5475,德宏,123.5,0.5,0.41,26W27,07/03,36.6,-1.24,35.0,-0.72,35.0,-0.72
21,00928,中信上櫃ESG30,31.55,-0.87,-2.68,26W27,07/03,29.3,-3.21,29.3,-3.21,29.3,-3.21
22,00686R,群益臺灣加權反1,1.02,0.01,0.99,26W27,07/03,52.8,-1.84,46.3,-2.37,41.5,-1.4
23,00675L,富邦臺灣加權正2,292.0,-1.0,-0.34,26W27,07/03,17.2,-0.96,15.2,-1.0,14.3,-0.97
24,00642U,期元大S&P石油,25.8,1.16,4.71,26W27,07/03,34.5,-2.0,31.1,-3.97,30.3,-3.93
