排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
1,00410A,主動永豐科技趨勢,10.57,-0.31,-2.85,,,,,,,,
2,00702,國泰標普低波高息,25.23,-0.02,-0.08,26W29,07/17,34.5,-0.28,15.3,0.0,15.3,0.0
3,00660,元大歐洲50,47.47,0.17,0.36,26W29,07/17,12.6,0.41,12.6,0.41,0.0,0.0
4,00980A,主動野村臺灣優選,23.57,-0.16,-0.67,26W29,07/17,14.7,-0.29,14.1,-0.31,13.9,-0.31
5,5351,鈺創,104.0,1.0,0.97,26W29,07/17,37.9,5.05,36.0,5.21,34.1,5.45
6,00913,兆豐台灣晶圓製造,46.35,-0.86,-1.82,26W29,07/17,9.17,1.9,9.17,5.34,2.88,-0.94
7,00991A,主動復華未來50,16.86,-0.3,-1.75,26W29,07/17,16.9,1.2,15.8,1.08,14.7,1.06
8,4533,協易機,24.6,-0.3,-1.2,26W29,07/17,27.7,-0.09,25.1,-0.06,23.4,-0.64
9,009807,台新標普科技精選,17.05,0.0,0.0,26W29,07/17,44.2,0.35,44.2,0.35,37.4,0.35
10,3605,宏致,107.5,-0.5,-0.46,26W29,07/17,48.9,-3.96,46.9,-3.57,44.3,-4.13
11,00405A,主動富邦台灣龍耀,8.02,-0.23,-2.79,26W29,07/17,14.1,3.85,12.6,4.09,10.9,3.94
12,00989A,主動摩根美國科技,17.14,0.11,0.65,26W29,07/17,19.2,-1.17,18.2,-1.19,17.0,-2.49
13,3006,晶豪科,256.5,-1.5,-0.58,26W29,07/17,50.8,2.52,47.9,3.16,45.3,2.91
14,00981A,主動統一台股增長,28.03,-0.81,-2.81,26W29,07/17,17.0,0.14,15.8,0.11,14.9,0.22
15,00956,中信日經高股息,13.4,0.17,1.28,26W29,07/17,20.6,2.78,18.6,2.84,13.1,0.25
16,00911,兆豐洲際半導體,54.25,0.2,0.37,26W29,07/17,10.0,0.93,4.81,4.81,4.81,4.81
17,8271,宇瞻,235.5,-11.5,-4.66,26W29,07/17,38.2,-0.35,36.5,0.13,36.5,0.13
18,00947,台新臺灣IC設計,35.14,-0.36,-1.01,26W29,07/17,19.2,-2.1,17.1,-1.0,15.9,-1.59
19,00663L,國泰臺灣加權正2,96.6,-0.35,-0.36,26W29,07/17,20.3,-1.08,19.3,-0.57,18.2,0.11
20,00757,統一FANG+,139.65,-0.5,-0.36,26W29,07/17,29.6,0.11,28.6,0.38,28.3,0.06
21,2464,盟立,173.5,-4.5,-2.53,26W29,07/17,37.0,-0.89,34.4,-0.97,33.1,-1.07
22,8421,旭源,15.3,0.85,5.88,26W29,07/17,63.2,0.59,59.6,0.57,59.6,0.57
23,009818,華南永昌NASDAQxT,20.37,0.05,0.25,26W29,07/17,6.44,0.77,6.44,0.77,4.93,0.72
24,6206,飛捷,144.0,-0.5,-0.35,26W29,07/17,47.3,0.29,45.4,0.22,42.9,-0.28
25,00685L,群益臺灣加權正2,11.01,-0.04,-0.36,26W29,07/17,28.4,5.27,25.0,6.04,22.5,6.4
26,6491,晶碩,373.0,4.0,1.08,26W29,07/17,57.9,0.49,56.2,-1.24,53.8,-0.04
27,009809,富邦淨零ESG50,17.15,-0.12,-0.69,26W29,07/17,25.9,6.83,23.5,6.85,17.6,3.96
28,00408A,主動第一金優股息,10.09,-0.16,-1.56,26W29,07/17,34.1,,33.7,,28.8,
29,00992A,主動群益科技創新,16.63,-0.3,-1.77,26W29,07/17,14.1,-1.64,13.3,-1.59,12.0,-1.62
30,3489,森寶,26.0,0.1,0.39,26W29,07/17,71.0,0.0,69.5,0.0,66.6,0.0
31,006206,元大上證50,38.6,0.48,1.26,26W29,07/17,19.5,-0.15,17.2,0.34,11.1,0.22
32,00733,富邦臺灣中小,63.2,-1.45,-2.24,26W29,07/17,13.7,-1.71,12.7,-1.7,12.7,-1.7
33,00654R,富邦印度反1,6.58,-0.02,-0.3,26W29,07/17,38.7,0.04,38.7,0.04,33.9,0.04
34,00852L,國泰美國道瓊正2,36.6,-0.96,-2.56,26W29,07/17,58.0,0.5,58.0,0.5,46.9,0.52
35,00400A,主動國泰動能高息,13.74,-0.15,-1.08,26W29,07/17,13.3,2.68,12.1,2.67,11.0,2.68
36,00996A,主動兆豐台灣豐收,13.27,-0.21,-1.56,26W29,07/17,14.6,0.23,13.3,0.24,12.1,0.24
37,00964,中信亞太高股息,14.05,-0.05,-0.35,26W29,07/17,18.7,-1.13,15.8,-1.01,13.3,-1.05
38,3260,威剛,416.0,-5.0,-1.19,26W29,07/17,28.2,0.68,26.3,-0.34,25.2,0.18
39,6226,光鼎,22.05,-0.8,-3.5,26W29,07/17,28.1,0.86,25.6,1.67,24.9,1.68
40,00670L,富邦NASDAQ正2,200.65,-0.6,-0.3,26W29,07/17,9.89,-0.86,7.11,-0.01,5.85,1.13
41,00651R,復華香港反1,5.17,-0.03,-0.58,26W29,07/17,61.1,-3.1,54.4,-1.22,48.5,-1.37
42,009819,中信數據及電力,10.31,0.01,0.1,26W29,07/17,12.3,1.12,11.6,1.02,10.2,0.98
43,2321,東訊,15.3,0.3,2.0,26W29,07/17,71.1,0.05,71.1,0.05,67.9,0.0
44,009803,玉山市值動能50,20.84,-0.13,-0.62,26W29,07/17,12.0,-0.81,11.6,-0.79,10.5,-0.23
45,00655L,國泰中國A50正2,35.52,1.04,3.02,26W29,07/17,19.0,-1.46,13.8,0.84,13.8,0.84
46,00999A,主動野村臺灣高息,10.83,-0.05,-0.46,26W29,07/17,11.0,0.02,10.0,-0.06,9.08,-0.23
47,5274,信驊,16345.0,-405.0,-2.42,26W29,07/17,25.2,0.31,23.4,2.07,18.6,-0.12
48,6213,聯茂,389.0,14.0,3.73,26W29,07/17,62.2,-1.21,58.9,-1.63,56.7,-1.85
49,009824,群益美國科技巨頭,10.19,-0.03,-0.29,26W29,07/17,14.5,0.56,13.9,0.69,11.6,0.14
50,2421,建準,151.5,-3.0,-1.94,26W29,07/17,51.5,-0.1,47.5,0.33,45.5,-0.66
51,2388,威盛,77.9,-1.5,-1.89,26W29,07/17,67.1,0.05,66.4,0.17,64.4,-0.17
52,00403A,主動統一升級50,9.72,-0.19,-1.92,26W29,07/17,13.1,0.13,11.9,0.15,10.5,0.13
53,3231,緯創,183.5,-6.0,-3.17,26W29,07/17,59.3,-0.23,58.1,-0.26,57.0,-0.34
54,00926,凱基全球菁英55,26.95,0.07,0.26,26W29,07/17,47.3,0.79,45.8,1.51,44.8,1.5
55,3413,京鼎,309.0,-11.0,-3.44,26W29,07/17,49.9,3.23,46.3,3.26,44.7,1.62
56,5388,中磊,91.4,-0.4,-0.44,26W29,07/17,47.6,2.43,43.7,1.62,41.0,0.99
57,00968B,元大優息投等債,9.17,-0.06,-0.65,26W29,07/17,62.4,-0.72,61.8,-0.74,60.4,-0.76
58,00404A,主動聯博動能50,9.39,-0.07,-0.74,26W29,07/17,21.3,2.75,20.9,2.75,20.1,2.8
59,00631L,元大台灣50正2,33.68,-0.17,-0.5,26W29,07/17,25.4,2.06,22.8,2.18,21.0,2.17
60,00995A,主動中信台灣卓越,16.39,-0.45,-2.67,26W29,07/17,11.0,-0.64,9.89,-0.4,9.22,-0.4
61,4442,竣邦-KY,51.1,-1.7,-3.22,26W29,07/17,68.1,0.0,57.3,0.0,42.8,0.0
62,00966B,統一ESG投等債15+,13.69,-0.11,-0.8,26W29,07/17,36.5,0.64,34.7,0.65,31.6,-0.04
63,2377,微星,153.0,-1.0,-0.65,26W29,07/17,61.9,1.3,60.5,1.15,58.6,1.36
64,00407A,主動凱基台灣,9.28,-0.17,-1.8,26W29,07/17,14.8,2.57,13.5,2.96,11.8,3.11
65,2301,光寶科,247.0,-5.5,-2.18,26W29,07/17,76.7,0.19,75.3,0.12,73.5,0.03
66,00632R,元大台灣50反1,10.35,0.02,0.19,26W29,07/17,37.7,-1.0,32.8,-1.15,29.1,-1.31
67,5392,能率,46.05,-0.15,-0.32,26W29,07/17,32.8,-0.15,31.3,-0.08,29.3,-0.64
68,00994A,主動第一金台股優,16.27,-0.23,-1.39,26W29,07/17,12.7,-1.39,12.0,-1.66,11.0,-1.37
69,00951,台新日本半導體,17.51,-0.56,-3.1,26W29,07/17,22.7,2.95,21.4,2.63,20.1,3.53
70,2359,所羅門,143.5,-1.0,-0.69,26W29,07/17,46.0,1.79,44.0,1.78,40.2,1.21
71,006201,元大富櫃50,42.6,-1.06,-2.43,26W29,07/17,40.3,0.83,40.3,4.68,35.9,0.36
72,00987A,主動台新優勢成長,14.92,-0.5,-3.24,26W29,07/17,12.0,-1.35,12.0,-1.35,10.8,-1.36
73,6538,倉和,145.0,-5.0,-3.33,26W29,07/17,28.2,2.92,20.9,2.8,13.7,2.86
74,9939,宏全,144.5,2.0,1.4,26W29,07/17,58.5,0.46,54.9,0.06,51.3,0.3
75,00921,兆豐龍頭等權重,23.45,0.0,0.0,26W29,07/17,9.21,-1.31,9.21,-1.31,5.92,-1.48
76,2467,志聖,500.0,-19.0,-3.66,26W29,07/17,66.1,1.55,61.8,0.26,60.2,0.25
77,00935,野村臺灣新科技50,55.0,-0.9,-1.61,26W29,07/17,19.5,1.32,18.6,1.27,18.3,1.17
78,00646,元大S&P500,78.25,-0.2,-0.25,26W29,07/17,38.4,0.29,37.0,0.16,35.7,0.02
79,00892,富邦台灣半導體,39.92,-0.2,-0.5,26W29,07/17,14.4,-0.79,13.6,-0.95,12.9,-0.61
80,00941,中信上游半導體,26.15,-0.2,-0.76,26W29,07/17,8.23,0.24,7.32,0.38,6.26,0.19
81,00635U,期元大S&P黃金,44.35,0.08,0.18,26W29,07/17,17.2,-0.4,16.0,-0.66,15.5,-0.05
82,5460,同協,15.85,-0.05,-0.31,26W29,07/17,50.1,-0.13,43.2,-0.13,37.2,-0.13
83,6986,和迅,44.1,0.55,1.26,26W29,07/17,41.6,0.21,37.5,1.69,34.1,0.02
84,3706,神達,91.7,-1.2,-1.29,26W29,07/17,51.8,0.01,51.0,0.01,49.7,0.1
85,6830,汎銓,398.0,-27.0,-6.35,26W29,07/17,27.2,-0.74,20.6,0.44,17.5,1.92
86,5371,中光電,83.0,-3.7,-4.27,26W29,07/17,41.4,-2.16,40.0,-2.88,39.5,-2.63
87,8021,尖點,395.0,-22.5,-5.39,26W29,07/17,43.2,0.49,40.9,0.05,37.9,0.08
88,3213,茂訊,136.5,-2.0,-1.44,26W29,07/17,24.2,-0.93,22.9,0.1,16.7,0.0
89,2313,華通,208.5,-12.0,-5.44,26W29,07/17,56.5,2.19,54.5,1.85,52.8,2.12
90,00984D,主動聯博全球非投,10.15,-0.01,-0.1,26W29,07/17,34.2,-0.92,30.2,-0.98,26.5,-0.71
91,009816,凱基台灣TOP50,14.88,-0.08,-0.53,26W29,07/17,14.8,1.46,13.3,1.49,12.3,1.48
92,00637L,元大滬深300正2,21.12,0.58,2.82,26W29,07/17,50.4,-0.84,45.6,-0.98,41.6,-0.75
93,00875,國泰網路資安,55.65,0.1,0.18,26W29,07/17,10.6,-1.15,5.95,-0.02,0.0,0.0
94,1595,川寶,60.4,-1.5,-2.42,26W29,07/17,42.2,0.99,38.2,-0.22,31.9,-1.86
95,2455,全新,364.0,-8.0,-2.15,26W29,07/17,44.5,0.61,37.7,-0.47,34.4,-0.46
96,00986A,主動台新龍頭成長,14.81,-0.01,-0.07,26W29,07/17,14.9,-0.4,13.1,1.14,6.35,-1.3
97,009825,聯邦美國金融創新,10.05,0.03,0.3,26W29,07/17,14.4,,13.4,,9.7,
98,6902,GOGOLOOK,120.5,-3.0,-2.43,26W29,07/17,64.2,-0.15,60.5,-0.15,57.9,-0.15
99,8050,廣積,69.0,5.9,9.35,26W29,07/17,40.6,0.09,39.2,0.34,36.5,-0.04
100,3339,泰谷,37.8,-2.8,-6.9,26W29,07/17,22.4,0.49,17.0,0.44,17.0,0.44
101,8431,匯鑽科,48.05,-1.95,-3.9,26W29,07/17,21.8,0.09,17.2,-0.01,15.4,-0.01
102,2408,南亞科,457.0,-2.0,-0.44,26W29,07/17,81.4,-0.04,80.7,-0.07,80.2,-0.06
103,009806,台新標普500,13.82,-0.04,-0.29,26W29,07/17,56.5,0.26,52.3,0.26,52.3,0.26
104,4979,華星光,488.0,0.0,0.0,26W29,07/17,34.6,-0.23,30.8,-0.93,26.2,-1.57
105,00955,中信日本商社,15.8,0.19,1.22,26W29,07/17,22.3,0.88,21.1,1.02,20.0,1.04
106,3563,牧德,655.0,-33.0,-4.8,26W29,07/17,42.4,-0.53,39.2,-1.58,35.1,-1.74
107,00888,永豐台灣ESG,31.71,-0.39,-1.21,26W29,07/17,11.9,2.08,11.6,1.96,11.3,1.99
108,6179,亞通,27.05,0.7,2.66,26W29,07/17,37.5,-0.35,33.6,-0.8,31.6,-1.24
109,00662,富邦NASDAQ,121.8,-0.2,-0.16,26W29,07/17,35.4,-0.19,34.4,-0.03,34.1,-0.03
110,3376,新日興,184.5,-4.0,-2.12,26W29,07/17,38.6,0.09,35.8,0.92,34.4,-0.03
111,0052,富邦科技,60.2,-0.25,-0.41,26W29,07/17,18.4,0.06,17.7,0.06,17.1,0.03
112,009823,群益S&P500,10.61,-0.04,-0.38,26W29,07/17,13.3,1.91,12.7,1.89,10.3,1.44
113,3189,景碩,823.0,-30.0,-3.52,26W29,07/17,70.4,0.05,68.1,0.22,67.1,0.4
114,00984A,主動安聯台灣高息,14.87,-0.1,-0.67,26W29,07/17,12.3,0.64,11.1,0.66,10.2,0.79
115,00965,元大航太防衛科技,26.59,-0.13,-0.49,26W29,07/17,40.3,0.0,39.1,0.17,38.9,0.17
116,6269,台郡,66.6,2.1,3.26,26W29,07/17,27.2,-0.65,23.8,-1.5,22.7,-1.49
117,2344,華邦電,163.5,-7.5,-4.39,26W29,07/17,68.5,-0.13,67.6,-0.1,66.7,-0.18
118,00954,中信日本半導體,18.68,-0.59,-3.06,26W29,07/17,17.3,-2.51,15.6,-0.16,13.3,-1.72
119,6531,愛普*,951.0,51.0,5.67,26W29,07/17,58.3,-0.7,56.0,0.07,52.9,-0.03
120,00984B,大華優利美A債15,16.07,-0.12,-0.74,26W29,07/17,30.4,-2.04,28.9,-1.1,26.9,-1.75
121,009813,貝萊德標普卓越50,11.49,-0.04,-0.35,26W29,07/17,19.6,0.23,18.2,0.37,16.8,0.06
122,3029,零壹,109.5,-0.5,-0.45,26W29,07/17,37.6,0.51,36.8,0.95,34.7,0.36
123,3491,昇達科,1235.0,-115.0,-8.52,26W29,07/17,25.3,-0.45,19.4,1.94,15.4,0.73
124,00901,永豐智能車供應鏈,43.67,-0.57,-1.29,26W29,07/17,9.14,0.13,6.68,-1.07,3.91,-0.96
125,00861,元大全球未來通訊,86.95,-0.1,-0.11,26W29,07/17,4.38,1.52,3.31,1.47,3.31,1.47
126,00912,中信臺灣智慧50,33.08,0.08,0.24,26W29,07/17,17.8,-0.45,16.7,-0.48,16.7,-0.48
127,1560,中砂,662.0,-31.0,-4.47,26W29,07/17,60.9,0.41,55.8,1.34,50.7,1.94
128,1815,富喬,85.9,-0.9,-1.04,26W29,07/17,31.6,-1.43,31.0,-0.93,30.2,-0.77
129,00980D,主動聯博投等入息,20.45,-0.05,-0.24,26W29,07/17,34.7,-1.61,33.9,-1.65,31.2,-0.73
130,3665,貿聯-KY,2200.0,-170.0,-7.17,26W29,07/17,53.8,0.74,47.6,-0.01,43.5,0.92
131,8097,常珵,51.8,0.0,0.0,26W29,07/17,68.5,0.03,66.3,0.03,60.5,0.01
132,8081,致新,256.0,-5.0,-1.92,26W29,07/17,31.4,-1.77,28.2,-1.83,25.2,-0.7
133,8299,群聯,2020.0,-5.0,-0.25,26W29,07/17,39.2,-1.23,36.6,0.57,35.0,0.98
134,00714,群益道瓊美國地產,22.33,-0.24,-1.06,26W29,07/17,34.5,-1.7,19.9,1.7,19.9,1.7
135,00720B,元大投資級公司債,32.36,-0.24,-0.74,26W29,07/17,62.5,-0.51,61.7,-0.51,61.1,-0.5
136,00916,國泰全球品牌50,27.22,-0.13,-0.48,26W29,07/17,13.5,0.5,12.9,0.47,10.0,0.32
137,4303,信立,45.05,-0.15,-0.33,26W29,07/17,17.1,-0.2,15.5,-1.04,13.6,-0.13
138,4967,十銓,280.0,0.0,0.0,26W29,07/17,16.0,-0.77,13.4,0.71,10.7,-1.04
139,6138,茂達,276.0,-12.5,-4.33,26W29,07/17,41.5,0.82,36.8,-0.01,30.7,0.0
140,00934,中信成長高股息,28.2,-0.14,-0.49,26W29,07/17,7.56,-0.06,7.25,-0.22,6.62,-0.18
141,3529,力旺,2725.0,65.0,2.44,26W29,07/17,42.4,-1.12,37.7,-1.12,31.4,-1.14
142,3227,原相,205.5,1.5,0.74,26W29,07/17,33.5,-3.82,29.3,-3.74,28.7,-2.6
143,00884B,中信低碳新興債,29.14,-0.1,-0.34,26W29,07/17,98.8,0.0,98.8,0.0,97.4,0.0
144,2354,鴻準,61.8,0.8,1.31,26W29,07/17,43.9,0.03,42.9,-0.09,42.3,-0.03
145,3033,威健,47.05,-0.8,-1.67,26W29,07/17,43.0,3.57,40.9,2.96,38.5,2.25
146,5469,瀚宇博,71.4,0.9,1.28,26W29,07/17,70.0,-0.65,67.9,-0.65,66.6,-0.6
147,3037,欣興,955.0,-18.0,-1.85,26W29,07/17,71.8,0.41,69.7,0.35,67.5,0.42
148,3645,達邁,68.4,-0.9,-1.3,26W29,07/17,39.0,-0.67,37.1,-0.09,35.2,-0.7
149,3594,磐儀,60.0,2.1,3.63,26W29,07/17,51.1,-0.9,46.9,-0.92,42.2,-0.92
