代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
5274,信驊,16540.0,195.0,1.19,08/10,-3,-47,-6.24,-0.11,19,844,14.2,2.03,2,2,0.57,0.01,1,9,4.03,0.02
2892,第一金,34.95,-0.6,-1.69,08/10,-6,-106567,-37.0,-0.74,18,66481,8.24,0.46,1,281,0.55,0.0,-6,-83852,-29.1,-0.58
2880,華南金,44.0,-0.4,-0.9,08/10,-10,-66406,-23.9,-0.48,17,123774,25.1,0.89,-1,-1006,-3.93,-0.01,-4,-9324,-9.62,-0.07
2886,兆豐金,51.0,0.1,0.2,08/10,-6,-65027,-35.9,-0.44,17,70436,12.0,0.47,-1,-898,-3.86,-0.01,-6,-38848,-21.4,-0.26
2379,瑞昱,758.0,8.0,1.07,08/10,-1,-88,-3.37,-0.02,16,3230,4.39,0.63,2,89,1.45,0.02,2,375,6.15,0.07
1477,聚陽,222.0,-2.0,-0.89,08/10,-7,-3550,-23.9,-1.44,12,678,3.22,0.27,-2,-22,-0.68,-0.01,-4,-1850,-24.9,-0.75
1717,長興,70.0,3.8,5.74,08/10,2,5025,26.3,0.42,12,4216,3.34,0.36,1,477,3.51,0.04,6,13520,26.0,1.14
3044,健鼎,401.5,7.5,1.9,08/10,-4,-1885,-17.4,-0.36,12,1328,3.67,0.25,2,63,1.5,0.01,-4,-1049,-9.7,-0.2
3529,力旺,2835.0,110.0,4.04,08/10,-2,-337,-14.6,-0.45,11,1112,9.3,1.49,1,23,1.55,0.03,1,17,1.16,0.02
3711,日月光投控,630.0,45.0,7.69,08/10,-5,-22878,-15.8,-0.51,11,11768,4.37,0.26,1,409,1.42,0.01,1,4609,16.1,0.1
4938,和碩,89.5,2.4,2.76,08/10,2,2026,17.2,0.08,11,2047,1.73,0.08,1,84,1.29,0.0,2,2646,22.4,0.1
0050,元大台灣50,104.25,1.4,1.36,08/10,1,7975,9.72,0.04,10,47289,2.01,0.21,2,23028,15.2,0.1,1,22858,27.8,0.1
3037,欣興,992.0,37.0,3.87,08/10,1,3503,46.9,0.21,10,13918,4.98,0.85,1,162,2.17,0.01,1,3695,49.5,0.23
00980A,主動野村臺灣優選,24.09,0.52,2.21,08/10,1,122,0.78,0.02,8,66755,33.6,8.23,-8,-97897,-49.3,-12.1,-5,-5507,-7.03,-0.68
