排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,020037,元大金融高股息N,11.27,-0.13,-1.14,08/12,-100.0,-100.0,-100.0,-100.0,26.3,11.1,19.9,11.7,6.35,5.94,,6.15
2,020040,元大上櫃ESG龍頭N,11.12,0.0,0.0,08/12,,,,-100.0,-100.0,-55.6,0.33,4.08,7.99,,,2.74
3,00986B,FT金融債10+,9.73,0.03,0.31,08/12,-94.0,-94.0,-95.7,-97.4,-95.0,-93.1,-58.8,-14.4,,,,-1.43
4,00985D,主動貝萊德優投等,10.0,-0.01,-0.1,08/12,-93.1,-95.6,-87.1,-87.5,-65.0,-57.8,-43.1,,,,,
5,00982B,FT投資級債20+,9.62,0.02,0.21,08/12,-47.6,-65.6,-91.4,-80.2,-70.8,-30.2,14.0,19.5,15.6,,,29.3
6,00961,FT臺灣永續高息,13.18,0.05,0.38,08/12,-68.4,-71.4,-70.7,-74.3,-53.0,-47.7,-47.9,-38.9,-7.86,,,-30.4
7,00984D,主動聯博全球非投,10.14,-0.02,-0.2,08/12,-77.4,-79.4,-72.2,-73.9,-63.1,-59.2,-58.5,-52.1,,,,
8,00988B,玉山嚴選非投債,19.97,-0.01,-0.05,08/12,-90.2,-81.9,-77.0,-69.1,-43.2,-26.2,-31.1,,,,,
9,009826,貝萊德世界股票,10.29,-0.03,-0.29,08/12,-71.4,-62.7,-63.7,-68.7,,,,,,,,
10,00881,國泰台灣科技龍頭,54.15,0.65,1.21,08/12,-66.6,-67.5,-65.6,-67.4,-52.6,-43.6,-22.0,-8.3,-4.68,0.25,,-13.5
11,00641R,富邦日本反1,3.69,0.0,0.0,08/12,-39.4,-78.6,-57.6,-67.0,-18.5,-11.0,-8.98,-2.23,-4.65,-4.15,-2.84,-1.22
12,3596,智易,168.5,-0.5,-0.3,08/12,-48.6,-67.7,-72.8,-66.3,-32.6,-19.0,9.85,-6.29,-9.27,0.78,0.33,-7.84
13,00987B,野村10+澳洲公債,16.2,-0.01,-0.06,08/12,6.13,2.48,-10.5,-65.3,-18.0,3.71,17.3,8.06,,,,
14,00771,元大US高息特別股,15.67,-0.01,-0.06,08/12,-23.3,-51.8,-43.1,-64.4,-44.6,17.2,-1.19,-12.8,-5.46,1.32,,-8.89
15,020041,兆豐半導體氣候N,19.16,1.06,5.86,08/12,-89.2,-88.7,-73.2,-62.5,-36.8,-33.3,8.26,-3.94,-3.94,,,-4.0
16,9925,新保,40.1,-0.05,-0.12,08/12,-53.4,-51.1,-64.3,-61.1,-35.9,0.73,5.75,-1.04,-0.75,-0.52,-0.2,-1.38
17,00660,元大歐洲50,47.91,0.08,0.17,08/12,18.0,20.6,6.97,-60.6,-41.2,-14.5,7.84,-2.61,20.5,-1.41,-6.66,-4.27
18,00933B,國泰10Y+金融債,15.91,0.0,0.0,08/12,-66.6,-78.8,-64.8,-58.4,-28.5,-0.31,29.1,49.2,37.0,,,44.7
19,00923,群益台ESG低碳50,42.15,0.22,0.52,08/12,-53.3,-53.7,-45.2,-57.3,-44.1,-34.6,-12.4,-1.86,-2.11,-8.12,,-8.23
20,00937B,群益ESG投等債20+,14.56,0.01,0.07,08/12,-51.0,-66.8,-56.9,-54.6,-29.5,-3.19,31.8,28.2,24.1,,,29.1
21,00878,國泰永續高股息,33.52,0.05,0.15,08/12,-57.4,-54.4,-39.6,-54.5,-36.8,-28.7,8.48,16.5,15.7,-16.9,,22.2
22,00673R,期元大S&P原油反1,12.65,-0.2,-1.56,08/12,-80.0,-82.8,-76.4,-53.9,-2.51,-16.3,17.2,-7.87,-4.68,2.54,,-10.8
23,00950B,凱基A級公司債,13.85,0.0,0.0,08/12,-65.2,-58.8,-57.3,-53.9,-48.2,-11.0,26.6,41.2,43.2,,,38.4
24,2820,華票,16.2,0.0,0.0,08/12,-65.6,-75.8,-73.0,-52.9,-35.9,-14.1,2.59,2.39,4.55,4.92,0.26,1.75
25,00980T,平衡凱基美國TOP,11.99,-0.09,-0.75,08/12,46.8,32.4,25.5,-52.6,-54.2,-28.6,2.69,16.6,,,,17.4
26,00891,中信關鍵半導體,35.93,0.47,1.33,08/12,-16.9,-46.4,-39.9,-51.8,-33.8,-32.2,-5.73,-13.5,-12.7,-4.92,,-15.6
27,2633,台灣高鐵,25.8,0.1,0.39,08/12,-43.3,-61.1,-61.1,-51.1,-21.4,5.7,-9.16,-12.2,-10.6,-5.39,,-13.5
28,00842B,台新美元銀行債,29.74,-0.11,-0.37,08/12,-63.6,-68.4,-58.9,-50.9,-42.1,-40.8,-23.5,-28.0,-22.1,-10.7,,-28.0
29,020033,統一恒生科期N,3.81,-0.07,-1.8,08/12,-66.7,-60.0,-48.4,-49.4,80.0,71.7,47.8,27.3,-6.85,-0.56,,22.7
30,6464,台數科,76.2,0.0,0.0,08/12,0.0,-30.5,-26.3,-49.1,-24.1,4.4,3.77,4.4,1.08,1.48,-0.59,3.91
31,6843,進典,40.0,0.0,0.0,08/12,,0.0,-39.0,-49.0,5.28,-0.17,-0.08,-0.02,-0.14,-0.11,,-0.33
32,00968B,元大優息投等債,9.12,0.01,0.11,08/12,47.9,-7.81,-1.41,-48.2,-41.2,-12.8,19.6,30.0,46.1,,,31.3
33,3526,凡甲,288.5,2.0,0.7,08/12,0.3,-22.5,-9.08,-48.1,-27.2,-27.9,-2.08,1.92,0.11,1.66,0.2,3.01
34,00981T,平衡凱基雙核收息,11.97,0.01,0.08,08/12,-34.8,-34.9,-49.3,-48.0,-24.2,-27.2,-23.3,-14.4,,,,-16.3
35,6005,群益證,30.6,0.6,2.0,08/12,-47.8,-45.9,-42.0,-47.4,-29.1,-23.6,-10.9,-11.4,-4.79,-0.03,0.17,-6.9
36,00865B,國泰US短期公債,49.3,-0.06,-0.12,08/12,-74.6,-58.7,-58.4,-47.2,-46.1,-22.0,-19.1,-26.4,-33.2,-34.1,,-29.1
37,6803,崑鼎,268.5,-0.5,-0.19,08/12,-59.7,-59.7,-51.2,-47.0,-21.9,-8.45,-7.68,-9.28,-5.49,-0.26,-0.44,-4.56
38,00970B,台新BBB投等債20+,9.21,0.01,0.11,08/12,-49.8,-68.7,-43.4,-46.7,-20.5,-7.48,19.3,27.0,45.5,,,32.9
39,2834,臺企銀,16.5,0.1,0.61,08/12,-14.7,-42.1,-44.6,-46.6,-21.1,-9.89,2.46,-5.18,-2.93,-1.7,-0.84,-6.52
40,00980D,主動聯博投等入息,20.42,0.0,0.0,08/12,-79.7,-75.6,-42.4,-46.3,-18.3,-9.24,1.83,2.18,-7.57,,,-2.33
41,00948B,中信優息投資級債,9.27,-0.02,-0.22,08/12,-56.6,-59.5,-30.6,-45.9,-16.8,4.76,49.3,59.8,56.9,,,56.5
42,9908,大台北,29.0,-0.05,-0.17,08/12,-46.8,-50.6,-40.4,-45.7,-45.4,6.14,10.2,2.74,2.01,1.28,0.63,2.22
43,2538,基泰,9.13,0.0,0.0,08/12,-24.1,-52.0,-37.8,-45.3,-48.6,-11.7,-6.28,-3.09,-5.61,-0.92,-1.43,-4.21
44,2812,台中銀,18.65,0.15,0.81,08/12,-19.6,-41.6,-42.7,-45.2,-28.9,-0.31,2.83,-3.01,-5.33,-1.83,-0.74,-5.69
45,00989B,台新美國非投等債,10.29,-0.01,-0.1,08/12,-56.3,-49.3,-46.5,-44.9,-34.9,-16.0,-4.57,,,,,
46,00646,元大S&P500,78.35,-0.4,-0.51,08/12,-16.6,-21.1,-41.0,-44.8,-46.5,-9.45,-14.7,-20.5,-4.43,-12.1,-12.5,-18.4
47,5531,鄉林,7.37,-0.08,-1.07,08/12,-61.0,-38.7,-49.9,-44.6,-26.3,-6.2,-3.03,-6.81,-5.55,-1.34,-0.47,-6.97
48,00676R,富邦臺灣加權反1,5.57,-0.05,-0.89,08/12,-71.8,-44.8,-53.2,-44.2,-24.3,-0.8,-1.91,-3.57,-3.71,-3.0,,-4.51
49,00945B,凱基美國非投等債,14.69,-0.01,-0.07,08/12,-51.9,-57.3,-60.2,-43.6,-21.1,-6.35,9.41,12.3,8.54,,,8.91
50,00664R,國泰臺灣加權反1,1.63,-0.01,-0.61,08/12,-41.9,-47.4,-51.1,-43.6,-23.9,2.44,1.42,-0.1,-0.33,-3.18,-3.31,-0.52
51,00982D,主動富邦動態入息,9.85,0.02,0.2,08/12,8.76,-34.9,-42.4,-43.4,-40.0,-6.77,-1.81,4.22,,,,4.98
52,3703,欣陸,20.0,-0.15,-0.74,08/12,-45.1,-57.5,-64.9,-43.0,-21.7,-1.59,-4.38,-8.62,-5.71,-1.21,-0.15,-6.97
53,2838,聯邦銀,19.9,0.0,0.0,08/12,16.3,-43.3,-52.5,-42.8,-17.2,-16.7,-5.22,-0.34,2.44,-3.7,1.15,-4.44
54,00647L,元大S&P500正2,142.0,-1.55,-1.08,08/12,-34.0,-15.0,-21.0,-41.6,-5.6,27.0,23.5,10.8,11.8,1.4,-0.76,9.19
55,2836,高雄銀,11.9,0.05,0.42,08/12,-42.0,-40.0,-38.3,-40.8,-23.8,1.33,3.63,-0.67,2.28,1.56,1.57,-1.39
56,3130,一零四,207.0,4.0,1.97,08/12,-22.3,-34.4,-39.7,-40.7,-41.9,-50.1,-42.4,-36.1,-27.6,-28.6,-18.5,-34.7
57,00661,元大日經225,87.5,0.4,0.46,08/12,55.7,32.0,-39.2,-40.5,-20.4,-17.4,11.4,-0.88,-4.13,-2.9,-5.91,-2.58
58,1315,達新,63.6,-0.8,-1.24,08/12,-29.8,-33.0,-42.3,-40.3,-18.2,3.05,-1.07,0.96,0.57,-0.46,-0.23,1.04
59,00662,富邦NASDAQ,122.3,-0.65,-0.53,08/12,-51.1,-32.7,-26.5,-40.3,-51.0,-34.7,-29.1,-28.3,-22.8,-20.6,-20.6,-28.5
60,2548,華固,93.6,0.0,0.0,08/12,-21.3,-20.6,-33.8,-39.7,-43.4,-22.5,-17.2,-2.57,-0.32,-1.58,-1.2,-2.61
61,6679,鈺太,212.0,1.0,0.47,08/12,-5.53,-14.5,-18.2,-38.7,-18.3,-1.71,0.26,4.92,3.59,-0.75,,3.77
62,00666R,富邦恒生國企反1,9.08,0.11,1.23,08/12,-2.54,40.8,38.3,-38.7,-49.6,-48.1,-23.2,-12.8,0.4,-1.67,-1.96,-4.11
63,1234,黑松,33.65,0.15,0.45,08/12,-31.2,-45.0,-39.8,-38.4,-13.6,19.8,8.03,3.1,-0.65,-4.33,-2.19,2.82
64,9930,中聯資源,62.3,0.0,0.0,08/12,-5.81,-2.01,-14.0,-38.1,-23.4,7.19,1.28,3.44,0.86,0.16,0.08,0.2
65,2610,華航,20.25,0.0,0.0,08/12,-19.5,-38.9,-53.5,-37.9,-6.35,5.99,7.84,-2.72,-1.5,1.7,0.32,1.65
66,1477,聚陽,219.0,-2.5,-1.13,08/12,-39.7,-50.8,-51.2,-37.8,-20.4,-15.3,-0.5,-2.61,-3.32,-3.96,-0.02,-4.86
67,00983D,主動富邦複合收益,10.07,-0.02,-0.2,08/12,41.1,-25.4,-35.7,-37.8,-16.4,5.56,4.58,-9.19,,,,-6.18
68,00697B,元大美債7-10,35.81,0.02,0.06,08/12,-16.6,-36.0,-40.7,-37.6,-8.51,15.6,8.3,3.25,-2.1,-11.4,,5.66
69,2608,嘉里大榮,28.6,0.0,0.0,08/12,-68.4,-53.6,-48.8,-37.6,-40.7,5.75,-2.75,-10.8,-10.7,-3.79,-1.47,-11.3
70,2387,精元,37.05,-0.1,-0.27,08/12,-54.9,-55.6,-55.2,-37.2,-17.9,-17.0,7.43,-1.89,-7.07,-0.76,-0.28,-2.72
71,00963,中信全球高股息,13.24,-0.11,-0.82,08/12,-35.2,-37.1,-34.3,-37.0,-35.7,-32.1,-25.0,-10.8,-7.86,,,-8.96
72,009801,中信美國創新科技,12.47,-0.08,-0.64,08/12,-32.8,-47.0,-30.8,-36.7,-9.29,16.0,26.9,34.9,26.9,,,33.9
73,5410,國眾,35.2,0.55,1.59,08/12,12.1,0.44,-29.6,-35.8,-16.2,-15.5,1.87,2.49,1.01,1.21,0.26,2.05
74,6733,博晟生醫,25.4,-0.3,-1.17,08/12,-30.4,-24.6,-34.6,-35.6,-26.6,-16.6,-4.55,-1.92,0.37,-0.63,,-5.2
75,8069,元太,166.0,1.0,0.61,08/12,-35.9,-48.3,-52.8,-35.2,-20.8,-11.7,-1.62,2.23,1.0,0.02,0.27,0.7
76,00985B,群益ESG投等債0-5,10.34,0.01,0.1,08/12,-18.4,-33.3,-31.4,-35.2,-24.0,0.96,3.03,-2.42,,,,-2.97
77,2646,星宇航空,20.55,-0.2,-0.96,08/12,-38.5,-32.9,-44.8,-34.9,-13.0,8.85,9.25,5.16,-0.16,,,3.09
78,6469,大樹,70.7,-0.2,-0.28,08/12,-36.6,-30.2,-19.5,-34.5,-34.3,-12.1,0.55,-4.75,-5.68,-1.88,-0.65,-6.89
79,00882,中信中國高股息,14.93,-0.11,-0.73,08/12,-62.5,-50.6,-38.0,-34.5,4.88,39.9,10.3,21.3,24.1,10.3,,24.3
80,5388,中磊,82.4,-8.7,-9.55,08/12,-70.7,-62.2,-46.9,-34.4,-11.1,2.55,2.45,0.29,-4.21,-2.12,-0.35,-2.94
81,2107,厚生,25.35,-0.15,-0.59,08/12,-46.7,-32.6,-28.2,-34.2,-19.7,-10.6,0.31,2.78,-1.42,-0.96,-3.58,2.94
82,2458,義隆,146.0,0.5,0.34,08/12,-16.1,-23.0,-7.9,-34.0,-18.6,-7.26,1.97,6.28,1.81,2.05,1.56,4.13
83,5880,合庫金,24.1,0.1,0.42,08/12,-30.3,-45.7,-43.4,-33.9,4.03,17.7,16.4,6.8,3.54,-1.0,-0.02,4.76
84,00981B,第一金優選非投債,9.33,-0.01,-0.11,08/12,-68.8,-56.7,-30.9,-33.5,0.33,3.55,0.1,-10.0,-22.7,,,-9.86
85,6613,朋億*,266.5,6.0,2.3,08/12,9.67,-7.24,-24.3,-33.3,-26.7,-13.7,-1.55,2.1,-0.56,0.09,,1.0
86,00701,國泰股利精選30,38.73,0.0,0.0,08/12,-49.3,-60.8,-36.6,-33.3,-7.77,-1.48,10.9,21.9,11.6,11.4,,30.9
87,2886,兆豐金,48.7,-0.7,-1.42,08/12,-31.7,-39.0,-38.4,-33.3,-10.9,1.97,8.18,8.45,6.41,4.95,-0.3,6.3
88,00751B,元大AAA至A公司債,30.74,0.01,0.03,08/12,-6.65,-38.6,-24.3,-32.9,-9.96,19.3,37.1,45.6,42.0,2.16,,51.0
89,2723,美食-KY,61.6,-0.4,-0.65,08/12,-59.6,-58.3,-48.0,-32.9,-12.2,-3.76,-4.39,-1.07,-7.32,-8.62,-2.35,1.15
90,2540,愛山林,44.5,0.5,1.14,08/12,-13.3,-15.8,-31.6,-32.6,-5.24,4.48,3.61,1.6,-3.53,-1.32,-0.99,-1.29
91,1733,五鼎,30.7,-0.15,-0.49,08/12,-48.9,-39.3,-37.6,-32.6,-16.1,6.47,3.93,-1.84,-3.72,-0.28,-0.34,-3.03
92,3531,先益,21.7,0.35,1.64,08/12,0.0,-41.2,-33.2,-32.4,-11.4,1.7,-0.66,-0.49,-1.64,-0.35,0.07,-0.86
93,8926,台汽電,56.8,1.0,1.79,08/12,-12.9,-19.2,-26.5,-32.3,-30.5,-19.4,-3.34,-1.06,-0.58,-0.7,-0.25,-1.52
94,5203,訊連,61.8,-0.3,-0.48,08/12,-31.9,-31.7,-32.9,-32.0,-11.0,-3.53,-6.15,-10.6,-10.6,-0.84,-1.83,-12.9
95,00929,復華台灣科技優息,29.53,0.36,1.23,08/12,-9.18,-24.3,-12.4,-31.8,-23.1,-33.6,-6.59,22.8,35.5,-5.34,,30.9
96,3011,今皓,11.3,-0.2,-1.74,08/12,-16.5,-13.4,-32.7,-31.7,-15.0,-20.9,-0.56,0.09,-1.04,-0.51,-0.05,-1.16
97,2706,第一店,12.5,0.0,0.0,08/12,-17.1,-24.8,-16.7,-31.7,-4.74,15.6,7.32,5.01,2.04,2.62,-0.21,4.02
98,8048,德勝,52.4,0.5,0.96,08/12,-21.1,-33.6,-35.0,-31.5,-9.25,-22.6,-3.78,1.21,0.07,0.06,0.01,-0.34
99,2889,國票金,15.2,0.0,0.0,08/12,-28.6,-40.2,-32.4,-31.0,-7.86,-1.46,7.36,-2.7,-0.23,-0.45,-1.65,-0.13
100,6955,邦睿生技-創,125.0,0.5,0.4,08/12,-36.9,-36.9,-39.2,-30.7,-3.58,9.53,4.28,5.63,3.77,,,3.65
101,3014,聯陽,135.0,0.5,0.37,08/12,3.07,-10.7,-23.1,-30.3,-17.9,-8.11,1.21,-0.34,-3.69,-1.21,0.24,-1.04
102,6988,威力暘-創,13.0,0.3,2.36,08/12,-13.6,-22.0,-31.2,-30.2,-17.2,-2.29,0.63,0.09,-0.32,,,-3.85
103,2704,國賓,45.35,-0.8,-1.73,08/12,-30.9,-25.7,-21.1,-30.1,-23.8,-3.95,-5.61,-5.14,-16.6,-2.5,-0.53,-8.24
104,4532,瑞智,23.8,0.1,0.42,08/12,13.2,-41.4,-47.1,-30.1,-16.3,-16.2,5.37,0.97,-5.68,1.87,0.34,1.92
105,00926,凱基全球菁英55,26.82,-0.23,-0.85,08/12,-5.64,-2.73,-2.86,-29.9,-23.8,-3.43,1.35,3.56,10.3,-4.27,,2.85
106,1467,南緯,9.15,-0.02,-0.22,08/12,-15.9,-33.8,-30.9,-29.8,-7.13,-0.32,-0.26,0.06,-1.57,-0.53,-0.01,0.04
107,00686R,群益臺灣加權反1,1.0,-0.01,-0.99,08/12,-90.1,-66.0,-53.0,-29.8,-15.9,-6.85,-4.44,-5.7,-5.6,-6.9,,-5.85
108,5904,寶雅*,82.5,-4.6,-5.28,08/12,-29.1,-29.2,-29.6,-29.6,-29.6,-28.0,-23.1,-16.5,-15.9,-9.37,-5.33,-15.9
109,2908,特力,21.85,0.05,0.23,08/12,-5.1,-19.2,-12.4,-29.4,-18.5,6.27,9.36,4.05,2.25,-1.05,-4.15,2.6
110,1201,味全,12.25,0.1,0.82,08/12,-3.95,1.32,-11.6,-29.2,-23.7,0.03,-2.16,-5.32,-4.75,-7.63,-1.77,-4.98
111,00984B,大華優利美A債15,16.02,0.01,0.06,08/12,-2.93,-56.1,-34.5,-29.0,1.81,21.1,48.9,0.36,-11.7,,,-12.5
