排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2382,廣達,325.0,-0.5,-0.15,08/13,-25610,-70077,-83241,-117528,-105432,-83478,62026.0,61433.0,64004.0,43824.0
2,2002,中鋼,19.2,-0.55,-2.78,08/13,-10752,-35698,-59031,-57975,-66643,-143104,-148336.0,-115442.0,2184.0,-174179.0
3,0056,元大高股息,53.0,0.3,0.57,08/13,-548,-3776,-6702,-38547,-61278,-20857,-65120.0,-28311.0,60011.0,-89424.0
4,00631L,元大台灣50正2,36.29,0.84,2.37,08/13,-974,-6455,-6510,-34266,-36045,-10306,2737.0,340048.0,335131.0,339453.0
5,2344,華邦電,177.0,0.0,0.0,08/13,3874,1185,-18730,-32413,-102962,-106081,-113319.0,61488.0,-44832.0,56146.0
6,1605,華新,39.3,-0.7,-1.75,08/13,-20710,-25290,-25041,-28420,-35512,-21383,-10323.0,-54098.0,32677.0,-113596.0
7,2887,台新新光金,36.2,0.55,1.54,08/13,-18019,-22961,-18804,-25049,-29067,133346,129115.0,234894.0,-318461.0,118827.0
8,2408,南亞科,514.0,31.5,6.53,08/13,-7622,-17192,-18191,-23397,-17874,27264,20742.0,38807.0,-13101.0,38934.0
9,1216,統一,76.3,0.0,0.0,08/13,-4814,-4928,-13958,-22615,-53077,-29337,-23435.0,35414.0,146908.0,75516.0
10,5371,中光電,86.3,-0.2,-0.23,08/13,-1330,-9397,-11447,-20999,-28033,-24285,-24299.0,-24037.0,-6631.0,-22077.0
11,2317,鴻海,262.0,-8.0,-2.96,08/13,-2373,-8081,-7751,-17470,-32825,-16345,-30540.0,-26153.0,-72935.0,9643.0
12,2883,凱基金,31.5,0.3,0.96,08/13,-13530,-14787,-14636,-15674,-20734,-8757,46994.0,64324.0,-35215.0,61525.0
13,1314,中石化,7.66,-0.12,-1.54,08/13,-3366,-5116,-7632,-15371,-10921,3311,-55429.0,39065.0,4982.0,-9590.0
14,00988A,主動統一全球創新,17.66,0.9,5.37,08/13,-1912,-1646,-3121,-14565,-20135,1027,-7895.0,35280.0,,43206.0
15,8112,至上,97.8,0.9,0.93,08/13,-4255,-4846,-10069,-13908,-15789,-23198,9998.0,-9126.0,13069.0,-18338.0
16,3231,緯創,197.0,3.5,1.81,08/13,-8977,-8566,-9252,-12816,-15996,-16706,77776.0,11109.0,134928.0,71364.0
17,5880,合庫金,24.2,0.1,0.41,08/13,-12272,-14605,-12866,-12355,-13956,-19587,-71898.0,5616.0,-2494.0,19799.0
18,1402,遠東新,26.95,-0.6,-2.18,08/13,-4665,-6107,-7445,-11998,-25363,-71139,-195732.0,1416.0,5201.0,455.0
19,2301,光寶科,269.5,10.0,3.85,08/13,-811,-1142,-8430,-11860,-13653,-9670,-14533.0,-1803.0,-18799.0,3346.0
20,2337,旺宏,136.5,0.0,0.0,08/13,-6340,-8238,-7998,-11164,-232,2231,4049.0,-12011.0,-82141.0,-80270.0
21,2354,鴻準,62.8,-0.2,-0.32,08/13,-915,-3722,-9213,-10512,-14418,-12982,-8453.0,20102.0,44178.0,25035.0
22,00981A,主動統一台股增長,29.95,0.61,2.08,08/13,-1561,-4376,-12422,-9992,-65657,-91743,-65673.0,48567.0,127181.0,102051.0
23,5351,鈺創,129.0,7.0,5.74,08/13,-205,-289,-5099,-9889,-10037,-2416,-6486.0,-2533.0,-11701.0,-10035.0
24,3706,神達,91.7,-0.7,-0.76,08/13,-1586,-1817,-4042,-9799,-13255,-10293,26585.0,-4318.0,38308.0,-7458.0
25,2303,聯電,124.5,1.5,1.22,08/13,-435,-5185,-5521,-9211,-21790,-67339,-524931.0,-342921.0,-971329.0,-523734.0
26,8422,可寧衛*,26.45,-0.45,-1.67,08/13,-828,-2949,-8432,-9101,-14070,-8566,6486.0,8557.0,96228.0,4409.0
27,2356,英業達,68.8,-0.2,-0.29,08/13,-11368,-8308,-7892,-9041,-16049,-35981,-8478.0,-86124.0,-23936.0,-54124.0
28,2801,彰銀,23.55,-0.15,-0.63,08/13,1527,-1349,-611,-7799,9177,13415,32757.0,38680.0,45101.0,37057.0
29,2105,正新,30.7,-1.4,-4.36,08/13,-6013,-6219,-6008,-7717,-15997,-36826,-10950.0,-99812.0,-33858.0,-72988.0
30,00403A,主動統一升級50,10.3,0.2,1.98,08/13,3126,2393,-539,-6388,-162491,15496,77582.0,,,
31,9105,泰金寶-DR,8.3,-0.03,-0.36,08/13,-5175,-5278,-5856,-6295,-8726,-7291,-29377.0,-20690.0,10599.0,-32011.0
32,4763,材料*-KY,51.6,-1.0,-1.9,08/13,-1938,-1822,-4163,-6054,-7485,-3566,-6064.0,-12576.0,16698.0,-9628.0
33,2377,微星,168.0,-1.0,-0.59,08/13,-2123,-1976,-2372,-5698,-6221,-12560,13594.0,25497.0,55690.0,44986.0
34,00400A,主動國泰動能高息,14.73,0.37,2.58,08/13,7,-2438,-2563,-5617,-7947,1671,15014.0,,,
35,3481,群創,49.4,-1.0,-1.98,08/13,-5713,-6416,-6139,-5402,-401,-6416,78070.0,-6074.0,339305.0,386296.0
36,00992A,主動群益科技創新,17.78,0.49,2.83,08/13,0,-1000,-1425,-5335,-7598,-19108,-20152.0,16539.0,,19189.0
37,1608,華榮,36.8,-1.15,-3.03,08/13,-623,-1506,-3442,-5178,-6098,-2185,3179.0,632.0,122.0,-1801.0
38,00990A,主動元大AI新經濟,16.61,0.71,4.47,08/13,-1516,-2310,-3810,-5110,-10189,-1735,-3566.0,1263.0,,-91062.0
39,2603,長榮,215.5,1.0,0.47,08/13,-3949,-4253,-4746,-5030,-14569,-58210,-56713.0,-59550.0,-35563.0,-71639.0
40,00981B,第一金優選非投債,9.33,0.0,0.0,08/13,0,192,-4813,-4813,-8056,-13257,-17435.0,5828.0,15259.0,1268.0
41,2312,金寶,33.15,-0.35,-1.04,08/13,-274,-642,-3551,-4809,-10754,-14652,-8261.0,12897.0,62093.0,-52659.0
42,2388,威盛,76.1,-1.4,-1.81,08/13,-674,-373,-344,-4597,-6315,-1717,-763.0,-9138.0,-923.0,-5027.0
43,00919,群益台灣精選高息,30.41,0.22,0.73,08/13,102,-4107,-4297,-4471,-4569,1712,-29508.0,22820.0,-41807.0,-75941.0
44,00997A,主動群益美國增長,11.76,0.24,2.08,08/13,-11,-928,-928,-4324,-7838,-10722,6368.0,,,
45,1717,長興,78.2,-0.4,-0.51,08/13,-3619,-3369,-3719,-4192,-4534,9205,-9550.0,16786.0,44261.0,26691.0
46,2376,技嘉,393.5,18.0,4.79,08/13,-1581,-297,-1519,-4054,-6190,-722,13413.0,-8661.0,37218.0,18915.0
47,1504,東元,70.4,3.1,4.61,08/13,262,-785,-932,-3780,-6166,4411,-1938.0,41037.0,78078.0,55806.0
48,00900,富邦特選高股息30,18.94,0.0,0.0,08/13,-1030,-1126,-1903,-3705,-6508,-14706,-18566.0,-5635.0,-30809.0,-27099.0
