日期,成交千股,成交金額(千元),成交筆數,櫃買指數,漲跌點數
115/08/03,"682,447","132,226,012","654,724",362.89,15.04
115/08/04,"783,768","159,489,264","752,912",375.03,12.14
115/08/05,"882,982","182,591,031","889,250",383.75,8.72
115/08/06,"842,892","224,818,071","875,358",391.37,7.62
115/08/07,"818,224","206,043,637","924,146",384.19,-7.18
115/08/10,"871,512","188,766,082","920,975",391.61,7.42
115/08/11,"853,989","183,880,347","915,282",391.68,0.07
115/08/12,"940,559","200,917,880","1,025,870",402.02,10.34
115/08/13,"1,042,907","248,782,296","1,134,959",406.12,4.1
115/08/14,"992,501","237,372,937","1,234,054",400.95,-5.17
115/08/17,"745,811","173,191,189","910,429",398.32,-2.63
115/08/18,"1,026,031","237,768,204","1,176,424",390.83,-7.49
