排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
601,2441,超豐,市,114.5,-4.5,-3.78,4070,08/18,-577,-7,-250,-835,62.3,10.9,－－－
602,3259,鑫創,櫃,12.6,-1.35,-9.68,342,08/18,-40,0,0,-40,7.98,10.9,－・－
603,6125,廣運,櫃,49.35,-1.35,-2.66,642,08/18,-135,0,-1,-136,28.2,10.9,－・－
604,4166,友霖,櫃,23.9,-0.15,-0.62,35,08/18,1,0,0,1,26.4,10.9,＋・・
605,8042,金山電,櫃,101.5,-7.0,-6.45,2286,08/18,262,0,-13,249,14.0,10.8,＋・－
606,5471,松翰,市,56.2,-2.2,-3.77,2074,08/18,-76,0,-22,-97,18.2,10.8,－・－
607,2636,台驊控股,市,69.6,0.0,0.0,675,08/18,80,0,0,80,15.3,10.8,＋・－
608,3617,碩天,市,255.5,-4.5,-1.73,1001,08/18,-106,221,-2,113,10.2,10.8,－＋－
609,2409,友達,市,26.35,-0.9,-3.3,152716,08/18,-32023,-54,-4452,-36529,810.0,10.7,－－－
610,5309,系統電,櫃,52.2,-2.0,-3.69,1311,08/18,-175,0,-137,-312,24.7,10.7,－・－
611,2362,藍天,市,47.2,-1.3,-2.68,1259,08/18,-264,0,0,-264,66.5,10.7,－・＋
612,3028,增你強,市,65.6,-1.5,-2.24,1019,08/18,-489,-4,-10,-503,25.4,10.7,－－－
613,3444,利機,櫃,75.4,-3.4,-4.31,210,08/18,-12,0,-2,-15,4.81,10.7,－・－
614,8091,翔名,櫃,221.0,-9.0,-3.91,351,08/18,45,0,-14,30,5.68,10.6,＋・－
615,4745,合富-KY,櫃,11.9,-0.15,-1.24,9,08/18,1,0,1,2,7.4,10.6,＋・＋
616,3030,德律,市,289.5,-10.0,-3.34,778,08/18,-132,-1,-45,-177,25.0,10.6,－－－
617,6679,鈺太,櫃,200.0,-6.5,-3.15,293,08/18,26,0,-7,20,5.8,10.6,＋・－
618,3167,大量,市,770.0,70.0,10.0,5863,08/18,122,-168,31,-15,9.43,10.5,＋－＋
619,6165,浪凡,市,47.3,-0.3,-0.63,232,08/18,-81,0,0,-81,8.17,10.5,－・・
620,6782,視陽,市,198.5,-2.0,-1.0,92,08/18,-26,0,0,-26,6.59,10.5,－・－
621,3693,營邦,櫃,523.0,-2.0,-0.38,781,08/18,-90,0,4,-86,4.48,10.4,－・＋
622,1409,新纖,市,24.35,-0.05,-0.2,8470,08/18,1913,-5,261,2168,168.0,10.4,＋－＋
623,9924,福興,市,38.25,-0.15,-0.39,229,08/18,90,0,0,90,15.6,10.4,＋・・
624,1527,鑽全,市,33.15,0.2,0.61,185,08/18,129,0,0,129,14.3,10.3,＋・・
625,8064,東捷,櫃,99.0,-4.0,-3.88,1838,08/18,198,0,-23,175,19.1,10.3,＋・－
626,8936,國統,櫃,50.1,-0.4,-0.79,1633,08/18,-427,-12,44,-395,25.5,10.3,－－＋
627,910322,康師傅-DR,市,26.9,-0.1,-0.37,126,08/18,115,0,0,115,2.18,10.2,＋・・
628,6435,大中,櫃,254.0,-2.5,-0.97,881,08/18,9,0,1,11,3.82,10.2,＋・＋
629,00666R,富邦恒生國企反1,市,9.11,0.08,0.89,26,08/18,0,0,14,14,1.44,10.2,・・＋
630,1909,榮成,市,11.1,-0.35,-3.06,7382,08/18,-1122,0,-55,-1177,135.0,10.1,－・－
631,3466,德晉,櫃,24.55,-0.55,-2.19,106,08/18,39,0,0,39,7.88,10.1,＋・＋
632,3062,建漢,市,20.25,-0.65,-3.11,840,08/18,-148,0,-33,-181,33.4,10.1,－・－
633,6533,晶心科,市,245.0,1.5,0.62,914,08/18,-42,0,1,-42,5.12,10.1,－・＋
634,3706,神達,市,90.6,-1.5,-1.63,10908,08/18,-3305,2178,-142,-1270,134.0,10.1,－＋－
635,4743,合一,櫃,47.4,0.5,1.07,765,08/18,238,0,-5,233,48.5,10.1,＋・－
636,2472,立隆電,市,228.5,-12.5,-5.19,2295,08/18,755,-573,-44,138,16.5,10.0,＋－－
637,8027,鈦昇,櫃,169.5,-12.5,-6.87,2311,08/18,168,0,-146,22,11.0,10.0,＋・－
638,1541,錩泰,市,22.25,0.4,1.83,14,08/18,-3,0,0,-3,7.86,10.0,－・・
639,4543,萬在,櫃,31.85,0.1,0.31,81,08/18,35,0,0,35,5.95,10.0,＋・＋
