排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00730,富邦臺灣優質高息,28.7,-0.49,-1.68,126,08/17,0.0,0.0,1000.0,0.0,-8.33,37.5,-70.3,-84.3,-47.6,-62.1
2,00864B,中信美國公債0-1,46.06,-0.06,-0.13,1823,08/17,725.0,725.0,1000.0,1550.0,3200.0,,3200.0,-57.7,83.3,3200.0
3,3226,龍鋒,52.3,0.2,0.38,21,08/17,700.0,700.0,700.0,700.0,700.0,300.0,33.3,-33.3,-65.2,-52.9
4,00865B,國泰US短期公債,48.85,-0.07,-0.14,3988,08/17,-2.38,583.0,583.0,583.0,242.0,,-88.4,583.0,4000.0,193.0
5,7792,安葆,262.5,10.5,4.17,801,08/17,1.75,38.7,547.0,652.0,11550.0,,,,,
6,00985D,主動貝萊德優投等,9.75,-0.09,-0.91,2491,08/17,8.33,62.5,333.0,333.0,767.0,-75.9,2500.0,,,
7,00972,野村日本動能高息,21.7,-0.04,-0.18,174,08/17,0.0,300.0,300.0,300.0,300.0,300.0,-27.3,700.0,-92.5,-68.0
8,00936,台新永續高息中小,20.68,-0.41,-1.94,501,08/17,200.0,275.0,275.0,275.0,200.0,-16.7,36.4,-92.7,-98.9,-97.1
9,6840,東研信超,83.0,0.0,0.0,714,08/17,2.84,42.0,246.0,262.0,370.0,326.0,373.0,229.0,,1445.0
10,1623,大東電,205.0,-1.0,-0.49,75,08/17,13.7,53.7,196.0,219.0,822.0,,,,,
11,6730,常廣,33.0,-0.45,-1.35,1,08/17,133.0,133.0,133.0,133.0,133.0,600.0,,,,
12,1315,達新,65.8,-0.1,-0.15,125,08/17,6.67,18.5,129.0,129.0,146.0,88.2,-46.7,-49.2,-46.7,-53.6
13,7631,聚賢研發-創,144.5,-0.5,-0.34,62,08/17,1.68,5.21,123.0,200.0,346.0,,,,,
14,2880,華南金,39.7,0.5,1.28,33200,08/17,-4.73,20.2,120.0,170.0,275.0,270.0,-41.7,576.0,67.6,400.0
15,6655,科定,115.0,-1.5,-1.29,5,08/17,0.0,0.0,100.0,100.0,,,100.0,,0.0,
16,009801,中信美國創新科技,11.45,-0.12,-1.04,1804,08/17,62.1,78.5,93.2,127.0,571.0,571.0,48.4,-38.2,-95.2,-84.5
17,00923,群益台ESG低碳50,39.18,-0.66,-1.66,18325,08/17,-6.12,17.1,86.7,192.0,723.0,1287.0,434.0,89.5,246.0,3085.0
