日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
115/08/03,"11,427,047,935","885,506,043,091","4,191,882","43,386.41",266.66
115/08/04,"11,340,636,777","1,087,045,875,836","4,751,347","43,360.66",-25.75
115/08/05,"13,207,451,811","1,200,212,510,521","5,256,070","44,611.60","1,250.94"
115/08/06,"10,650,583,944","974,054,973,424","4,630,303","44,396.70",-214.90
115/08/07,"9,376,069,669","850,815,189,087","4,398,054","44,225.91",-170.79
115/08/10,"10,238,975,923","880,440,723,750","4,441,614","44,928.76",702.85
115/08/11,"9,740,372,114","902,052,207,533","4,473,307","45,120.72",191.96
115/08/12,"9,972,596,202","892,659,784,922","4,570,191","45,518.07",397.35
115/08/13,"11,492,166,298","1,104,024,642,159","5,240,402","46,021.48",503.41
115/08/14,"11,975,502,093","1,109,746,702,006","5,369,692","45,811.01",-210.47
115/08/17,"10,616,088,292","981,055,134,845","4,740,651","45,857.27",46.26
115/08/18,"10,333,808,272","1,007,881,760,816","5,224,454","45,308.68",-548.59
115/08/19,"10,230,116,335","890,269,743,542","4,880,908","44,719.35",-589.33
