"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"1","5904","寶雅*","78","-0.7","-0.89","08/19","+25.2","+59.6","+135","+928","","+3,466","+1,876","+482","+1,485","+1,294"
"2","00988B","玉山嚴選非投債","19.61","-0.02","-0.1","08/19","-2.59","-2.59","+30.8","+246","+341","-26.2","+1,280","","",""
"3","7631","聚賢研發-創","145","+0.5","+0.35","08/19","+200","-25","0","+200","+200","","","","",""
"4","00728","第一金工業30","66.3","-0.6","-0.9","08/19","0","+28","+50","+158","+221","+221","+101","+101","-57.3","+101"
"5","00989B","台新美國非投等債","10.1","0","0","08/19","+129","+27.4","+27.4","+148","+1,700","+1,700","","","",""
"6","00404A","主動聯博動能50","9.41","-0.11","-1.16","08/19","0","0","0","+146","+80.2","+80.2","","","",""
"7","00981T","平衡凱基雙核收息","11.68","-0.06","-0.51","08/19","0","0","+40.4","+132","+132","+2.26","+283","+9.95","","+841"
"8","00945B","凱基美國非投等債","14.46","0","0","08/19","0","0","+22.7","+115","+108","+108","+68.2","+96","+44.4","+98"
"9","6182","合晶","110","-10","-8.33","08/19","+13.1","+37.1","+69.8","+108","+71.8","+21.8","+81","-6.7","+159","-2.72"
"10","2492","華新科","298","+16","+5.67","08/19","+8.82","+29.6","+44","+105","+527","+535","+351","+79.2","+127","-26.3"
"11","00984D","主動聯博全球非投","10.06","+0.01","+0.1","08/19","+0.29","+0.29","+26.4","+103","+125","+145","+461","","",""
"12","009826","貝萊德世界股票","10.12","-0.06","-0.59","08/19","0","+49.6","+53.9","+84.3","+255","","","","",""
"13","6173","信昌電","213.5","+19","+9.77","08/19","+4.25","+13.2","+19.1","+83.9","+146","+127","+84.7","-2.2","+403","-41.7"
"14","7792","安葆","288.5","+26","+9.9","08/19","-3.15","-3.91","+9.82","+83.6","+83.6","+83.6","+435","","",""
"15","2395","研華","694","+15","+2.21","08/19","+11.7","+12.3","+13.4","+82.6","+103","-58","-88.5","-88","+177","-64.6"
"16","8996","高力","1135","-40","-3.4","08/19","-3.64","+1.46","+26.7","+80.1","+103","+189","+266","+78.7","-69.6","+98"
"17","2428","興勤","256.5","+4.5","+1.79","08/19","+3.78","+8.79","+23","+76.3","+114","+141","+43.6","-44","+165","-51.8"
"18","2645","長榮航太","177","-3","-1.67","08/19","+9.06","+25.9","+50.5","+76","+82.2","+47.4","-46.1","-60.1","+122","-12.2"
"19","3055","蔚華科","115","-2.5","-2.13","08/19","+22.5","+33","+50.7","+70.5","+74","+33.9","-16.7","-26","-50.8","-25"
"20","6525","捷敏-KY","142.5","-5.5","-3.72","08/19","+13.2","+30.4","+30.7","+70.2","+70.6","+19.6","+368","+447","+464","+449"
"21","8046","南電","1180","-65","-5.22","08/19","+18","+28.1","+32.3","+65.8","+200","+107","+12.9","+10.2","-69.7","-3.2"
"22","1515","力山","31.4","-0.55","-1.72","08/19","+4.39","+27.3","+65.4","+63.8","+44.3","+58.9","+82.2","+157","+91.9","+185"
"23","6805","富世達","1800","-160","-8.16","08/19","+10.9","+13.7","+25.1","+61","+177","+144","+149","+136","+159","+189"
"24","2454","聯發科","3845","-40","-1.03","08/19","+4.89","+12","+28.2","+60.4","+21","+58","+50.9","+305","+3.79","-36.9"
"25","9914","美利達","88.6","+8","+9.93","08/19","+7.43","+9.95","+22.6","+60.3","+118","+143","+23.6","+215","+130","+170"
"26","8358","金居","410.5","-5.5","-1.32","08/19","+6.43","+15.4","+34.5","+55.4","+187","+191","+160","+125","+56.3","+87.8"
"27","3388","崇越電","93.3","-7.7","-7.62","08/19","+3.74","+23.6","+41.4","+53.6","+60.4","-20.6","-22.7","+654","+588","+692"
"28","911868","同方友友-DR","1.17","0","0","08/19","0","0","+50","+50","","","","","",""
"29","3406","玉晶光","657","-28","-4.09","08/19","+8.09","+10.4","+17.4","+48.7","+61.2","+63.1","+71.7","+28.7","+15.7","-5.23"
"30","3090","日電貿","177.5","+16","+9.91","08/19","+2.32","+0.88","+6.21","+44.9","+190","+83.5","+92.8","-5.48","+130","+6.08"
"31","00933B","國泰10Y+金融債","15.6","+0.07","+0.45","08/19","0","0","+21.6","+44.3","+76.7","+76.7","+76.2","+30.6","-18.8","+22.9"
"32","00912","中信臺灣智慧50","33.6","-0.67","-1.96","08/19","0","0","+4.75","+43.4","+43.4","+26.9","+61.6","+501","-56.1","-31.6"
"33","00695B","富邦美債7-10","34.92","+0.09","+0.26","08/19","+1.55","+43.1","+43.1","+43.1","+43.1","+43.1","+43.1","+43.1","+23.1","+49.7"
"34","8109","博大","135.5","+1","+0.74","08/19","+33.4","+38","+39.3","+42.7","+53.5","+70","+123","+95.6","+140","+67"
"35","6477","安集","37.5","-0.9","-2.34","08/19","+4.2","+12.1","+33.1","+41.9","+75.9","+59.4","+38.4","+12.8","-21.4","+2.79"
