"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"1","00754B","群益AAA-AA公司債","31.27","+0.19","+0.61","08/19","-100","-100","-100","-100","","","","","",""
"2","00844B","台新15年IG金融債","30.35","+0.2","+0.66","08/19","","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3","00845B","富邦新興投等債","32.59","0","0","08/19","-100","-100","-100","-100","-100","-100","-100","","",""
"4","5371","中光電","84.3","-2","-2.32","08/19","","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5","6838","台新藥","22.65","+0.2","+0.89","08/19","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6","6949","沛爾生醫-創","1085","+30","+2.84","08/19","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7","1563","巧新","61","-1","-1.61","08/19","-98.8","-99","-99","-99","-99.3","-99.4","-99.5","-99.6","-99.3","-99.4"
"8","6657","華安","29.7","0","0","08/19","-52.9","-63.6","-95.1","-95.5","-96.1","-97.1","-99","-98.3","-96.9","-95.9"
"9","8443","阿瘦","11.45","0","0","08/19","-55.6","-55.6","-55.6","-55.6","-55.6","-66.7","-89.7","-97.4","-90.9","-97.2"
"10","2420","新巨","57.2","+0.2","+0.35","08/19","-0.87","-23.2","-54.3","-54.6","-59.2","-50.4","-27.8","-29.4","-52.8","-10.7"
"11","00913","兆豐台灣晶圓製造","44.86","-1.59","-3.42","08/19","-3.28","-3.28","-4.84","-48.8","-49.9","+63.1","+203","+653","+4,957","+4,957"
"12","6221","晉泰","22.3","+0.1","+0.45","08/19","-25.8","-25.6","-43.6","-46.8","-46.4","-48.2","-56.4","-47.3","+6.09","-44.4"
"13","1203","味王","42.8","-0.9","-2.06","08/19","0","0","-30","-46.7","-46.7","-42.4","-44.3","0","-49.5","0"
"14","3591","艾笛森","20.5","0","0","08/19","-2.53","-2.53","-3.36","-44.5","-49.4","-50.8","-71.4","-44.5","-60.1","-36"
"15","8467","波力-KY","98.5","0","0","08/19","0","0","-33.6","-44","-51","-62.3","-77.2","-79.9","-67.4","-78.3"
"16","1605","華新","36.8","-0.3","-0.81","08/19","-28.9","-29.3","-31.8","-43.4","-46.8","-45.6","-35.7","-54.9","-12.7","-66.9"
"17","6505","台塑化","70.2","-1.8","-2.5","08/19","-6.82","-36.5","-33.2","-43","-54.7","-45.9","-65","-30.4","-81.7","-62.5"
"18","3661","世芯-KY","3630","-85","-2.29","08/19","-13.1","-24.1","-30.4","-42.8","-63.7","-74.3","-68.8","-85.3","-72.3","-64.5"
"19","1402","遠東新","28","+0.2","+0.72","08/19","-15.2","-18.8","-25.8","-41.9","-55.8","-78.5","-93.2","-24.1","+51.8","-27.6"
"20","2743","山富","57.3","+0.8","+1.42","08/19","-2.41","-13.5","-33.2","-40.1","-40.7","-42.9","-48.5","-46","-19.2","-49.2"
"21","9951","皇田","53.9","+0.8","+1.51","08/19","-11.4","-11.4","-11.4","-40.1","-40.1","-42.8","-40.7","-35","-38","-31.8"
"22","2027","大成鋼","50","+0.3","+0.6","08/19","-13.6","-18.4","-31.9","-38.9","-65.2","-82.8","-97","-96.3","-91.9","-94.8"
"23","2892","第一金","33.6","-0.1","-0.3","08/19","+3.29","-4.63","-18.3","-38.6","-23.4","-23.9","+22.2","+270","+714","+185"
"24","6515","穎崴","6370","+55","+0.87","08/19","-0.43","-10.2","-19.6","-38.5","-26.5","-25.8","+2.22","-56.1","-81.2","-71"
"25","7769","鴻勁","6445","-80","-1.23","08/19","+1.94","-19.2","-21.1","-38.2","-58.8","+2.68","-21.6","","",""
"26","3356","奇偶","63","-1","-1.56","08/19","-28.1","-28.3","-38.4","-38","-37.1","-13.5","-12.3","-43.9","-71.2","-58"
"27","2014","中鴻","16.9","-0.05","-0.29","08/19","-4.08","-4.2","-36.9","-37.8","-41.4","-72.1","-86.5","-92.1","-91.3","-90.4"
"28","2382","廣達","331","+4","+1.22","08/19","+0.47","-3.67","-22.7","-37.6","-59.6","-54.1","+1.2","+20","+6.58","+1.14"
"29","4543","萬在","32.05","+0.2","+0.63","08/19","0","-1.88","-37.1","-37.3","-51.9","-55.3","-63.7","-69.2","+58.1","-35.9"
"30","2364","倫飛","82.6","-2.2","-2.59","08/19","-25.1","-25.4","-34.7","-35.9","-38.3","-45.8","-39.7","-55.1","-5.74","-37.9"
"31","3147","大綜","221.5","-3.5","-1.56","08/19","0","-3.81","-36.4","-35.4","-31.2","-34.7","-69.2","-69.6","-48.1","-67.3"
"32","2323","中環","10.85","-0.25","-2.25","08/19","-6.63","-6.94","-34.4","-35.3","-35.8","-53.5","-58.5","-42.3","-19","-5.74"
"33","009803","玉山市值動能50","20.95","-0.2","-0.95","08/19","0","0","-7.65","-35.1","-37.2","-9.34","+35.4","-18.2","-44.9","-27.7"
"34","3443","創意","5295","-240","-4.34","08/19","-2.83","-31.2","-30.8","-34.8","-31.6","-34.5","+27.9","-24.1","-75.3","+1.14"
"35","8112","至上","91","+0.7","+0.78","08/19","+1.19","+2.37","-18.9","-34.6","-49.6","-59.6","+4.18","-43.2","+28.1","-54.5"
"36","7750","新代","2515","+25","+1","08/19","+3.14","-27.1","-22.6","-33.6","-10.9","+10.8","+64","","",""
"37","6446","藥華藥","1400","0","0","08/19","+0.58","-24.3","-20.9","-33.4","-43.6","-3.63","+7.71","-34.4","-86.2","-86.7"
"38","8403","盛弘","19.35","0","0","08/19","+0.23","-8.06","-28.1","-32.9","-43.6","-39.4","+5.88","+69.2","+20.9","+45.9"
"39","6465","威潤","46.1","-0.7","-1.5","08/19","+8.18","+8.18","+8.35","-32.9","-12.5","-7.7","-35.5","","",""
"40","3017","奇鋐","3095","+80","+2.65","08/19","-7.74","-13.2","-25.4","-32.8","-52.6","-49","+77.2","+146","-3.32","+44.7"
"41","2028","威致","15.55","0","0","08/19","0","-0.27","0","-31.8","-31.3","-32.6","-46.9","-49.4","-62.6","-42.9"
"42","8096","擎亞","108","-2","-1.82","08/19","-4.09","-24.8","-28.6","-31.8","-35.3","-36.5","-53.7","-67.2","-66.4","-77"
"43","00918","大華優利高填息30","33.82","+0.03","+0.09","08/19","0","0","-0.06","-31.8","-36.9","-81","-77.9","-54.4","-69.2","-88.5"
"44","9940","信義","20.5","-0.2","-0.97","08/19","0","-14.6","-17.1","-31.6","-30.6","-29.4","-49.5","-32.7","-60.3","-38"
"45","1438","三地開發","22.45","+0.05","+0.22","08/19","0","-12.6","-28.2","-31.1","-31.1","-23.6","+21.3","-11.7","-46.6","-38.8"
"46","3022","威強電","91.9","-0.9","-0.97","08/19","-14.8","-14.9","-30.2","-30.9","-34.4","-40.8","-54.9","-44.7","-33.9","-39.1"
"47","6108","競國","24.75","+1.15","+4.87","08/19","-17.3","-19.4","-28.1","-30.4","-63.2","-52.2","-25.5","-17.8","-36.8","-21.2"
"48","2351","順德","185","+9","+5.11","08/19","+0.05","+2.1","+2.34","-29.9","-31.7","-32","-58","-52.4","-55.1","-70.9"
"49","009824","群益美國科技巨頭","9.99","-0.14","-1.38","08/19","0","0","0","-29.8","-29.8","0","","","",""
"50","3323","加百裕","29.55","-0.45","-1.5","08/19","-2.37","-1.95","-29.4","-29.7","-29.6","-30.6","-25.6","-24","+31","-27.9"
"51","9949","琉園","23.3","+0.05","+0.22","08/19","0","0","-29.4","-29.4","-29.4","+9.09","+9.09","+60","","+84.6"
"52","3052","夆典","11.3","+0.15","+1.35","08/19","-1.37","-1.52","-18.5","-29.3","-29.3","-34.4","-48","+42.1","+85.6","+12.3"
"53","3010","華立","130","+2","+1.56","08/19","+1.92","-15.8","-26.7","-28.4","-26.4","-31.8","-63.8","-48.9","-64","-49"
"54","2221","大甲","52.6","-1.8","-3.31","08/19","-6.74","-15.6","-28.4","-28.3","-25.7","-17.1","+59.6","+573","+564","+573"
"55","3046","建碁","58.7","-0.3","-0.51","08/19","0","-6.91","-28.2","-28.2","-27.5","-23.8","+19.7","-34.5","-43.2","-28.1"
"56","009823","群益S&P500","10.47","-0.03","-0.29","08/19","+3.05","+4.49","+4.49","-28.2","-28.2","+4.49","","","",""
"57","2852","第一保","27.65","+0.3","+1.1","08/19","-4.64","-4.38","-4.38","-28","-31.8","-37","-53.8","-23","-63","-22.2"
"58","6265","方土昶","59.2","+0.4","+0.68","08/19","-6.28","-8.86","-19.9","-27.9","-26.4","-30.1","-19.5","+96","+215","+22.7"
"59","2431","聯昌","10.15","-0.05","-0.49","08/19","0","-27","-27","-27.7","-49.3","-51.5","-70.9","-91.4","-89.4","-91.9"
"60","6121","新普","401.5","+4","+1.01","08/19","-0.64","-4.91","-5","-27.7","-27.1","-34.3","-64.6","-9.14","+25.6","-27.8"
"61","2484","希華","73","+1.1","+1.53","08/19","-10","-10.3","-21","-27.4","-27.1","-24.4","-10.4","+42.2","+504","+315"
"62","2066","世德","57","-1.8","-3.06","08/19","0","-1.26","-28","-27.3","-38.9","-37.9","-28.6","-40.5","-66.3","-53.7"
