"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","2704","國賓","45.7","-0.2","-0.44","08/19","85","89.8","86.6","83","82","64.2","53.4","50.9","55.1","35.3","24.8","50.9"
"2","9925","新保","39.95","-0.05","-0.12","08/19","81.8","88.7","85.4","83.4","84.8","56.4","45.9","38.9","27.7","10.4","3.64","36.3"
"3","8464","億豐","369","-2","-0.54","08/19","60.4","70.3","84.1","81.6","82.7","78.9","80.8","64","29.1","11.1","4.04","47.8"
"4","00982B","FT投資級債20+","9.44","+0.08","+0.85","08/19","0","82.7","83","68.8","47.5","51","28.1","13.4","4.96","","","9.98"
"5","2884","玉山金","37.8","-0.3","-0.79","08/19","91.4","84","82.9","80","77.4","63.6","55","55.3","57.6","52.2","50.1","55.5"
"6","2207","和泰車","506","-6","-1.17","08/19","89.1","85.2","82.8","74.1","77","59.2","52.5","58.2","62.1","66.1","60.6","59.1"
"7","00867B","台新A-BBB電信債","29.34","+0.11","+0.38","08/19","96.5","84.8","82.4","49.2","41.2","17.5","11.8","8.97","1.85","1.18","","7.57"
"8","1590","亞德客-KY","1455","-25","-1.69","08/19","86","80.7","81.6","68","63","68","74.3","74.1","72.3","72.1","54.9","72"
"9","3596","智易","160","-2","-1.23","08/19","86.7","81.9","81.1","82.5","83.6","69","48.8","52.2","55.6","41.6","22.5","53.4"
"10","6906","現觀科","71.3","-0.4","-0.56","08/19","91","64.8","77.2","35.2","33.3","35.1","21.4","23.3","15.2","","","22.2"
"11","2106","建大","17.4","0","0","08/19","69.6","78.7","77.2","74.2","68.2","54.3","44.2","44.1","43.7","36.7","30.5","43"
"12","2227","裕日車","48.35","-0.05","-0.1","08/19","84","80.3","75.3","50.1","38.4","29.4","24.5","26.3","26.6","27.2","20.6","26.8"
"13","3130","一零四","211.5","-0.5","-0.24","08/19","76.7","67.4","75.2","73","72.2","73.4","65","57.7","54","50.6","48","55.7"
"14","6534","正瀚-創","91.3","+0.2","+0.22","08/19","57.6","53.7","75.1","55.2","50.4","42.4","37.5","34.2","27.3","","","33.9"
"15","1104","環泥","26.4","0","0","08/19","73.9","78.1","73.7","73.7","65.7","60.9","50.7","45.4","32.1","34.4","29.5","44.1"
