"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"1","00982A","主動群益台灣強棒","21.63","-0.51","-2.3","27,223","08/19","+2,156","","","+10,050","+186","+449","+250","","","-45.3"
"2","3045","台灣大","113.5","+2.5","+2.25","26,629","08/19","+270","+243","+2,119","+6,557","+1,626","+538","","+556","+718","+177"
"3","6840","東研信超","82.4","-0.6","-0.72","233","08/19","+0.56","+14.1","+74.5","+5,833","+8,800","+8,800","+3,460","+5,833","",""
"4","00891","中信關鍵半導體","33.12","-0.76","-2.24","22,219","08/19","+576","","","+5,475","+2,130","+556","+619","","","+407"
"5","2427","三商電","21.95","-0.25","-1.13","290","08/19","-18.8","-18.8","-44.7","+2,500","+225","-49","+136","-92.2","-99.4","-93.9"
"6","3490","單井","46.8","+2.3","+5.17","11,939","08/19","+48.9","+146","+500","+2,167","+6,700","+3,980","+5,000","+40,700","+1,674","+40,700"
"7","6841","長佳智能","52.5","+0.2","+0.38","183","08/19","0","+1,400","+1,400","+1,400","+1,400","+650","","","","+275"
"8","6716","應廣","136.5","-1","-0.73","422","08/19","-6.56","-5","-40","+1,325","+2,750","+2,750","+533","+256","+1,800",""
"9","1217","愛之味","9.93","-0.01","-0.1","305","08/19","+27.3","+75","+180","+1,300","+1,300","+367","","","",""
"10","7556","意德士","243.5","-8.5","-3.37","42","08/19","0","+111","","+1,167","","","","","",""
"11","3622","洋華","48.7","-0.65","-1.32","329","08/19","-20","-16.7","+11.1","+900","+900","","+1,900","+567","+186","+900"
"12","1909","榮成","11.2","+0.1","+0.9","6,531","08/19","-55.4","+12.5","+500","+800","+54.3","+5,300","+5,300","+500","0","+350"
"13","5263","智崴","88","-1.4","-1.57","125","08/19","+21.6","+25.3","+31","+681","+4,975","","+361","+464","+10,050",""
"14","5515","建國","53.8","-0.4","-0.74","1,056","08/19","+93.3","+142","+2,800","+625","+625","-38.3","+867","+625","+70.6","+11.5"
"15","2440","太空梭","13.7","+0.1","+0.74","253","08/19","+16.7","+16.7","+16.7","+600","+600","","+600","","",""
"16","7795","長廣","544","-28","-4.9","886","08/19","-6.67","-44","+75","+600","","","","","",""
"17","2605","新興","36.75","+1.55","+4.4","70,856","08/19","+155","+704","+646","+597","+1,129","+1,800","+1,393","+75.6","+20.1","-28.4"
"18","3167","大量","693","-77","-10","8,196","08/19","+29.4","+474","+1,220","+560","+780","+408","-29","-81.6","-92.1","-85.7"
"19","3498","陽程","190.5","+16.5","+9.48","3,132","08/19","-10.1","+115","+114","+545","+868","+503","+238","+461","+52.5","+353"
"20","2323","中環","10.85","-0.25","-2.25","6,820","08/19","-7.48","-23.3","+168","+519","+70.7","+30.3","+254","+13.8","+2.06","-48.7"
"21","6214","精誠","178.5","+2.5","+1.42","9,858","08/19","-18.9","-53.8","+438","+514","+53.6","+514","+2,050","+378","+291","+438"
"22","5608","四維航","17.5","+1.55","+9.72","36,194","08/19","+228","+454","+518","+501","+686","+1,492","+31,750","+202","+28.7","+115"
"23","3023","信邦","322","+15","+4.89","1,915","08/19","+20","+20","+50","+500","","-45.5","-68.4","-14.3","","-71.4"
"24","6811","宏碁資訊","225.5","+3","+1.35","113","08/19","0","+500","+500","+500","+100","+500","","","",""
"25","2352","佳世達","28.75","+0.4","+1.41","5,686","08/19","+21.6","-20.4","+91.5","+462","+718","","+233","-81.7","+221","+5.88"
"26","3141","晶宏","71.1","+1.4","+2.01","379","08/19","+5.17","-10.3","+16.2","+455","+542","+455","+249","+510","","+662"
"27","1727","中華化","92.7","+3.6","+4.04","18,358","08/19","+13","+324","+631","+441","+631","+213","+3.32","+67.3","+38.1","-41.1"
"28","3305","昇貿","109.5","0","0","1,107","08/19","-39.8","-40.2","-40","+431","+354","+1,331","+30.1","-4.62","-93.7","-6.06"
"29","2364","倫飛","82.6","-2.2","-2.59","544","08/19","-64.3","+25","-28.6","+400","+400","","","-37.5","-79.2","-68.8"
"30","6658","聯策","156.5","-5","-3.1","276","08/19","+275","+114","+87.5","+400","+87.5","+25","-75.4","+36.4","-76.6","-65.9"
"31","8089","康全電訊","17.7","+0.15","+0.85","95","08/19","0","+1,400","+1,400","+400","-11.8","+25","+50","-91.7","","-96.6"
"32","6727","亞泰金屬","443.5","+2","+0.45","1,255","08/19","0","+14.3","+140","+380","+380","+1,100","-46.7","+2,300","",""
"33","6584","南俊國際","600","-2","-0.33","718","08/19","-9.52","-9.52","+35.7","+375","+90","0","+18.8","-95","-92.8","-91.9"
"34","5225","東科-KY","59.6","-0.4","-0.67","241","08/19","+42.2","+181","+174","+372","+5,800","+883","+462","+808","+14.6","+195"
"35","4561","健椿","47.3","-2.1","-4.25","1,943","08/19","+18.2","+8.33","+30","+333","","","-55.2","-73.5","-50","-55.2"
"36","3138","耀登","95.4","+0.4","+0.42","151","08/19","+1,600","+467","+467","+325","+325","","-10.5","-98.7","+112","-50"
"37","2915","潤泰全","61.8","+1","+1.64","4,692","08/19","+68","-27.6","+162","+320","+367","+162","+110","+600","+5","-12.5"
"38","8210","勤誠","985","-40","-3.9","2,094","08/19","+319","+272","+235","+319","+272","+158","+103","-53.1","-80.6","-75.9"
"39","3059","華晶科","39.25","-0.05","-0.13","1,367","08/19","+13","+259","+281","+307","+455","+118","+103","+64.9","-70.8","+52.5"
"40","00922","國泰台灣領袖50","39.93","-0.65","-1.6","7,283","08/19","+33.3","+300","+300","+300","+300","0","-92.6","-66.7","-86.7","-69.2"
"41","2537","聯上發","11.55","+0.4","+3.59","2,689","08/19","+300","+300","+500","+300","+300","+1,100","","","-71.4","-87"
"42","4127","天良","88.8","-3.5","-3.79","286","08/19","-20","0","+100","+300","","-42.9","+100","-20","-55.6","0"
"43","5434","崇越","530","-23","-4.16","1,627","08/19","+100","+300","+300","+300","+300","+100","-85.2","+100","+33.3","0"
"44","5522","遠雄","62.6","-0.5","-0.79","605","08/19","0","0","-20","+300","","+100","+100","+100","-71.4","-93.2"
"45","6859","伯特光","113.5","+9","+8.61","118","08/19","+33.3","+300","+300","+300","+300","+300","","0","-42.9","+33.3"
"46","6869","雲豹能源","65.6","-4.2","-6.02","1,510","08/19","-50","-14.3","+140","+300","","-84.4","-50","-29.4","-61.3","-72.1"
"47","1515","力山","31.4","-0.55","-1.72","1,887","08/19","-14.8","-23.3","-28.1","+283","+76.9","-84","+667","+2,200","0","+360"
"48","2615","萬海","106.5","+1.5","+1.43","41,216","08/19","+2.44","+44.5","+213","+266","+697","+309","+385","-62.6","-69.3","-71.8"
"49","4904","遠傳","101.5","0","0","4,101","08/19","0","+250","+250","+250","+250","+180","","","-72.5","+1,300"
"50","00947","台新臺灣IC設計","35.48","-1","-2.74","7,098","08/19","+1.79","+104","+229","+249","+116","+1,325","+1,325","+362","","+5,600"
"51","4439","冠星-KY","108.5","+2","+1.88","255","08/19","+417","+464","+464","+244","+288","+1,140","","+313","","+288"
"52","6275","元山","45.15","+1.25","+2.85","873","08/19","+240","+240","+240","+240","+240","","-37","0","-15","-26.1"
"53","6419","京晨科","161.5","-2","-1.22","432","08/19","+233","+900","+900","+233","+400","","+150","","","+150"
"54","6173","信昌電","213.5","+19","+9.77","9,949","08/19","+44.6","+30.9","+26","+232","+1,589","+765","+279","+210","+10,036","+54.1"
"55","2439","美律","79.1","+0.1","+0.13","1,011","08/19","-14.8","+188","+229","+229","-74.7","-82.7","+283","+188","-88.9","0"
"56","2609","陽明","59","+2.8","+4.98","114,832","08/19","+18.3","+66.9","+225","+223","+232","+253","+848","+1.74","-47.3","-15.8"
"57","3217","優群","136","+0.5","+0.37","338","08/19","-17.4","+46.2","-9.52","+217","+1,800","","+280","+1,800","+138",""
"58","1612","宏泰","34.45","+0.1","+0.29","409","08/19","0","+50","+50","+200","-94.5","-94.5","+200","+50","-50","-70"
"59","2611","志信","15.5","+0.1","+0.65","1,822","08/19","0","0","0","+200","+200","+200","-25","0","+50","-70"
"60","3078","僑威","53.1","+0.1","+0.19","464","08/19","0","0","0","+200","+150","-68.1","-50","0","-97.1","-6.25"
"61","3296","勝德","24.4","+0.9","+3.83","25","08/19","+50","+200","+200","+200","+200","+200","","+100","+200","-40"
"62","3551","世禾","173.5","+1","+0.58","183","08/19","-25","-14.3","+100","+200","+200","+200","-70","-57.1","-93.7","-87.8"
"63","5381","光譜","23.7","-0.35","-1.46","280","08/19","0","0","0","+200","0","-93.8","","","",""
"64","5876","上海商銀","43.5","+0.3","+0.69","7,354","08/19","+500","+200","+200","+200","+200","+200","+500","+500","-85.7","-83.8"
"65","6218","豪勉","38.55","+0.8","+2.12","1,447","08/19","-30.8","+68.8","+200","+200","+1,250","+800","+17.4","","","+12.5"
"66","6517","保勝光學","66.6","-1.5","-2.2","1,795","08/19","-62.5","+200","-70","+200","-40","-94.3","+50","-83.3","-83.3","-81.2"
"67","6829","千附精密","213.5","-7","-3.17","719","08/19","-14.3","-31.4","+33.3","+200","+243","+500","-51","+2,300","-53.8","+700"
"68","8103","瀚荃","83.6","+0.2","+0.24","1,654","08/19","-90.3","-25","0","+200","","+200","-87","-97.3","-94.7","-80"
"69","9919","康那香","13.75","-0.05","-0.36","210","08/19","","","","+200","+200","+200","-40","-97.4","-80","-88"
"70","3605","宏致","119","-2","-1.65","6,294","08/19","-1.7","-15.7","+22.3","+197","+1,270","+3,276","+700","+13,740","+250","+5,223"
"71","3090","日電貿","177.5","+16","+9.91","21,471","08/19","+236","+40.5","+136","+192","+196","-38","-74.6","+283","+957","+139"
"72","2637","慧洋-KY","91.8","+3.1","+3.49","11,209","08/19","+84.2","+94.4","+100","+192","+48.9","+112","-83.5","-46.2","-83.8","-73.2"
"73","4952","凌通","52","+1.1","+2.16","517","08/19","+83.3","+120","+120","+175","+83.3","+1,000","+450","+120","+175",""
"74","2884","玉山金","37.8","-0.3","-0.79","103,424","08/19","-22.2","-1.7","-2.76","+171","+177","+408","+15,775","+404","+142","+95.4"
"75","2478","大毅","134.5","+12","+9.8","11,551","08/19","+251","+227","+206","+157","+200","+929","-48.8","+1,500","","+300"
"76","2634","漢翔","68.6","-4.7","-6.41","59,904","08/19","-42.7","-8.28","-17.4","+154","+45","+6.13","+5,440","+267","+35.5","+81"
