"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","5314","世紀*","21.5","+1.95","+9.97","11,029","08/19","+2,139","+2,164","+2,168","+2,168","+1,959","+1,693","+1,606","+2,080","+241","+1,988"
"2","4967","十銓","260","+8","+3.17","5,607","08/19","+947","+1,457","+1,901","+1,901","+1,681","+1,692","+1,162","+947","+1,790","-182"
"3","6173","信昌電","213.5","+19","+9.77","9,949","08/19","+438","+335","+293","+991","+1,335","+1,255","+1,045","+961","+1,405","+498"
"4","3605","宏致","119","-2","-1.65","6,294","08/19","-24","-257","+252","+918","+1,283","+1,343","+1,211","+1,374","+989","+1,358"
"5","00632R","元大台灣50反1","10.26","+0.13","+1.28","206,165","08/19","+535","+794","+726","+857","+195","-3,666","+1,539","+2,649","+5,367","+2,695"
"6","2609","陽明","59","+2.8","+4.98","114,832","08/19","+154","+399","+689","+687","+695","+713","+890","+17","-892","-187"
"7","00881","國泰台灣科技龍頭","48.54","-0.94","-1.9","47,413","08/19","-15","+675","+675","+675","+675","+671","+641","+658","+674","+634"
"8","3388","崇越電","93.3","-7.7","-7.62","8,403","08/19","-94","+100","+449","+615","+930","+975","-914","+1,137","+1,137","+1,137"
"9","2615","萬海","106.5","+1.5","+1.43","41,216","08/19","+18","+233","+515","+550","+662","+572","+601","-1,269","-1,711","-1,923"
"10","8039","台虹","271.5","-6","-2.16","42,065","08/19","-110","+174","-75","+542","+656","+1,220","+2,082","+1,917","+2,188","+1,263"
"11","3498","陽程","190.5","+16.5","+9.48","3,132","08/19","-72","+342","+340","+540","+573","+533","+450","+525","+220","+498"
"12","5608","四維航","17.5","+1.55","+9.72","36,194","08/19","+443","+522","+534","+531","+556","+597","+635","+426","+142","+341"
"13","00992A","主動群益科技創新","17.64","-0.3","-1.67","41,106","08/19","-23","-102","+5","+489","+583","+853","+83","+908","","+924"
"14","3045","台灣大","113.5","+2.5","+2.25","26,629","08/19","+340","+330","+445","+459","+439","+393","+466","+395","+409","+298"
"15","00715L","期街口布蘭特正2","51.2","+0.4","+0.79","5,820","08/19","+108","+348","+493","+409","+1,754","+1,166","-1,095","-2,250","+1,407","+1,578"
"16","2884","玉山金","37.8","-0.3","-0.79","103,424","08/19","-181","-11","-18","+401","+406","+510","+631","+509","+373","+310"
"17","3490","單井","46.8","+2.3","+5.17","11,939","08/19","+134","+242","+340","+390","+402","+398","+400","+407","+385","+407"
"18","2303","聯電","115.5","-3.5","-2.94","110,337","08/19","+228","+311","+505","+347","+1,584","+517","-1,669","-1,021","+1,932","+1,749"
"19","2634","漢翔","68.6","-4.7","-6.41","59,904","08/19","-413","-50","-117","+336","+172","+32","+544","+403","+145","+248"
"20","1727","中華化","92.7","+3.6","+4.04","18,358","08/19","+43","+285","+322","+304","+322","+254","+12","+150","+103","-260"
"21","00878","國泰永續高股息","32.3","-0.08","-0.25","39,842","08/19","+10","+290","+290","+290","+277","+256","+288","+290","+268","+47"
"22","1815","富喬","98","+2.7","+2.83","42,899","08/19","+164","+291","+355","+279","+437","+445","+705","-1,577","-18,783","-3,925"
"23","8069","元太","161","+3.5","+2.22","8,642","08/19","-263","-334","-533","+243","+253","+440","+303","+412","+256","+374"
"24","00929","復華台灣科技優息","28.52","+0.03","+0.11","36,392","08/19","+240","+240","+240","+240","+230","+240","+240","+240","+240","+240"
"25","3708","上緯投控","101.5","-2.5","-2.4","593","08/19","-286","-340","-431","+240","+1,014","+1,034","+748","+973","+643","+933"
"26","00685L","群益臺灣加權正2","11.16","-0.28","-2.45","242,586","08/19","0","-2,021","-1,739","+233","+6,237","+4,863","+14,622","+14,554","+14,488","+14,503"
"27","3035","智原","172.5","+2","+1.17","3,152","08/19","+202","+215","+226","+225","+229","+440","+427","-683","+129","-28"
