"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"1","00730","富邦臺灣優質高息","28.84","+0.14","+0.49","63","08/19","0","0","0","+1,000","-8.33","+83.3","-8.33","-84.3","-45","-62.1"
"2","7792","安葆","288.5","+26","+9.9","619","08/19","+23.1","+64.8","+67.7","+967","+4,700","","","","",""
"3","3226","龍鋒","52.5","+0.2","+0.38","18","08/19","0","+12.5","+800","+800","+800","+350","+50","-25","-60.9","-47.1"
"4","00864B","中信美國公債0-1","46.08","+0.02","+0.04","1,053","08/19","0","-21.2","+550","+767","+1,200","","+2,500","-66.7","-7.14","+2,500"
"5","00865B","國泰US短期公債","48.86","+0.01","+0.02","1,554","08/19","0","+24.4","+21.4","+750","+750","","-85.6","+750","+5,000","+264"
"6","00985D","主動貝萊德優投等","9.81","+0.06","+0.62","1,040","08/19","+22.2","+26.9","+37.5","+450","+1,000","-69.4","+3,200","","",""
"7","00972","野村日本動能高息","21.35","-0.35","-1.61","96","08/19","0","0","0","+300","+300","+300","-27.3","+700","-92.5","-68"
"8","6840","東研信超","82.4","-0.6","-0.72","233","08/19","0","+4.59","+7.57","+262","+295","+350","+359","+244","","+1,516"
"9","1623","大東電","203","-2","-0.98","78","08/19","+16.3","+20.5","+37","+257","+400","","","","",""
"10","00410A","主動永豐科技趨勢","11.2","-0.15","-1.32","5,238","08/19","-2.2","+254","-11.9","+202","-17.8","","","","",""
"11","6655","科定","115.5","+0.5","+0.43","10","08/19","+50","+50","+50","+200","","","","","+50",""
"12","009801","中信美國創新科技","11.21","-0.24","-2.1","3,099","08/19","+75.2","+45.4","+136","+181","+521","+876","+116","-10.1","-93.3","-77.4"
"13","6730","常廣","32.9","-0.1","-0.3","14","08/19","+14.3","+14.3","+167","+167","+167","+700","","","",""
"14","1315","達新","65.7","-0.1","-0.15","32","08/19","-5.13","+15.6","+23.3","+164","+164","+147","-38.3","-41.3","-37.3","-46.4"
"15","00960","野村全球航運龍頭","20.68","-0.05","-0.24","439","08/19","-6.31","+35.9","+85.7","+154","+177","+193","+157","-63.6","-88.6","-75.3"
"16","00936","台新永續高息中小","20.82","+0.14","+0.68","590","08/19","0","-33.3","+100","+150","-16.7","-33.3","+42.9","-95.1","-99.3","-98.1"
"17","1264","德麥","256","-2.5","-0.97","43","08/19","+150","+150","+150","+150","+150","+150","","","",""
"18","2880","華南金","39","-0.7","-1.76","24,299","08/19","+31","+9.55","+4.37","+141","+338","+404","-35.8","+640","+129","+447"
"19","7631","聚賢研發-創","145","+0.5","+0.35","101","08/19","+1.9","+5.94","+7.72","+136","+322","","","","",""
"20","00959B","大華投等美債15Y+","9.12","+0.04","+0.44","1,140","08/19","0","+37.8","+118","+124","+144","+65.2","+7.74","-30.2","-48.9","-39.1"
"21","00875","國泰網路資安","54.95","-0.15","-0.27","67","08/19","0","+84.6","+84.6","+118","","+2,300","+500","+700","+14.3","+700"
"22","5547","久舜","19.95","+0.05","+0.25","8","08/19","+19.4","+26.5","+48.3","+105","","","","","",""
"23","6474","華豫寧","39.8","0","0","129","08/19","+34.3","+83.3","+160","+104","+133","+106","","","",""
"24","4767","誠泰科技","27.5","+0.1","+0.36","12","08/19","0","+11.1","-54.5","+100","+100","+66.7","+900","-56.5","-33.3","-23.1"
"25","6464","台數科","79","0","0","1,365","08/19","+100","+100","+100","+100","0","0","","+100","-71.4","+100"
