"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","00991A","主動復華未來50","17.71","-0.43","-2.37","142,664","08/19","-5,448","-18,324","-18,476","-33,282","-30,949","+40,329","+108,722","+122,693","","+83,141"
"2","00631L","元大台灣50正2","33.96","-0.85","-2.44","193,544","08/19","+2,441","+3,331","-2,605","-19,190","-36,717","-54,551","+74,979","+217,930","+216,624","+218,012"
"3","00981A","主動統一台股增長","29.06","-0.55","-1.86","234,849","08/19","-2,099","-8,273","-16,036","-14,875","-27,825","+17,684","-14,025","+114,148","+141,299","+77,519"
"4","00685L","群益臺灣加權正2","11.16","-0.28","-2.45","242,586","08/19","+4,507","+5,219","-832","-14,852","-21,704","-16,879","+163,846","+163,983","+163,816","+163,994"
"5","1303","南亞","187.5","-12.5","-6.25","72,640","08/19","-2,098","-4,035","-10,996","-11,757","-11,952","+4,422","+2,174","+4,115","+7,840","-10,265"
"6","2344","華邦電","168","-8.5","-4.82","113,062","08/19","+915","-2,562","-8,225","-10,336","-4,587","-9,813","-11,594","-9,319","+72,648","-31,567"
"7","00403A","主動統一升級50","9.97","-0.19","-1.87","194,876","08/19","+1,703","-1,646","-1,470","-10,111","-22,827","-35,036","-99,553","","",""
"8","2618","長榮航","41.6","-0.3","-0.72","17,735","08/19","-44","-973","-2,842","-8,316","-15,419","-5,298","-19,026","-17,138","-20,640","-22,964"
"9","2408","南亞科","481","-34","-6.6","69,158","08/19","-819","-2,692","-2,806","-8,192","-13,291","-5,131","-25,467","-58,719","+29,368","-71,583"
"10","009816","凱基台灣TOP50","15.11","-0.2","-1.31","115,139","08/19","+292","+472","-5,531","-7,251","-8,233","-11,493","-9,319","+14,295","",""
"11","009805","台新美國電力基建","15.9","-0.35","-2.15","4,870","08/19","-729","-1,423","-2,461","-5,839","-7,630","-7,780","-10,020","-5,648","+6,124","+5,367"
"12","3481","群創","46.75","-2.75","-5.56","225,153","08/19","+1,614","-1,623","+320","-4,611","-9,321","-48,312","-72,062","+61,719","+151,152","+106,185"
"13","2303","聯電","115.5","-3.5","-2.94","110,337","08/19","-4,403","-9,021","-8,747","-3,888","-8,914","-58,307","+47,106","+71,896","+115,969","+132,168"
"14","00992A","主動群益科技創新","17.64","-0.3","-1.67","41,106","08/19","-3,581","-5,424","-4,261","-3,620","+621","-8,213","-32,570","+15,567","","+12,725"
"15","009821","野村稀土關鍵資源","14.63","-0.33","-2.21","4,689","08/19","-157","-1,207","-1,142","-3,197","-3,848","-5,541","","","",""
"16","8096","擎亞","108","-2","-1.82","3,035","08/19","-221","-609","-1,537","-3,141","-3,572","-4,597","-2,313","+8,411","+10,338","+11,281"
"17","2464","盟立","181.5","+3.5","+1.97","16,897","08/19","+383","-188","-2,058","-3,124","+1,208","+5,476","+3,246","+7,940","+8,792","+9,315"
"18","00405A","主動富邦台灣龍耀","8.47","-0.13","-1.51","93,901","08/19","+714","-6,224","-7,875","-3,048","-15,356","-5,556","","","",""
"19","3231","緯創","182","+1","+0.55","28,163","08/19","+834","+1,163","+364","-2,833","-2,262","-12,291","-16,631","-22,236","-13,219","-14,594"
"20","1718","中纖","10.45","-0.05","-0.48","14,668","08/19","-377","-521","-720","-2,557","+414","+4,040","+7,561","+6,459","+2,368","+5,758"
"21","2332","友訊","20.7","-0.3","-1.43","12,718","08/19","-211","-1,696","-873","-2,338","-193","+4,887","+8,315","+6,195","+8,090","+6,680"
"22","2492","華新科","298","+16","+5.67","46,495","08/19","-906","-1,297","-2,141","-2,289","+3,325","+4,646","-649","+836","+8,262","+756"
"23","2441","超豐","113.5","-1","-0.87","2,890","08/19","+3","-248","-312","-2,241","-2,321","-1,241","-5,772","-7,156","+6,700","-12,323"
"24","2101","南港","32.3","+0.3","+0.94","1,681","08/19","-104","-287","-1,484","-2,055","-1,468","-2,605","-7,135","-11,632","-14,229","-12,570"
"25","2484","希華","73","+1.1","+1.53","7,722","08/19","-485","-665","-1,910","-1,951","-1,027","-809","+3,227","+11,548","+12,538","+12,801"
"26","3037","欣興","1130","-15","-1.31","24,497","08/19","+478","-611","-1,636","-1,907","-1,984","-3,190","-255","-4,387","+8,666","+5,400"
"27","0050","元大台灣50","103.1","-1.8","-1.72","100,819","08/19","+1,064","+480","-21","-1,846","-6,221","-40,062","+9,071","+11,801","+13,499","+10,704"
"28","2382","廣達","331","+4","+1.22","16,525","08/19","-177","-563","-1,539","-1,828","-345","+3,721","+4,721","+3,226","-1,694","-1,751"
"29","8932","智通*","109","0","0","3,127","08/19","-69","-55","-596","-1,822","-2,571","-2,154","+5,398","+38,536","+43,418","+42,107"
"30","6213","聯茂","484","-4","-0.82","3,111","08/19","-238","-578","-794","-1,795","-1,702","+1,873","+4,354","-91","-3,243","-865"
"31","2327","國巨*","576","0","0","56,295","08/19","+767","-114","-293","-1,782","+3,939","-3,207","+9","-1,947","+31,039","-6,201"
"32","8150","南茂","87.3","-1.8","-2.02","18,502","08/19","-609","-941","-1,030","-1,735","+3,463","+485","+6,343","+4,313","+16,795","+5,494"
"33","6116","彩晶","14.25","+0.55","+4.01","61,603","08/19","-996","-1,383","-1,380","-1,732","-605","-3,269","+962","-3,173","+7,236","+7,851"
"34","2534","宏盛","16.9","+0.1","+0.6","200","08/19","-17","-17","-1,689","-1,717","-1,746","-1,760","-2,124","-813","+1,564","+60"
"35","2027","大成鋼","50","+0.3","+0.6","18,075","08/19","-181","+297","-710","-1,673","-434","-66","-8,635","-8,306","-9,487","-9,152"
"36","5347","世界","151.5","-3.5","-2.26","20,961","08/19","-207","-342","-432","-1,643","-2,187","-5,147","-8,783","-4,643","+8,631","+7,579"
"37","00680L","元大美債20正2","6.36","+0.09","+1.44","10,666","08/19","-912","-683","-737","-1,627","-1,386","-1,956","-20,367","-99,383","-230,091","-165,979"
"38","00407A","主動凱基台灣","9.51","-0.22","-2.26","43,634","08/19","+37","-328","-1,217","-1,485","-3,816","-12,899","","","",""
"39","3711","日月光投控","588","-11","-1.84","22,448","08/19","+180","-208","-464","-1,456","-98","+573","+3,728","+7,705","+6,839","+2,117"
"40","1314","中石化","7.8","-0.06","-0.76","11,838","08/19","-175","-936","-1,419","-1,396","-9,360","-16,710","+17,711","+22,033","+30,532","+16,613"
"41","5314","世紀*","21.5","+1.95","+9.97","11,029","08/19","-898","-956","-1,001","-1,376","-1,911","-5,129","-4,352","-7,225","-2,281","-7,996"
"42","4979","華星光","529","+1","+0.19","1,350","08/19","-111","-224","-430","-1,367","-1,859","+100","-569","-1,686","-8,561","-5,039"
"43","6239","力成","262.5","-3","-1.13","9,782","08/19","-75","-719","-868","-1,346","-600","-37","+5,025","+15,477","+19,599","+14,449"
"44","3006","晶豪科","245.5","-2.5","-1.01","9,106","08/19","+200","-476","-1,117","-1,287","-1,295","-2,490","-12,482","-6,527","+6,356","+2,829"
"45","1409","新纖","24.1","-0.25","-1.03","6,200","08/19","+85","-282","-309","-1,266","+30","-1,662","+12,522","+11,230","-3,575","+9,122"
"46","5351","鈺創","126.5","+4.5","+3.69","33,998","08/19","+284","-880","-853","-1,251","-2,076","-4,750","-5,257","-2,428","+2,094","-3,108"
"47","2603","長榮","240.5","+2.5","+1.05","20,580","08/19","+134","+63","-474","-1,238","-1,483","-2,116","+152","-2,660","-3,928","-4,580"
