排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00695B,富邦美債7-10,34.91,-0.14,-0.4,08/21,0.0,0.0,0.0,51.0,47.9,25.8,18.7,8.93,3.87,1.09,,6.66
2,2882A,國泰特,60.5,0.1,0.17,08/21,0.0,0.0,56.1,50.6,18.8,6.67,0.85,2.43,0.93,0.7,,1.98
3,2881B,富邦金乙特,60.9,0.1,0.16,08/21,0.0,0.0,58.8,47.7,17.0,5.86,1.08,3.72,2.56,-0.1,,3.38
4,009814,富邦標普500,11.35,-0.1,-0.87,08/21,0.0,0.0,35.3,37.9,27.2,28.9,9.37,3.67,,,,2.5
5,5880,合庫金,25.05,0.25,1.01,08/21,-0.03,9.68,23.7,31.9,17.6,8.97,3.52,2.35,1.11,0.8,0.4,2.0
6,2890,永豐金,39.6,0.25,0.64,08/21,-3.15,-0.22,16.2,28.7,22.4,10.3,13.4,7.15,5.32,0.61,1.64,6.06
7,2884,玉山金,38.0,0.65,1.74,08/21,0.21,4.35,17.3,26.8,20.1,10.4,5.0,-0.23,4.73,3.7,1.43,0.49
8,2883,凱基金,31.55,1.15,3.78,08/21,-0.53,5.87,10.6,25.3,26.2,13.1,15.3,9.13,5.78,2.94,1.53,7.83
9,2855,統一證,47.1,0.45,0.96,08/21,29.6,26.4,27.9,24.9,20.4,14.4,15.0,8.81,6.31,3.38,1.57,7.23
10,00645,富邦日本,57.45,0.25,0.44,08/21,0.0,0.0,21.3,24.2,15.7,14.4,4.34,1.71,0.69,0.11,0.05,1.32
11,2887,台新新光金,37.25,1.3,3.62,08/21,-0.19,5.07,15.6,23.6,21.6,11.5,15.4,6.25,8.32,7.65,4.23,5.42
12,6805,富世達,1765.0,-85.0,-4.59,08/21,0.79,24.8,14.5,23.1,22.8,17.8,5.91,0.64,-0.06,,,-0.4
13,3265,台星科,167.5,-7.0,-4.01,08/21,0.0,12.9,18.1,21.8,12.5,8.99,3.15,0.45,0.59,0.25,0.05,0.79
14,2428,興勤,253.5,-13.5,-5.06,08/21,0.0,25.4,22.5,20.7,11.2,8.09,3.2,0.69,1.14,0.81,0.24,0.5
15,2633,台灣高鐵,26.15,0.15,0.58,08/21,2.13,-0.51,0.23,19.1,16.2,6.41,13.2,8.93,6.49,3.08,,7.88
16,1402,遠東新,30.35,1.15,3.94,08/21,27.6,21.6,19.5,16.6,9.79,5.26,6.71,3.09,0.63,-0.56,1.15,2.1
17,2892,第一金,33.65,0.35,1.05,08/21,-0.14,-2.35,-3.92,16.1,10.6,7.35,15.0,9.38,-0.71,1.9,1.19,8.33
