排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1801,4192,杏國,20.0,0.55,2.83,26W34,08/21,33.4,0.0,33.4,0.0,66.6,0.0
1802,6914,阜爾運通,147.5,-1.0,-0.67,26W34,08/21,32.1,0.0,33.3,0.0,66.7,0.0
1803,2887I,台新新光辛特,9.52,0.0,0.0,26W34,08/21,31.4,-0.15,33.3,-0.1,66.7,0.1
1804,2109,華豐,14.85,0.05,0.34,26W34,08/21,30.4,-0.3,33.3,0.0,66.7,0.0
1805,2317,鴻海,245.5,-1.0,-0.41,26W34,08/21,32.5,0.31,33.3,0.3,66.7,-0.3
1806,3284,太普高,20.75,0.1,0.48,26W34,08/21,32.5,0.06,33.2,0.06,66.8,-0.06
1807,3664,安瑞-KY,5.79,0.23,4.14,26W34,08/21,33.2,0.0,33.2,0.0,66.8,0.0
1808,2344,華邦電,181.0,4.5,2.55,26W34,08/21,32.5,-0.73,33.2,-0.72,66.8,0.73
1809,3168,眾福科,41.6,-0.55,-1.3,26W34,08/21,29.4,0.0,33.2,0.0,66.8,0.0
1810,5469,瀚宇博,70.7,-0.9,-1.26,26W34,08/21,31.3,-0.18,33.1,0.5,66.9,-0.5
1811,3016,嘉晶,98.4,-4.6,-4.47,26W34,08/21,31.5,-0.5,33.1,0.2,66.9,-0.2
1812,5212,凌網,46.4,-0.2,-0.43,26W34,08/21,30.3,0.0,33.0,0.0,67.0,0.0
1813,2477,美隆電,20.85,-0.15,-0.71,26W34,08/21,30.9,0.0,33.0,0.0,67.0,0.0
1814,8349,恒耀,39.4,0.0,0.0,26W34,08/21,31.4,0.03,33.0,-0.02,67.0,0.02
1815,3709,鑫聯大投控,67.8,0.3,0.44,26W34,08/21,31.1,0.18,33.0,0.75,67.0,-0.75
1816,4154,樂威科-KY,12.2,0.4,3.39,26W34,08/21,32.9,0.0,32.9,0.0,67.1,0.0
1817,9928,中視,18.45,-0.05,-0.27,26W34,08/21,28.9,0.0,32.8,0.0,67.2,0.0
1818,2388,威盛,73.9,0.5,0.68,26W34,08/21,31.1,0.29,32.8,0.28,67.2,-0.28
1819,6592B,和潤企業乙特,94.7,0.0,0.0,26W34,08/21,24.8,0.0,32.8,0.0,67.2,0.0
1820,1437,勤益控,32.35,-0.05,-0.15,26W34,08/21,28.1,0.02,32.8,0.03,67.2,-0.03
1821,1104,環泥,26.85,0.05,0.19,26W34,08/21,31.6,0.06,32.8,0.09,67.2,-0.09
