排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00694B,富邦美債1-3,41.95,0.08,0.19,200,08/25,,,-100.0,-100.0,-100.0,-100.0,,,-100.0,
2,00853B,統一美債10年Aa-A,26.75,0.04,0.15,1211,08/25,,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,009806,台新標普500,13.6,0.05,0.37,84,08/25,,-100.0,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,
4,00938,凱基優選30,24.93,0.32,1.3,378,08/25,-81.8,-77.8,-86.7,-93.8,-91.7,0.0,-95.1,-75.0,-93.8,-80.0
5,00921,兆豐龍頭等權重,23.86,-0.01,-0.04,44,08/25,0.0,0.0,0.0,-91.3,-95.1,100.0,,-90.9,-96.8,-94.9
6,00730,富邦臺灣優質高息,28.69,-0.04,-0.14,47,08/25,0.0,0.0,0.0,-90.9,0.0,-66.7,,-98.6,-93.8,-96.6
7,3226,龍鋒,52.8,0.1,0.19,25,08/25,0.0,-88.9,-88.9,-88.9,0.0,-50.0,-80.0,-90.0,-95.8,-94.1
8,00968B,元大優息投等債,8.98,0.02,0.22,408,08/25,0.0,0.0,0.0,-86.4,-89.2,-12.2,-37.7,-37.7,-77.2,-62.3
9,009825,聯邦美國金融創新,10.17,0.08,0.79,2338,08/25,2.63,-82.9,-82.9,-81.2,-78.0,-77.3,,,,
10,00912,中信臺灣智慧50,34.09,0.35,1.04,140,08/25,0.0,-62.5,-62.5,-75.5,-93.4,-92.4,200.0,100.0,-36.8,-58.6
11,4530,天意能創,26.7,-1.0,-3.61,25,08/25,0.0,0.0,33.3,-73.9,-73.9,-75.0,-29.4,,,
12,009822,華南永昌未來金融,9.76,0.04,0.41,561,08/25,0.0,-72.7,-72.7,-72.7,-78.6,-66.7,,,,
13,6214,精誠,181.5,2.0,1.11,1883,08/25,-10.3,-23.6,-37.4,-71.0,-52.0,-42.6,-45.2,-48.6,-40.9,-79.4
14,00957B,兆豐US優選投等債,12.97,0.03,0.23,181,08/25,0.0,-55.6,-55.6,-63.6,-60.0,-77.8,-87.1,-98.4,-98.0,-98.5
15,3045,台灣大,115.5,0.5,0.43,8753,08/25,10.1,5.04,8.63,-56.8,-57.5,103.0,-14.0,-38.3,-25.4,-3.19
16,00865B,國泰US短期公債,48.89,0.09,0.18,1430,08/25,360.0,-54.0,-54.0,-54.9,283.0,667.0,,283.0,667.0,64.3
17,1788,杏昌,130.5,0.0,0.0,1,08/25,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,,,-83.3,0.0
18,4767,誠泰科技,27.5,0.1,0.36,18,08/25,0.0,0.0,-28.6,-50.0,0.0,-16.7,400.0,-78.3,-68.8,-61.5
19,6655,科定,115.0,0.5,0.44,4,08/25,0.0,0.0,-50.0,-50.0,0.0,,,,-50.0,
20,6961,旅天下,51.4,0.0,0.0,4,08/25,0.0,0.0,-50.0,-50.0,-80.0,,,,,
21,8047,星雲,45.2,-0.65,-1.42,17,08/25,0.0,0.0,0.0,-50.0,-50.0,-50.0,-75.0,-92.9,-99.9,-94.1
22,00959B,大華投等美債15Y+,9.14,0.02,0.22,1611,08/25,-41.2,-41.2,-41.2,-48.7,21.7,27.2,-44.4,-59.5,-72.6,-68.8
23,2430,燦坤,17.75,-0.05,-0.28,74,08/25,0.0,-33.7,-35.2,-35.9,-39.2,-39.8,-10.6,-11.9,-61.2,-24.4
24,6771,平和環保-創,43.5,-0.15,-0.34,69,08/25,-5.68,-12.6,-26.5,-35.7,-27.2,3.75,43.1,-28.4,-37.1,15.3
25,5538,東明-KY,36.9,-0.45,-1.2,143,08/25,7.14,15.4,4.17,-35.3,59.6,650.0,650.0,7.14,-18.5,10.3
26,2359,所羅門,145.0,-0.5,-0.34,5193,08/25,0.38,-0.03,8.17,-34.6,-8.51,0.72,3.98,7.11,-20.5,1.29
27,2347,聯強,86.7,-1.6,-1.81,2231,08/25,2.46,-0.38,-3.18,-34.1,-39.6,39.5,-13.3,-2.83,-24.1,-64.7
28,009812,野村日本東證,12.8,0.02,0.16,315,08/25,0.0,0.0,-33.3,-33.3,-50.0,0.0,-91.3,-95.3,,-95.6
29,2751,王座,54.5,0.0,0.0,0,08/25,0.0,0.0,-33.3,-33.3,0.0,-33.3,-33.3,-50.0,,100.0
30,4946,辣椒,92.8,0.0,0.0,21,08/25,-20.0,-31.7,-30.0,-33.3,-44.0,-44.0,,,,
31,1434,福懋,17.7,-0.05,-0.28,1440,08/25,1.1,-35.2,-31.9,-32.9,-33.9,-44.1,67.5,89.3,181.0,151.0
32,1102,亞泥,34.9,0.1,0.29,8904,08/25,-7.82,-23.0,-21.8,-32.3,-48.6,-45.6,-58.1,-46.2,1.58,-45.6
33,2912,統一超,224.0,0.5,0.22,1376,08/25,-1.05,-1.05,-15.2,-30.9,-18.3,14.4,-27.9,-31.5,25.7,-17.0
34,009801,中信美國創新科技,11.04,-0.04,-0.36,317,08/25,-24.3,-22.9,-60.5,-30.8,17.4,305.0,-11.0,-64.3,-98.4,-91.1
35,2904,匯僑,12.85,-0.05,-0.39,13,08/25,0.0,0.0,-10.0,-30.8,-71.9,-75.0,-78.6,12.5,-65.4,-55.0
36,7730,暉盛-創,182.5,10.0,5.8,426,08/25,-18.6,-22.4,-24.0,-30.1,-25.7,-42.1,22.1,,,
37,7791,皇家可口,56.8,0.1,0.18,25,08/25,-17.6,-30.0,-33.3,-30.0,-26.3,-12.5,40.0,,,
38,6176,瑞儀,99.9,-1.6,-1.58,3347,08/25,-0.4,-2.26,-29.4,-29.6,-31.6,-37.9,-24.5,125.0,229.0,113.0
39,4706,大恭,32.6,-0.9,-2.69,5,08/25,2.5,5.13,-30.5,-29.3,-32.8,-29.3,-63.1,-79.1,-82.6,-81.4
40,00697B,元大美債7-10,35.46,0.07,0.2,1657,08/25,0.0,0.0,-28.6,-28.6,-61.5,-54.5,-54.5,0.0,-86.8,-76.2
41,8463,潤泰材,21.4,0.05,0.23,35,08/25,-9.3,-9.3,-10.3,-28.4,-29.7,-35.5,-38.6,-76.4,-90.5,-83.0
42,4904,遠傳,102.5,1.0,0.99,6568,08/25,-21.1,-17.1,-17.3,-27.7,-13.9,375.0,17.3,703.0,3.18,278.0
43,3042,晶技,185.0,7.5,4.23,7053,08/25,2.77,6.72,4.61,-27.0,-26.6,3.46,-24.0,349.0,563.0,302.0
44,00781B,國泰A級科技債,27.17,0.05,0.18,140,08/25,-26.7,-26.7,-26.7,-26.7,-45.0,-29.0,0.0,-15.4,57.1,4.76
45,4440,宜新實業,17.55,0.05,0.29,31,08/25,-0.94,-7.08,-15.3,-26.6,-32.3,-31.8,-3.67,-59.6,-77.9,-71.5
46,3388,崇越電,89.0,-1.5,-1.66,2140,08/25,-19.4,-21.3,-22.7,-25.2,60.1,37.7,-18.6,1501.0,1971.0,1532.0
47,00972,野村日本動能高息,21.93,0.12,0.55,76,08/25,0.0,-25.0,-25.0,-25.0,200.0,200.0,100.0,,-72.7,-76.0
48,4581,光隆精密-KY,48.2,0.45,0.94,9,08/25,-6.25,-25.0,-25.0,-25.0,-48.3,-42.3,-81.7,-77.3,-84.0,-77.3
49,5604,中連,30.7,0.05,0.16,5,08/25,-14.3,-20.0,-25.0,-25.0,-33.3,-33.3,-52.0,-89.9,-89.4,-89.1
50,7757,金色三麥,88.9,-1.0,-1.11,3,08/25,-9.09,-16.7,-23.1,-23.1,-16.7,-23.1,400.0,,,
51,4938,和碩,88.8,-0.5,-0.56,6584,08/25,-16.8,-23.9,-23.9,-22.7,-5.45,-22.5,-3.58,-24.3,49.1,-31.4
52,009805,台新美國電力基建,15.25,-0.02,-0.13,3322,08/25,0.39,-0.21,-9.38,-22.4,-55.5,-56.5,-62.0,-53.6,185.0,139.0
53,2455,全新,419.5,38.0,9.96,4280,08/25,-8.89,-19.0,-22.7,-22.2,-14.6,4.93,-12.1,-19.1,76.8,35.5
54,1590,亞德客-KY,1460.0,25.0,1.74,333,08/25,-2.63,-3.9,-0.67,-21.7,-35.7,5.71,-25.3,-9.2,-56.3,-14.0
55,00642U,期元大S&P石油,28.25,-0.2,-0.7,864,08/25,-2.15,-8.5,-13.4,-20.9,-26.4,-29.1,-65.2,106.0,10.7,-29.6
56,7744,崴寶,505.0,18.0,3.7,99,08/25,-2.94,-7.48,-9.17,-20.8,-20.2,6.45,,,,
57,4590,富田-創,84.7,-1.1,-1.28,249,08/25,10.1,23.8,14.3,-20.6,40.5,,,,,
58,00993A,主動安聯台灣,13.15,0.16,1.23,3208,08/25,-0.11,1.9,3.52,-20.6,-36.0,-52.7,-62.4,-91.1,,
