代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2542,興富發,48.0,0.5,1.05,26W35,08/26,3,34846,27.9,1.62,17,144635,14.6,6.72,-1,-169,-0.85,-0.01,3,43407,34.8,2.02
2855,統一證,47.4,1.2,2.6,26W35,08/26,-7,-19596,-13.5,-1.22,13,93456,16.6,5.84,0,0,0.0,0.0,3,3473,7.67,0.22
6187,萬潤,1300.0,30.0,2.36,26W35,08/26,-2,-1060,-3.68,-1.08,8,3384,2.91,3.44,4,236,0.34,0.24,5,5390,6.46,5.48
2486,一詮,262.5,4.5,1.74,26W35,08/26,-3,-7090,-5.15,-3.03,7,5745,1.8,2.46,-1,-92,-0.2,-0.04,-1,-1743,-3.83,-0.74
2884,玉山金,38.7,-0.3,-0.77,26W35,08/26,-4,-134825,-19.3,-0.83,7,106920,7.3,0.66,1,291,0.31,0.0,1,5682,6.01,0.04
3008,大立光,6290.0,570.0,9.97,26W35,08/26,-10,-9002,-7.65,-6.88,7,3536,4.26,2.7,4,621,1.35,0.48,-1,-236,-3.61,-0.18
3491,昇達科,1345.0,75.0,5.91,26W35,08/26,-4,-1450,-4.95,-2.11,7,774,1.23,1.13,-2,-102,-1.0,-0.15,-3,-893,-4.7,-1.3
5288,豐祥-KY,189.5,1.0,0.53,26W35,08/26,2,98,17.9,0.14,7,279,4.88,0.4,-2,-5,-0.99,-0.01,2,108,19.6,0.15
2207,和泰車,523.0,4.0,0.77,26W35,08/26,1,45,8.2,0.01,6,200,1.64,0.04,1,12,2.12,0.0,1,60,11.0,0.01
2610,華航,20.8,0.4,1.96,26W35,08/26,1,35061,36.4,0.57,6,29208,2.55,0.48,1,1148,1.19,0.02,1,36649,38.1,0.6
2883,凱基金,32.25,0.55,1.74,26W35,08/26,1,51116,36.7,0.28,6,132632,10.3,0.71,-4,-8583,-1.12,-0.05,11,577402,18.5,3.11
3081,聯亞,3255.0,295.0,9.97,26W35,08/26,-3,-2357,-4.99,-2.32,6,5145,5.23,5.06,1,221,1.42,0.22,4,2691,4.5,2.64
3443,創意,6125.0,555.0,9.96,26W35,08/26,5,2095,3.87,1.56,6,1907,3.02,1.42,4,218,0.5,0.16,5,3650,6.74,2.72
6805,富世達,2025.0,180.0,9.76,26W35,08/26,-4,-4242,-11.1,-6.19,6,7774,16.2,11.3,1,111,2.11,0.16,5,3331,7.68,4.86
0056,元大高股息,53.25,0.7,1.33,26W35,08/26,1,3353,4.99,0.02,5,3206,0.3,0.02,1,11519,17.1,0.08,1,15322,22.8,0.11
00980A,主動野村臺灣優選,24.52,0.68,2.85,26W35,08/26,-2,-5823,-5.98,-0.7,5,73196,17.8,8.84,-6,-125294,-27.6,-15.1,1,840,2.92,0.1
1476,儒鴻,316.0,-3.0,-0.94,26W35,08/26,-4,-3879,-14.7,-1.41,5,514,1.36,0.19,-2,-305,-2.94,-0.11,-3,-3748,-21.2,-1.37
