"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"1","8299","群聯","2150","-5","-0.23","08/27","+137,665","+243,306","+381,848","+543,929","+1,113,719","+1,424,364","+1,408,959","+2,832,277","+3,254,436","+3,306,363"
"2","6488","環球晶","972","+14","+1.46","08/27","+120,851","+157,260","+218,511","+393,883","+528,553","+688,835","-414,835","-703,753","-917,881","-320,086"
"3","2344","華邦電","181.5","-4.5","-2.42","08/27","+39,179","+56,789","+156,767","+271,184","-87,139","-1,770,745","-1,682,748","-22,718","-242,106","+76,652"
"4","4958","臻鼎-KY","480.5","+3.5","+0.73","08/27","+50,505","+83,695","+72,906","+269,343","+564,878","+740,517","+167,073","+454,348","-348,601","+455,962"
"5","2454","聯發科","3985","+120","+3.1","08/27","+72,565","+101,671","+54,050","+260,541","+975,762","+926,529","+793,685","+894,494","+454,515","+196,792"
"6","3231","緯創","178","-1.5","-0.84","08/27","+75,988","+79,608","+194,546","+231,600","+542,724","+170,637","+1,551,921","+585,481","+2,340,927","+1,526,995"
"7","3036","文曄","196","+3","+1.55","08/27","+33,998","+89,937","+144,686","+207,469","+196,341","+97,599","+402,963","+1,157,827","+1,412,280","+1,151,745"
"8","3443","創意","6015","+95","+1.6","08/27","+53,598","+44,661","+49,488","+189,142","-126,460","-81,900","+257,722","+193,737","-154,487","+212,850"
"9","2317","鴻海","253","+1","+0.4","08/27","+25,022","+54,508","+176,028","+186,983","+153,572","-208,379","-297,135","-308,258","-1,238,637","-144,245"
"10","8996","高力","1265","-45","-3.44","08/27","+54,911","+87,707","+144,105","+177,700","+267,250","+327,558","+341,724","+319,895","+93,935","+310,777"
"11","5483","中美晶","183.5","+1.5","+0.82","08/27","+10,068","+31,123","+53,078","+133,757","+155,257","+263,553","+517,449","+511,634","+557,161","+481,193"
"12","2449","京元電子","270","+22.5","+9.09","08/27","+32,510","+63,250","+86,967","+125,623","+317,630","+797,546","-1,044,423","+1,072,304","+1,054,542","+1,022,437"
"13","2408","南亞科","540","-1","-0.18","08/27","+147,927","+151,058","+174,008","+122,065","-444,407","-1,282,814","-94,231","+92,561","+253,826","+462,928"
"14","6805","富世達","2345","+120","+5.39","08/27","+20,681","+27,238","+50,787","+99,880","+218,853","+402,557","+416,258","+417,627","+448,027","+441,254"
"15","2834","臺企銀","16.45","+0.1","+0.61","08/27","+16,719","+35,505","+54,753","+93,798","+154,035","+247,715","+214,373","+653,704","+665,768","+686,601"
"16","2303","聯電","130","+11.5","+9.7","08/27","+32,806","+57,337","+62,055","+90,249","+59,385","-261,305","-6,971,649","-6,143,809","-9,403,500","-7,155,612"
"17","3026","禾伸堂","742","+67","+9.93","08/27","-5,765","-20,799","-12,562","+89,094","+88,202","+193,735","+364,730","+346,390","+353,606","+323,720"
"18","3163","波若威","754","-22","-2.84","08/27","+8,690","+48,976","+68,145","+86,385","+77,585","+158,889","+309,318","+439,449","+264,157","+411,790"
"19","2059","川湖","14300","-40","-0.28","08/27","-5,737","-5,737","+38,617","+79,006","+32,037","+170,161","-172,131","-394,512","-498,586","-676,085"
