排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
1501,5519,隆大,市,08/27,,28.0,0.0,0.0,163,4.57,28.0,28.1,28.1,27.9,0.71,5.94,1.08,,,,,
1502,8080,泰霖,櫃,08/27,,28.0,0.0,0.0,1,0.03,28.0,28.0,28.0,28.0,0.0,,3.4,,,,,
1503,00739,元大MSCI A股,市,08/27,,27.94,0.1,0.36,19,0.52,27.84,27.96,27.96,27.86,0.36,,0.9911,,,,,
1504,2237,華德動能-創,市,08/27,,27.9,0.15,0.54,207,5.78,27.75,27.75,28.1,27.75,1.26,,2.29,,,,,
1505,3380,明泰,市,08/27,,27.85,0.1,0.36,1976,55.9,27.75,27.95,28.8,27.85,3.42,199.0,1.64,,,,,
1506,6195,詩肯,櫃,08/27,,27.85,0.05,0.18,3,0.07,27.8,27.85,27.85,27.85,0.0,14.9,1.05,,,,,
1507,00636,國泰中國A50,市,08/27,,27.82,-0.07,-0.25,209,5.83,27.89,27.86,27.89,27.76,0.47,,0.9989,,,,,
1508,00896,中信綠能及電動車,市,08/27,,27.79,0.19,0.69,1774,49.5,27.6,27.69,28.0,27.67,1.2,,0.9989,,,,,
1509,2103,台橡,市,08/27,,27.75,-0.45,-1.6,7270,205.0,28.2,28.25,28.9,27.7,4.26,11.1,1.04,,,,,
1510,2235,謚源,櫃,08/27,,27.75,1.0,3.74,4,0.12,26.75,26.8,27.75,26.7,3.93,20.3,0.83,,,,,
1511,4744,皇將,櫃,08/27,,27.75,-0.05,-0.18,86,2.39,27.8,28.05,28.1,27.65,1.62,18.1,1.27,,,,,
1512,5457,宣德,櫃,08/27,,27.7,0.6,2.21,542,15.0,27.1,27.3,28.15,27.05,4.06,35.1,0.99,,,,,
1513,00870B,元大15年EM主權債,櫃,08/27,,27.65,-0.02,-0.07,1,0.03,27.67,27.65,27.65,27.65,0.0,,0.9994,,,,,
1514,3297,杭特,櫃,08/27,,27.65,0.4,1.47,37,1.01,27.25,27.35,27.65,27.3,1.28,30.7,1.65,,,,,
1515,3518,柏騰,市,08/27,,27.65,-0.05,-0.18,205,5.71,27.7,27.65,28.1,27.6,1.81,12.9,1.66,,,,,
1516,4807,日成-KY,市,08/27,,27.65,0.2,0.73,54,1.47,27.45,27.45,27.85,27.1,2.73,9.98,1.39,,,,,
1517,6179,亞通,櫃,08/27,,27.65,-0.3,-1.07,1258,35.1,27.95,28.1,28.3,27.6,2.5,33.7,1.31,,,,,
1518,00841B,凱基AAA-AA公司債,櫃,08/27,,27.6,-0.01,-0.04,100,2.76,27.61,27.6,27.6,27.6,0.0,,1.0004,,,,,
1519,3447,展達,市,08/27,,27.6,0.15,0.55,81,2.25,27.45,27.85,27.95,27.6,1.28,14.1,1.72,,,,,
1520,00779B,凱基美債25+,櫃,08/27,,27.58,-0.09,-0.33,300,8.27,27.67,27.58,27.58,27.58,0.0,,1.0011,,,,,
1521,7584,樂意,櫃,08/27,,27.55,0.0,0.0,1,0.02,27.55,27.55,27.55,27.55,0.0,,1.01,,,,,
1522,1524,耿鼎,市,08/27,,27.5,0.0,0.0,475,13.1,27.5,27.5,27.75,27.2,2.0,13.5,1.53,,,,,
1523,6743,安普新,市,08/27,,27.45,0.35,1.29,361,9.89,27.1,27.5,27.7,27.15,2.03,,1.78,,,,,
1524,00687B,國泰20年美債,櫃,08/27,,27.4,-0.03,-0.11,9384,257.0,27.43,27.43,27.43,27.36,0.26,,1.0025,,,,,
1525,2035,唐榮,櫃,08/27,,27.4,0.0,0.0,0,0.0,27.4,27.4,27.4,27.4,0.0,,3.89,,,,,
1526,3060,銘異,市,08/27,,27.35,0.0,0.0,684,18.9,27.35,27.5,27.85,27.3,2.01,40.8,1.37,,,,,
1527,00781B,國泰A級科技債,櫃,08/27,,27.3,-0.08,-0.29,140,3.82,27.38,27.33,27.33,27.29,0.15,,1.0017,,,,,
1528,00764B,群益25年美債,櫃,08/27,,27.28,-0.05,-0.18,5849,159.0,27.33,27.29,27.29,27.25,0.15,,1.0029,,,,,
1529,020020,元大台股領航N,市,08/27,,27.25,-0.02,-0.07,8,0.22,27.27,27.35,27.5,27.25,0.92,,1.0024,,,,,
1530,8093,保銳,櫃,08/27,,27.25,-0.1,-0.37,62,1.68,27.35,27.35,27.5,26.95,2.01,,2.81,,,,,
1531,2923,鼎固-KY,市,08/27,,27.2,0.1,0.37,192,5.32,27.1,27.55,28.25,27.0,4.61,,1.02,,,,,
1532,00642U,期元大S&P石油,市,08/27,,27.16,0.3,1.12,1432,38.9,26.86,27.26,27.28,27.07,0.78,,0.9985,,,,,
1533,6130,上亞科技,櫃,08/27,,27.15,-0.05,-0.18,73,1.98,27.2,26.6,27.2,26.6,2.21,,2.13,,,,,
1534,2107,厚生,市,08/27,,27.05,0.1,0.37,441,12.0,26.95,26.95,27.25,26.85,1.48,14.3,0.54,,,,,
1535,8422,可寧衛*,市,08/27,,27.0,-0.25,-0.92,4252,115.0,27.25,27.35,27.6,26.9,2.57,27.8,3.57,,,,,
1536,00853B,統一美債10年Aa-A,櫃,08/27,,26.97,-0.06,-0.22,1038,28.0,27.03,26.93,26.98,26.93,0.18,,1.0007,,,,,
1537,3630,新鉅科,櫃,08/27,,26.9,0.5,1.89,1452,39.4,26.4,26.55,27.65,26.5,4.36,,1.87,,,,,
1538,6124,業強,櫃,08/27,,26.9,-0.15,-0.55,25,0.67,27.05,27.05,27.05,26.5,2.03,51.7,1.56,,,,,
1539,00916,國泰全球品牌50,市,08/27,,26.85,-0.06,-0.22,518,13.9,26.91,26.99,26.99,26.85,0.52,,0.9993,,,,,
