"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","009829","大華韓國KOSPI50","10.41","-0.13","-1.23","30,336","08/27","+976","-497","+6,058","+16,214","","","","","",""
"2","00406A","主動中信台灣收益","9.81","+0.11","+1.13","176,496","08/27","+2,321","+6,832","+9,262","+12,908","+16,743","+20,710","","","",""
"3","00953B","群益優選非投等債","9.63","-0.05","-0.52","102,908","08/27","+4,566","+5,503","+4,398","+10,447","+13,317","-878","+28,017","+49,141","+83,799","+63,545"
"4","2303","聯電","130","+11.5","+9.7","325,661","08/27","-5,702","-2,735","+1,241","+9,012","-1,230","-2,990","+43,949","+78,219","+123,238","+140,764"
"5","00405A","主動富邦台灣龍耀","8.78","+0.1","+1.15","76,542","08/27","-785","+6,670","+7,556","+7,199","-454","-2,728","","","",""
"6","3231","緯創","178","-1.5","-0.84","26,485","08/27","+3,318","+3,231","+5,280","+6,123","+5,601","-3,709","-1,678","-19,101","-8,074","-8,556"
"7","2489","瑞軒","40.2","+0.15","+0.37","49,525","08/27","+889","+3,724","+3,373","+5,627","+5,925","+3,210","-22,397","-17,013","+18,090","+21,526"
"8","1303","南亞","220.5","-7","-3.08","192,100","08/27","+280","+2,560","+2,425","+5,291","-4,770","+18,092","+11,254","+8,398","+11,544","-5,954"
"9","2301","光寶科","317.5","+16.5","+5.48","49,352","08/27","-750","+1,351","+5,798","+5,029","+8,254","+4,315","+4,096","+1,884","+6,435","+1,414"
"10","00632R","元大台灣50反1","9.89","-0.06","-0.6","111,540","08/27","+4,112","+9,103","-1,487","+4,752","-8,534","+9,814","+1,614","+28,415","+71,019","+61,764"
"11","00410A","主動永豐科技趨勢","12.17","+0.07","+0.58","12,497","08/27","+3,892","+4,663","+4,610","+4,613","+5,351","","","","",""
"12","1711","永光","43.9","+0.4","+0.92","7,384","08/27","+740","+2,080","+2,278","+4,155","+4,360","+2,448","-4,778","+169","+8,194","+6,581"
"13","00991A","主動復華未來50","18.3","+0.11","+0.6","72,340","08/27","-1,980","-5,267","-927","+3,900","-26,741","+42,694","+109,275","+117,652","","+87,235"
"14","00708L","期元大S&P黃金正2","88.15","-1.6","-1.78","5,163","08/27","+1,071","+2,153","+2,333","+3,697","+5,188","+6,370","+6,817","+7,520","+3,646","+10,204"
"15","00992A","主動群益科技創新","18.68","+0.23","+1.25","57,482","08/27","+4,457","+3,949","+4,976","+3,469","-2,164","-2,252","-17,819","+17,980","","+15,656"
"16","6147","頎邦","182.5","-5","-2.67","53,168","08/27","+3,704","+5,218","+5,206","+3,425","+2,822","+562","-11,318","+32,364","+32,315","+31,867"
"17","3049","精金","13.5","+0.8","+6.3","54,731","08/27","+230","+954","+2,661","+3,330","+3,330","+3,330","+3,330","+2,547","+653","+1,606"
"18","009826","貝萊德世界股票","10.13","-0.03","-0.3","19,445","08/27","+629","+1,640","+2,116","+3,105","+4,103","","","","",""
"19","00664R","國泰臺灣加權反1","1.6","-0.02","-1.23","20,321","08/27","+565","+2,802","+2,472","+2,935","+4,350","+2,379","-27,469","-30,326","-51,524","-23,862"
"20","9945","潤泰新","28","-0.6","-2.1","10,360","08/27","+240","+297","+2,262","+2,903","+2,771","+1,929","-245","+1,473","-910","-991"
"21","3374","精材","386","+35","+9.97","29,584","08/27","+1,529","+2,135","+2,194","+2,755","+2,953","+5,204","+18,918","+19,734","+21,840","+23,985"
"22","2351","順德","239.5","-0.5","-0.21","7,423","08/27","+1,469","+1,536","+2,183","+2,713","+3,732","+3,470","-12,943","+10,555","+6,066","+9,028"
"23","1709","和益","36.15","+3","+9.05","22,958","08/27","+461","+2,781","+1,692","+2,615","+5,183","+14,075","+28,702","+28,243","+28,215","+27,941"
"24","6213","聯茂","582","+19","+3.37","25,939","08/27","+2","+2,695","+3,647","+2,530","+589","+3,504","+4,616","-2,392","-528","+1,429"
"25","00988A","主動統一全球創新","16.39","-0.14","-0.85","32,471","08/27","+72","+1,179","+1,346","+2,253","-15,080","-11,864","+6,080","+49,101","","+53,009"
"26","4979","華星光","610","-7","-1.13","2,541","08/27","+258","+2,075","+1,397","+2,159","+1,119","+1,307","+1,024","+1,290","-7,127","-3,029"
"27","3481","群創","48.6","+2.35","+5.08","314,569","08/27","+325","+1,895","+1,454","+2,093","-8,276","-24,671","-121,376","+10,190","+145,142","+98,901"
"28","1101","台泥","24.3","+0.2","+0.83","16,839","08/27","+681","-2,390","-1,693","+2,039","+2,672","+5,609","+4,184","+5,103","+9,936","+2,031"
"29","8103","瀚荃","108.5","-5.5","-4.82","5,177","08/27","-265","-106","+660","+2,028","+3,159","+3,226","+2,433","+1,926","+2,446","+804"
"30","3006","晶豪科","269.5","-4.5","-1.64","9,546","08/27","+194","+223","+38","+2,017","+1,012","-333","-4,091","-5,147","+8,338","+5,028"
"31","2609","陽明","56.2","-1.7","-2.94","42,998","08/27","-1,417","-3,124","-11","+1,975","+3,055","+2,997","+2,262","+6,678","+953","+1,319"
"32","4956","光鋐","36.95","+0.95","+2.64","5,714","08/27","+13","+652","+808","+1,925","+1,953","+924","+64","+1,027","+223","+445"
"33","3441","聯一光","130","-7.5","-5.45","27,523","08/27","+1,504","+2,230","+1,604","+1,886","+2,553","+3,917","+4,639","+4,354","+5,005","+4,132"
"34","5608","四維航","16.7","-0.2","-1.18","5,889","08/27","-1,543","-3,710","-2,729","+1,846","+3,591","+3,203","+2,461","+1,492","-777","+817"
"35","2887","台新新光金","37.5","+0.2","+0.54","33,694","08/27","+1,011","+1,175","+1,464","+1,837","+2,591","+806","-7,339","-31,213","-86,289","-41,339"
"36","8358","金居","543","+49","+9.92","40,976","08/27","+1,403","+2,309","+2,113","+1,836","+3,480","+10,922","+8,041","+2,800","-13,285","+2,462"
