排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2834,臺企銀,16.45,0.1,0.61,08/28,7327,17468,28947,52585,88968.0,155815.0,137346.0,419881.0,427418.0,440682.0
2,00712,復華富時不動產,8.73,-0.02,-0.23,08/28,5007,24472,24472,24472,16072.0,16048.0,18529.0,7024.0,2465.0,21004.0
3,2344,華邦電,181.5,-4.5,-2.42,08/28,11342,13436,14412,23882,8430.0,-97697.0,-98956.0,56434.0,-33501.0,63277.0
4,1101,台泥,24.3,0.2,0.83,08/28,3217,5936,13501,23238,37306.0,28991.0,188994.0,473221.0,493428.0,525053.0
5,2884,玉山金,38.75,0.2,0.52,08/28,4984,4039,11314,18921,42601.0,66705.0,-77832.0,-71916.0,215587.0,21237.0
6,00953B,群益優選非投等債,9.63,-0.05,-0.52,08/28,2138,3896,4046,13579,10016.0,20560.0,10833.0,18252.0,39213.0,42363.0
7,3231,緯創,178.0,-1.5,-0.84,08/28,2346,6477,6678,13495,27820.0,14247.0,99493.0,31827.0,160382.0,103455.0
8,3036,文曄,196.0,3.0,1.55,08/28,1424,3176,6013,11975,11185.0,6905.0,17336.0,49030.0,67208.0,47965.0
9,2887,台新新光金,37.5,0.2,0.54,08/28,2221,211,3298,11254,36122.0,32058.0,114760.0,276296.0,269975.0,160066.0
10,2317,鴻海,253.0,1.0,0.4,08/28,206,1196,2398,8351,7732.0,-11439.0,-5947.0,5948.0,-35214.0,16318.0
11,00403A,主動統一升級50,10.36,0.11,1.07,08/28,151,356,-1160,7375,28996.0,-126159.0,129997.0,,,
12,2303,聯電,130.0,11.5,9.7,08/28,366,3121,5112,6731,5375.0,-17196.0,-486142.0,-356954.0,-987521.0,-518569.0
13,6182,合晶,110.0,1.0,0.92,08/28,1354,1875,3310,6096,24903.0,26055.0,24929.0,7729.0,33390.0,9220.0
14,4763,材料*-KY,45.65,-0.15,-0.33,08/28,287,290,1123,6031,2383.0,-7457.0,-9750.0,-15536.0,11928.0,-10416.0
15,3049,精金,13.5,0.8,6.3,08/28,1338,2934,4293,5874,6824.0,6824.0,6824.0,6824.0,6824.0,6824.0
16,5483,中美晶,183.5,1.5,0.82,08/28,928,1483,2653,5211,10254.0,14714.0,25389.0,24304.0,29178.0,22045.0
17,2449,京元電子,270.0,22.5,9.09,08/28,1292,2609,3878,5087,10338.0,34527.0,-15674.0,58766.0,61830.0,56607.0
18,2845,遠東銀,13.4,-0.05,-0.37,08/28,2801,3212,4124,4864,198.0,2275.0,-11125.0,36497.0,37757.0,52297.0
19,2885,元大金,64.0,0.8,1.27,08/28,803,-261,62,4823,13488.0,15259.0,-23806.0,23692.0,8250.0,22760.0
20,009826,貝萊德世界股票,10.13,-0.03,-0.3,08/28,1709,1709,2482,4817,13244.0,,,,,
21,2489,瑞軒,40.2,0.15,0.37,08/28,379,566,-190,4702,3502.0,5000.0,-5220.0,37334.0,38542.0,38306.0
22,5904,寶雅*,74.2,0.1,0.13,08/28,1160,1910,2173,4658,12736.0,16509.0,16073.0,15332.0,15910.0,15874.0
23,4958,臻鼎-KY,480.5,3.5,0.73,08/28,1815,2888,3629,4442,12252.0,19113.0,6156.0,20568.0,-33311.0,18112.0
24,1326,台化,62.1,-1.1,-1.74,08/28,-495,-204,78,4238,5049.0,15628.0,-18589.0,-45571.0,-128348.0,-75523.0
25,6488,環球晶,972.0,14.0,1.46,08/28,1500,2770,3152,4171,7219.0,8820.0,-644.0,-6980.0,-10872.0,1367.0
26,2855,統一證,48.55,0.75,1.57,08/28,440,909,1365,3885,6373.0,12095.0,59145.0,62661.0,53023.0,60939.0
27,2352,佳世達,28.2,0.2,0.71,08/28,-157,187,1581,3651,6662.0,5550.0,55392.0,55097.0,68836.0,65916.0
28,2484,希華,76.1,-0.5,-0.65,08/28,1232,2472,3606,3551,1465.0,609.0,2410.0,5737.0,10340.0,9701.0
29,2412,中華電,135.5,0.0,0.0,08/28,792,1066,2535,3158,3620.0,5798.0,15232.0,25451.0,42578.0,36411.0
30,2618,長榮航,41.8,-0.95,-2.22,08/28,703,1420,1949,2934,-1927.0,-3822.0,-202676.0,-14990.0,-24958.0,-128957.0
31,2408,南亞科,540.0,-1.0,-0.18,08/28,204,2927,2988,2911,-5442.0,-20759.0,9936.0,19506.0,-12980.0,30681.0
32,2371,大同,28.5,-0.7,-2.4,08/28,1958,2381,3637,2876,-2.0,-13347.0,993.0,74346.0,109457.0,86961.0
33,00406A,主動中信台灣收益,9.81,0.11,1.13,08/28,-300,-150,5,2757,9314.0,4123.0,,,,
34,4123,晟德,31.7,-0.15,-0.47,08/28,727,1442,2076,2664,2532.0,4337.0,3998.0,19490.0,20251.0,15574.0
35,6176,瑞儀,93.1,-2.4,-2.51,08/28,654,1460,1803,2646,2646.0,-4823.0,-42375.0,-1411.0,-1630.0,-9812.0
36,6282,康舒,45.3,0.15,0.33,08/28,382,695,1042,2642,4753.0,5481.0,23380.0,24057.0,36094.0,-1793.0
37,2363,矽統,51.8,1.1,2.17,08/28,522,1012,967,2604,3506.0,1587.0,13555.0,-4778.0,4784.0,-6692.0
38,6278,台表科,201.5,-4.5,-2.18,08/28,295,949,1292,2503,1848.0,705.0,-12333.0,9791.0,10923.0,9256.0
39,8299,群聯,2150.0,-5.0,-0.23,08/28,362,1001,1503,2467,4439.0,7042.0,6885.0,12872.0,14406.0,14940.0
