排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
1,8299,群聯,2150.0,-5.0,-0.23,08/28,77875.0,215539.0,321181.0,522392,923207.0,1463242.0,1390987.0,2910152.0,3352390.0,3384237.0
2,2344,華邦電,181.5,-4.5,-2.42,08/28,210123.0,249303.0,266913.0,433001,147091.0,-1500585.0,-1477872.0,187405.0,-29463.0,286775.0
3,6488,環球晶,972.0,14.0,1.46,08/28,146253.0,267104.0,303513.0,404068,700461.0,836501.0,-181945.0,-557499.0,-776110.0,-173833.0
4,3231,緯創,178.0,-1.5,-0.84,08/28,42076.0,118064.0,121684.0,242720,499922.0,251790.0,1560780.0,627557.0,2370899.0,1569072.0
5,8996,高力,1265.0,-45.0,-3.44,08/28,70690.0,125600.0,158396.0,238803,306233.0,398074.0,412962.0,390585.0,173672.0,381467.0
6,3036,文曄,196.0,3.0,1.55,08/28,27930.0,61928.0,117867.0,237632,221410.0,142551.0,453589.0,1185757.0,1439765.0,1179675.0
7,4958,臻鼎-KY,480.5,3.5,0.73,08/28,87154.0,137659.0,170849.0,206815,568094.0,922296.0,259464.0,541502.0,-266797.0,543116.0
8,2317,鴻海,253.0,1.0,0.4,08/28,5214.0,30235.0,59721.0,203196,186272.0,-356273.0,-275437.0,-303044.0,-1224571.0,-139031.0
9,2454,聯發科,3985.0,120.0,3.1,08/28,14879.0,87444.0,116550.0,178846,826675.0,983728.0,796872.0,909373.0,471484.0,211671.0
10,2408,南亞科,540.0,-1.0,-0.18,08/28,11172.0,159099.0,162229.0,157003,-286943.0,-1168610.0,122299.0,103732.0,278768.0,474099.0
11,3443,創意,6015.0,95.0,1.6,08/28,19444.0,73042.0,64105.0,132862,-40180.0,-64267.0,201543.0,213181.0,-49047.0,232293.0
12,6805,富世達,2345.0,120.0,5.39,08/28,40242.0,60923.0,67480.0,131132,243146.0,440025.0,443259.0,457869.0,491551.0,481496.0
13,2449,京元電子,270.0,22.5,9.09,08/28,34216.0,66726.0,97466.0,125930,251804.0,837544.0,-946912.0,1106520.0,1147989.0,1056654.0
14,2368,金像電,1130.0,100.0,9.71,08/28,65710.0,68082.0,69418.0,105218,89552.0,213802.0,28347.0,-656771.0,-591219.0,-779873.0
15,6669,緯穎,7200.0,385.0,5.65,08/28,77247.0,110758.0,69700.0,103626,142611.0,93280.0,-702046.0,1179771.0,2966613.0,1777495.0
16,1519,華城,755.0,-15.0,-1.95,08/28,33113.0,60634.0,79038.0,101818,137308.0,53632.0,287331.0,1195463.0,836015.0,897445.0
17,5483,中美晶,183.5,1.5,0.82,08/28,17104.0,27172.0,48227.0,94762,186192.0,260041.0,535136.0,528738.0,579133.0,498297.0
18,3163,波若威,754.0,-22.0,-2.84,08/28,1368.0,10058.0,50344.0,87753,84865.0,160807.0,308614.0,440817.0,266891.0,413158.0
19,2834,臺企銀,16.45,0.1,0.61,08/28,12077.0,28795.0,47581.0,86382,146167.0,255970.0,226731.0,665780.0,678123.0,698678.0
20,2303,聯電,130.0,11.5,9.7,08/28,4691.0,37497.0,62028.0,82089,66646.0,-205637.0,-6664628.0,-6139118.0,-9405017.0,-7150921.0
21,6223,旺矽,5030.0,-60.0,-1.18,08/28,26492.0,20554.0,80791.0,78215,169167.0,410055.0,667184.0,1080036.0,1009760.0,929883.0
22,6139,亞翔,775.0,-9.0,-1.15,08/28,28525.0,51140.0,52476.0,76413,104754.0,265644.0,514582.0,498671.0,446235.0,500037.0
23,3491,昇達科,1510.0,85.0,5.96,08/28,39961.0,59965.0,65989.0,74968,118581.0,117361.0,488278.0,469739.0,178707.0,416308.0
