排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
1,2382,廣達,332.5,-1.0,-0.3,08/28,-344515.0,-428384.0,-575092.0,-705130,-2281206.0,-5821413.0,-2210985.0,-304047.0,-1125031.0,-699677.0
2,3653,健策,5785.0,140.0,2.48,08/28,-589.0,-33658.0,-334028.0,-670149,-707775.0,-404109.0,-590202.0,-1144629.0,-207335.0,-1093503.0
3,3008,大立光,7065.0,150.0,2.17,08/28,166333.0,101093.0,-28135.0,-407509,-371708.0,327164.0,526634.0,-83115.0,1282656.0,686275.0
4,3081,聯亞,3305.0,-65.0,-1.93,08/28,5720.0,-19229.0,-122401.0,-295170,-80379.0,86315.0,373349.0,507000.0,336379.0,338905.0
5,1216,統一,75.7,-1.4,-1.82,08/28,-18987.0,-56054.0,-172845.0,-263009,-585719.0,-973030.0,-779776.0,-324660.0,590023.0,-34844.0
6,3034,聯詠,545.0,-3.0,-0.55,08/28,-145548.0,-171710.0,-241676.0,-238140,4353.0,-296293.0,-1151521.0,-1499050.0,-669624.0,-1330275.0
7,1815,富喬,125.5,9.0,7.73,08/28,-84931.0,-134894.0,-184444.0,-222044,-274387.0,-270652.0,-303502.0,-144252.0,-26485.0,-6583.0
8,2603,長榮,231.5,-1.0,-0.43,08/28,-12113.0,-41138.0,-170176.0,-220417,-748435.0,-1105756.0,-2332569.0,-1784287.0,-1598051.0,-2170832.0
9,2451,創見,294.0,-4.0,-1.34,08/28,4994.0,3794.0,-141772.0,-215916,-280334.0,-283018.0,-48935.0,153024.0,159786.0,127055.0
10,00981A,主動統一台股增長,30.09,0.57,1.93,08/28,-17029.0,-79432.0,-175286.0,-201135,-200473.0,-348209.0,-781882.0,-196696.0,-78412.0,-102997.0
11,2886,兆豐金,48.2,2.05,4.44,08/28,-4311.0,-25855.0,-144601.0,-195976,-418177.0,-40201.0,290866.0,343325.0,209880.0,423218.0
12,3260,威剛,412.0,-3.5,-0.84,08/28,-7788.0,-3701.0,-96547.0,-175702,-127564.0,-250518.0,-233399.0,600987.0,726907.0,495966.0
13,2308,台達電,1830.0,60.0,3.39,08/28,19177.0,27218.0,79107.0,-169390,-137458.0,-268226.0,158067.0,961313.0,576309.0,1017090.0
14,2379,瑞昱,722.0,-8.0,-1.1,08/28,9289.0,7182.0,-61090.0,-164403,-264718.0,-613494.0,-270479.0,-208722.0,900697.0,342534.0
15,2455,全新,434.0,1.0,0.23,08/28,-47263.0,-113655.0,-117772.0,-128799,-98933.0,-46075.0,-101276.0,-236338.0,-188447.0,-120570.0
16,00631L,元大台灣50正2,36.3,0.35,0.97,08/28,-85908.0,-116514.0,-116796.0,-116273,-114954.0,-260111.0,-61481.0,,528136.0,642989.0
17,2330,台積電,2420.0,10.0,0.41,08/28,-11501.0,-5930.0,-14347.0,-108282,-149380.0,259291.0,1723699.0,3127189.0,98534.0,3011991.0
18,3105,穩懋,439.0,-6.5,-1.46,08/28,-8310.0,-42520.0,-62187.0,-102370,-29366.0,168597.0,445251.0,554847.0,460144.0,508475.0
19,00878,國泰永續高股息,33.0,0.29,0.89,08/28,-9890.0,-25759.0,-66863.0,-95585,-34130.0,34544.0,220406.0,187904.0,73201.0,166290.0
20,3450,聯鈞,635.0,57.0,9.86,08/28,-35389.0,-55748.0,-73823.0,-89394,-95480.0,-155013.0,4070.0,-359762.0,-371349.0,-385081.0
21,3017,奇鋐,3360.0,20.0,0.6,08/28,32198.0,105530.0,9744.0,-89206,-483714.0,-1269353.0,-441491.0,271707.0,-87054.0,116797.0
22,2912,統一超,218.5,-2.0,-0.91,08/28,-394.0,-3071.0,-40060.0,-84316,-119649.0,-308110.0,38484.0,193908.0,248563.0,137104.0
23,3037,欣興,1110.0,-70.0,-5.93,08/28,11877.0,-71900.0,-70427.0,-82998,-217248.0,-482231.0,-529871.0,-82350.0,-1533990.0,-100805.0
24,2002,中鋼,19.05,-0.1,-0.52,08/28,2639.0,4342.0,-28237.0,-75084,-129415.0,-269869.0,-677048.0,-315342.0,-146836.0,-527481.0
25,2376,技嘉,349.0,4.0,1.16,08/28,-11815.0,-23415.0,-89888.0,-74142,-117321.0,-345677.0,-27271.0,-338140.0,726667.0,360405.0
26,2883,凱基金,32.75,0.6,1.87,08/28,-22475.0,-54477.0,-55251.0,-67470,-30951.0,-89555.0,40322.0,106721.0,-4163.0,105085.0
27,00881,國泰台灣科技龍頭,50.0,0.39,0.79,08/28,-22107.0,-53620.0,-77235.0,-66926,-44696.0,29962.0,-67651.0,-56341.0,6776.0,-9500.0
28,0050,元大台灣50,106.95,0.9,0.85,08/28,-578.0,-22000.0,-22000.0,-65199,-205005.0,-211725.0,844161.0,448429.0,466267.0,661643.0
29,2324,仁寶,39.7,-0.05,-0.13,08/28,-20337.0,-24333.0,-23642.0,-56140,-132581.0,-198061.0,-1528466.0,-1459575.0,-505159.0,-1166814.0
30,1102,亞泥,34.55,-0.55,-1.57,08/28,-2481.0,-10423.0,-32190.0,-55494,-75864.0,-53871.0,-461219.0,-158929.0,77565.0,21265.0
31,2881,富邦金,144.0,2.5,1.77,08/28,-5371.0,-24837.0,-18488.0,-53060,-16700.0,-27069.0,-1371079.0,-1551341.0,-2129510.0,-1730175.0
32,2609,陽明,56.2,-1.7,-2.94,08/28,3339.0,-12969.0,-28305.0,-50210,-92968.0,-65650.0,-824142.0,-319955.0,-624731.0,-651930.0
33,2357,華碩,965.0,-3.0,-0.31,08/28,-15254.0,-23404.0,-20917.0,-48940,-463133.0,-1058973.0,-3155171.0,-2415725.0,-360469.0,-1537631.0
34,2891,中信金,64.4,0.6,0.94,08/28,24951.0,17995.0,12298.0,-45230,109965.0,110174.0,-371036.0,733733.0,312031.0,511333.0
35,3324,雙鴻,1140.0,80.0,7.55,08/28,4053.0,-59803.0,-58306.0,-44829,-68661.0,-175364.0,-341374.0,321655.0,47377.0,329251.0
36,3023,信邦,317.0,-3.0,-0.94,08/28,-287.0,-447.0,-45806.0,-43418,-76882.0,-146788.0,101507.0,-56149.0,108369.0,14033.0
37,009816,凱基台灣TOP50,15.59,0.13,0.84,08/28,-1587.0,-31898.0,-40276.0,-42684,-51013.0,-166275.0,-39795.0,37562.0,,
38,1513,中興電,168.0,-2.5,-1.47,08/28,-2644.0,-14561.0,-38665.0,-42006,-185258.0,-260758.0,-161757.0,273786.0,235727.0,153961.0
39,6770,力積電,70.0,0.4,0.57,08/28,-15023.0,-18546.0,-44854.0,-40352,-420052.0,-122147.0,-1405026.0,233813.0,-292026.0,-61457.0
40,00982A,主動群益台灣強棒,22.54,0.19,0.85,08/28,-26415.0,-34916.0,-42513.0,-39703,-21522.0,-24218.0,-57656.0,24638.0,13794.0,20381.0
41,5871,中租-KY,113.0,-1.5,-1.31,08/28,-14057.0,-15297.0,-4770.0,-34513,-41204.0,-148302.0,461010.0,734333.0,437378.0,372299.0
42,3665,貿聯-KY,2260.0,205.0,9.98,08/28,-2426.0,-3851.0,18032.0,-34319,-514903.0,349089.0,2093941.0,1900885.0,2459445.0,1353375.0
43,3706,神達,92.1,0.7,0.77,08/28,101.0,-30000.0,-31662.0,-33857,-85445.0,-212512.0,-24242.0,-134507.0,447998.0,-163991.0
44,1785,光洋科,103.5,0.5,0.49,08/28,-1404.0,-2649.0,-29260.0,-32243,-50418.0,-79172.0,80973.0,417994.0,383356.0,414794.0
45,2345,智邦,2125.0,35.0,1.67,08/28,13909.0,4267.0,8304.0,-31883,-68027.0,-145719.0,-215872.0,-164647.0,-248522.0,-277535.0
46,2880,華南金,40.25,0.9,2.29,08/28,9054.0,2217.0,-30611.0,-30597,-64329.0,303333.0,1024984.0,1213407.0,1293330.0,1210919.0
47,2615,萬海,111.5,-2.0,-1.76,08/28,-5458.0,28573.0,-27650.0,-29027,35547.0,-52714.0,-267588.0,-375537.0,-666670.0,-240615.0
48,3374,精材,386.0,35.0,9.97,08/28,-19683.0,-38392.0,-39707.0,-26898,19590.0,180251.0,130526.0,166195.0,-63863.0,77034.0
49,1477,聚陽,195.5,-3.0,-1.51,08/28,-6281.0,-10963.0,-26838.0,-26814,-990.0,20333.0,-123516.0,46572.0,-17626.0,117720.0
50,2426,鼎元,96.1,-0.5,-0.52,08/28,28.8,-1126.0,-26395.0,-26558,-18589.0,-9669.0,16189.0,63263.0,67727.0,67586.0
51,00991A,主動復華未來50,18.3,0.11,0.6,08/28,-2335.0,-13473.0,-20075.0,-26525,-38230.0,-119729.0,-37447.0,84518.0,,91707.0
52,3030,德律,293.5,-3.0,-1.01,08/28,-4572.0,-9354.0,-22808.0,-26202,-54100.0,-81290.0,123896.0,87443.0,40187.0,72084.0
53,6781,AES-KY,1130.0,-10.0,-0.88,08/28,-336.0,-8301.0,-22872.0,-25992,-73172.0,-138469.0,-150994.0,-81497.0,232169.0,-97113.0
54,2393,億光,66.2,-0.3,-0.45,08/28,-1079.0,-2256.0,-20551.0,-25511,-39082.0,-46574.0,-10782.0,35097.0,-22258.0,8495.0
55,3693,營邦,587.0,39.0,7.12,08/28,-7366.0,-10277.0,-13119.0,-24456,-34365.0,-47154.0,-26799.0,-10873.0,-13247.0,-10.3
56,8112,至上,90.9,-1.3,-1.41,08/28,8970.0,-18374.0,-17785.0,-23263,-61498.0,-230627.0,-92612.0,-91314.0,-88765.0,-227288.0
57,00988A,主動統一全球創新,16.39,-0.14,-0.85,08/28,0.0,-1353.0,205.0,-22867,-23849.0,-64130.0,-148167.0,30427.0,,40559.0
58,3661,世芯-KY,4065.0,195.0,5.04,08/28,-13628.0,-5776.0,-8159.0,-21044,-211053.0,-672647.0,-543580.0,-1849527.0,-779448.0,-806603.0
59,2316,楠梓電,164.0,3.5,2.18,08/28,-1250.0,425.0,-18976.0,-20478,-24961.0,-2558.0,-28211.0,17875.0,-8790.0,24879.0
60,1590,亞德客-KY,1415.0,-65.0,-4.39,08/28,5013.0,13344.0,15701.0,-19753,-50743.0,-75529.0,8644.0,8802.0,-9924.0,-42471.0
61,5536,聖暉*,871.0,17.0,1.99,08/28,-173.0,-173.0,-3764.0,-19209,-57866.0,-132785.0,-296527.0,-534116.0,18664.0,-304204.0
62,00992A,主動群益科技創新,18.68,0.23,1.25,08/28,-1302.0,-2629.0,-19517.0,-19036,-22644.0,-34242.0,-70056.0,4756.0,,6437.0
63,1802,台玻,60.8,1.6,2.7,08/28,-2324.0,-983.0,-874.0,-17800,-15237.0,6075.0,140154.0,350438.0,152628.0,45501.0
64,5347,世界,153.0,2.0,1.32,08/28,-4587.0,-3227.0,-48303.0,-17766,5111.0,14213.0,-433841.0,-48652.0,-184892.0,-279719.0
65,3363,上詮,701.0,-3.0,-0.43,08/28,-23390.0,-40218.0,-42848.0,-17191,-18773.0,-63024.0,-60260.0,245605.0,322076.0,288075.0
66,2474,可成,206.5,-1.0,-0.48,08/28,-5976.0,-8395.0,-15518.0,-16943,-36923.0,-17629.0,-530939.0,-419948.0,-76630.0,-390027.0
