排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,4939,亞電,92.8,6.2,7.16,08/28,7.72,7.73,7.19,8.86,10.8,8.74,6.81,10.7,8.61,8.57,8.81,12.5
2,1815,富喬,125.5,9.0,7.73,08/28,4.35,4.38,8.62,7.84,15.5,14.7,18.6,7.08,11.0,17.4,9.44,8.82
3,6226,光鼎,34.0,3.05,9.85,08/28,1.28,2.68,3.12,5.5,5.48,-0.57,4.05,5.68,5.92,6.19,8.26,6.04
4,2481,強茂,154.0,7.5,5.12,08/28,2.39,2.25,3.72,4.4,0.12,-7.73,-6.33,-2.0,6.14,5.47,-12.1,10.0
5,3324,雙鴻,1140.0,80.0,7.55,08/28,1.72,2.51,2.08,3.81,3.58,6.35,7.56,-4.17,4.66,5.73,17.1,-3.63
6,1727,中華化,98.1,1.2,1.24,08/28,2.3,2.61,3.82,3.81,4.86,5.12,6.62,1.42,8.33,7.2,3.46,3.88
7,3376,新日興,217.0,7.0,3.33,08/28,1.15,3.13,3.66,3.79,3.37,4.3,-4.14,-2.23,-10.3,-2.74,-9.43,-7.42
8,8103,瀚荃,108.5,-5.5,-4.82,08/28,0.1,2.46,2.94,3.68,1.64,0.6,-3.22,-2.56,-0.7,-1.09,-1.16,-0.17
9,2491,吉祥全,56.4,5.1,9.94,08/28,0.52,2.02,3.35,3.66,3.51,3.04,3.18,3.06,3.81,3.95,1.58,3.85
10,6517,保勝光學,71.6,-2.1,-2.85,08/28,0.39,2.14,3.44,3.46,4.04,4.63,5.2,5.09,4.93,2.89,,6.52
11,2351,順德,239.5,-0.5,-0.21,08/28,0.72,2.92,2.71,3.37,2.39,1.85,7.49,13.6,16.9,7.03,8.37,19.3
12,3374,精材,386.0,35.0,9.97,08/28,1.81,1.95,3.06,3.2,0.95,-2.38,2.3,-3.12,8.66,3.1,9.09,4.43
13,3450,聯鈞,635.0,57.0,9.86,08/28,1.76,2.01,2.4,3.0,1.78,7.58,0.83,7.25,17.6,16.8,-3.72,16.9
14,00983A,主動中信ARK創新,12.74,0.11,0.87,08/28,0.25,1.1,1.98,2.88,4.38,5.71,48.0,90.1,81.4,,,90.1
15,6547,高端疫苗,65.0,1.9,3.01,08/28,0.44,1.62,2.37,2.73,3.31,4.13,3.22,4.0,0.8,-0.32,,1.37
16,00715L,期街口布蘭特正2,48.76,1.93,4.12,08/28,0.06,-0.01,0.39,2.63,4.29,7.72,11.8,7.6,86.1,279.0,,30.0
17,6108,競國,25.7,1.9,7.98,08/28,1.55,2.18,2.27,2.63,5.06,7.37,6.23,8.07,7.85,6.21,4.98,8.4
18,2421,建準,163.5,4.0,2.51,08/28,0.56,2.31,2.63,2.62,2.53,6.16,4.39,-5.12,0.12,13.2,17.1,-5.48
19,6269,台郡,75.0,2.1,2.88,08/28,0.21,2.23,2.54,2.5,2.67,4.6,-1.93,-3.11,-1.8,-9.52,-17.5,-1.95
20,2455,全新,434.0,1.0,0.23,08/28,0.3,0.7,1.18,2.4,-0.01,-1.28,1.56,4.09,3.29,-5.57,13.4,-1.76
21,5291,邑昇,68.5,2.1,3.16,08/28,-0.34,1.11,1.82,2.38,1.89,2.43,0.68,1.39,2.37,2.45,2.38,2.49
22,3406,玉晶光,917.0,83.0,9.95,08/28,1.48,2.52,2.49,2.36,1.18,1.12,-0.58,9.67,16.1,28.4,30.9,14.6
23,3105,穩懋,439.0,-6.5,-1.46,08/28,0.33,1.14,1.91,2.36,2.35,0.62,-2.68,-9.17,1.25,-11.2,-26.1,-6.56
24,6218,豪勉,40.7,0.75,1.88,08/28,1.46,2.21,1.6,2.35,3.02,3.61,3.15,2.61,1.76,2.33,2.33,2.47
25,6179,亞通,30.4,2.75,9.95,08/28,1.63,1.59,2.21,2.3,2.97,4.36,5.48,4.21,1.86,5.13,5.05,3.66
26,6104,創惟,99.3,-3.2,-3.12,08/28,-0.19,0.66,1.66,2.2,2.89,4.19,5.82,7.66,-6.91,11.0,8.59,3.55
27,8271,宇瞻,232.5,-1.5,-0.64,08/28,0.26,1.36,1.18,2.18,1.83,3.34,-2.17,1.5,-11.3,-11.5,-11.4,-8.23
28,3094,聯傑,40.8,2.7,7.09,08/28,1.55,1.81,1.27,2.1,1.63,1.68,0.35,0.22,0.13,0.13,-2.03,0.43
29,00989A,主動摩根美國科技,17.23,0.32,1.89,08/28,0.25,2.12,2.1,2.09,0.64,6.95,6.68,59.6,,,,72.4
30,2426,鼎元,96.1,-0.5,-0.52,08/28,-1.87,-0.44,-1.21,2.07,5.45,5.39,3.68,1.91,0.54,0.32,-0.12,1.64
31,3693,營邦,587.0,39.0,7.12,08/28,0.55,0.98,1.57,2.06,1.84,2.37,2.27,0.4,4.27,1.5,0.02,2.03
32,00678,群益那斯達克生技,44.45,-0.26,-0.58,08/28,-0.28,-0.85,0.08,2.02,1.78,0.14,1.3,6.3,15.8,18.1,,3.33
33,2221,大甲,79.7,5.1,6.84,08/28,1.02,0.86,1.18,1.86,3.28,3.68,4.03,3.9,3.93,3.45,4.33,3.94
34,2606,裕民,72.2,-2.1,-2.83,08/28,-0.18,0.12,0.09,1.85,3.07,4.74,9.03,13.4,16.5,17.9,21.5,18.2
35,3504,揚明光,89.5,-4.6,-4.89,08/28,1.65,1.54,1.75,1.73,1.79,2.62,2.12,1.91,0.08,4.49,-1.75,1.2
36,6672,騰輝電子-KY,289.5,8.0,2.84,08/28,1.38,2.61,2.1,1.67,3.13,1.64,7.98,-3.69,0.31,-4.49,,1.15
37,009821,野村稀土關鍵資源,15.92,0.0,0.0,08/28,0.1,0.32,0.69,1.65,5.53,12.6,,,,,,
38,3264,欣銓,235.0,15.5,7.06,08/28,0.8,1.15,1.3,1.64,1.55,0.27,4.55,4.51,6.53,9.17,7.11,-1.54
39,3176,基亞,38.9,0.8,2.1,08/28,0.25,0.43,1.3,1.58,2.31,2.26,2.66,2.54,2.48,2.85,2.32,2.38
40,2399,映泰,46.9,0.3,0.64,08/28,0.82,0.38,1.97,1.53,-0.21,1.13,1.45,3.38,-3.03,5.98,-10.0,5.64
41,00403A,主動統一升級50,10.36,0.11,1.07,08/28,0.89,1.32,1.78,1.51,1.79,5.75,3.61,,,,,
42,2461,光群雷,18.85,0.35,1.89,08/28,0.1,0.28,0.88,1.41,1.7,2.5,5.76,5.84,5.27,2.94,5.04,5.78
43,00992A,主動群益科技創新,18.68,0.23,1.25,08/28,0.7,1.29,1.48,1.41,1.97,10.3,10.7,11.4,,,,14.0
44,6141,柏承,58.2,3.3,6.01,08/28,0.56,0.83,2.19,1.4,4.31,4.04,3.35,6.29,7.86,5.27,7.52,6.64
45,3363,上詮,701.0,-3.0,-0.43,08/28,0.06,0.46,1.2,1.39,1.23,0.18,-0.44,-4.5,-2.87,0.77,4.74,-4.56
46,3265,台星科,186.5,10.0,5.67,08/28,0.82,1.26,1.45,1.36,-1.68,-0.21,-1.48,1.39,3.14,2.98,1.0,4.03
47,5392,能率,48.3,1.2,2.55,08/28,0.17,0.76,1.35,1.36,1.74,2.42,0.56,1.34,-2.88,-1.61,-0.98,2.75
48,00898,國泰基因免疫革命,11.06,-0.08,-0.72,08/28,0.13,0.42,0.95,1.33,3.39,13.8,28.5,43.5,67.4,143.0,,51.2
49,00982A,主動群益台灣強棒,22.54,0.19,0.85,08/28,0.2,0.58,0.79,1.32,0.84,2.23,0.55,3.51,7.72,,,5.41
50,1608,華榮,37.85,-0.35,-0.92,08/28,-0.01,0.63,1.16,1.3,1.29,4.21,1.96,0.85,3.42,4.45,1.28,2.05
51,6190,萬泰科,70.6,1.8,2.62,08/28,0.38,0.75,1.42,1.3,1.2,1.38,0.53,3.68,1.37,7.21,4.86,4.8
52,2637,慧洋-KY,92.1,-2.5,-2.64,08/28,-0.16,0.07,0.09,1.3,2.16,2.9,8.89,12.2,21.6,22.9,22.7,17.2
53,6173,信昌電,239.0,21.5,9.89,08/28,2.06,2.05,1.29,1.28,1.85,-5.05,-6.22,5.44,7.39,5.99,8.53,10.1
54,3712,永崴投控,20.75,-0.9,-4.16,08/28,-0.19,0.2,0.66,1.28,1.2,1.37,0.87,1.71,0.8,-0.21,,1.52
55,2030,彰源,22.8,-0.2,-0.87,08/28,0.2,0.33,0.66,1.27,2.09,4.01,5.95,7.56,6.78,9.31,6.61,6.88
56,7788,松川精密,327.5,29.5,9.9,08/28,0.72,1.33,1.3,1.27,1.4,1.5,1.27,7.72,,,,7.74
57,00981A,主動統一台股增長,30.09,0.57,1.93,08/28,0.9,1.21,1.53,1.22,2.09,9.43,8.2,-0.86,-1.08,,,-1.32
58,4927,泰鼎-KY,43.0,2.55,6.3,08/28,0.71,1.0,1.2,1.2,1.31,1.13,-5.87,-11.4,-7.38,-11.8,-10.8,-5.71
59,3543,州巧,54.5,4.9,9.88,08/28,0.3,0.64,2.95,1.19,1.16,2.41,0.18,-11.6,0.73,2.21,,-2.35
60,4923,力士,56.4,0.4,0.71,08/28,0.09,0.49,0.85,1.19,0.99,-0.07,2.31,2.3,2.27,2.14,,2.23
61,2465,麗臺,95.0,-0.4,-0.42,08/28,0.12,0.67,0.93,1.17,-2.95,3.15,2.32,5.95,3.35,7.49,1.69,6.37
62,6451,訊芯-KY,453.5,1.5,0.33,08/28,-0.11,-0.4,0.64,1.15,-1.02,-0.28,1.18,3.72,5.15,3.76,-0.79,5.42
63,2449,京元電子,270.0,22.5,9.09,08/28,0.9,0.92,0.99,1.14,1.13,-1.95,-0.35,-4.35,-2.08,-13.1,-19.6,-4.6
