排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
1,5274,信驊,櫃,08/28,,15630.0,325.0,2.12,385,5888.0,15305.0,15525.0,15745.0,14815.0,6.08,115.0,75.83,,,,,
2,2059,川湖,市,08/28,,14300.0,-40.0,-0.28,434,6187.0,14340.0,14500.0,14595.0,14005.0,4.11,78.8,40.37,,,,,
3,6669,緯穎,市,08/28,,7200.0,385.0,5.65,1994,14128.0,6815.0,6965.0,7245.0,6835.0,6.02,23.0,9.8,,,,,
4,3008,大立光,市,08/28,,7065.0,150.0,2.17,4886,34418.0,6915.0,7005.0,7270.0,6865.0,5.86,37.7,4.82,,,,,
5,7769,鴻勁,市,08/28,,6490.0,145.0,2.29,511,3285.0,6345.0,6345.0,6540.0,6310.0,3.62,67.0,20.56,,,,,
6,6515,穎崴,市,08/28,,6250.0,145.0,2.38,302,1876.0,6105.0,6105.0,6350.0,6050.0,4.91,101.0,26.42,,,,,
7,3443,創意,市,08/28,,6015.0,95.0,1.6,1882,11433.0,5920.0,5975.0,6245.0,5910.0,5.66,154.0,59.86,,,,,
8,3653,健策,市,08/28,,5785.0,140.0,2.48,940,5472.0,5645.0,5750.0,5960.0,5690.0,4.78,131.0,36.0,,,,,
9,2383,台光電,市,08/28,,5490.0,15.0,0.27,1985,10983.0,5500.0,5480.0,5620.0,5425.0,3.56,85.8,33.72,,,,,
10,6223,旺矽,櫃,08/28,,5030.0,-60.0,-1.18,1767,8832.0,5090.0,5085.0,5085.0,4880.0,4.03,108.0,30.99,,,,,
11,3661,世芯-KY,市,08/28,,4065.0,195.0,5.04,2030,8138.0,3870.0,3910.0,4105.0,3855.0,6.46,56.5,5.81,,,,,
12,2454,聯發科,市,08/28,,3985.0,120.0,3.1,5065,20028.0,3865.0,3935.0,4000.0,3925.0,1.94,65.7,14.99,,,,,
13,3017,奇鋐,市,08/28,,3360.0,20.0,0.6,4035,13676.0,3340.0,3360.0,3450.0,3320.0,3.89,44.8,23.9,,,,,
14,3081,聯亞,櫃,08/28,,3305.0,-65.0,-1.93,3279,11032.0,3370.0,3370.0,3455.0,3285.0,5.04,312.0,64.79,,,,,
15,7734,印能科技,櫃,08/28,,2995.0,125.0,4.36,332,974.0,2870.0,2895.0,3050.0,2800.0,8.71,62.6,12.42,,,,,
16,6510,精測,櫃,08/28,,2680.0,-60.0,-2.19,466,1268.0,2740.0,2805.0,2830.0,2670.0,5.84,63.0,8.71,,,,,
17,3529,力旺,櫃,08/28,,2540.0,-110.0,-4.15,1695,4417.0,2650.0,2720.0,2720.0,2520.0,7.55,85.2,54.39,,,,,
