"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","2834","臺企銀","16.95","+0.5","+3.04","08/31","+9,226","+16,553","+26,694","+49,914","+88,523","+166,386","+150,841","+427,387","+436,144","+449,908"
"2","2344","華邦電","182.5","+1","+0.55","08/31","+27,526","+38,868","+40,962","+47,735","+35,622","-39,592","-72,675","+83,527","-4,964","+90,803"
"3","00712","復華富時不動產","8.72","-0.01","-0.11","08/31","+140","+5,147","+24,612","+24,612","+16,212","+16,188","+18,669","+5,946","+4,605","+21,144"
"4","3231","緯創","178","0","0","08/31","+11,244","+13,590","+17,721","+24,392","+38,392","+31,758","+110,664","+43,973","+170,895","+114,699"
"5","2884","玉山金","39.75","+1","+2.58","08/31","+10,071","+15,055","+14,110","+24,305","+48,732","+65,406","-56,339","-48,925","+225,569","+31,308"
"6","1101","台泥","24.4","+0.1","+0.41","08/31","+6,852","+10,069","+12,788","+23,024","+41,336","+55,622","+191,717","+479,236","+493,612","+531,905"
"7","00403A","主動統一升級50","10.22","-0.14","-1.35","08/31","+7,448","+7,599","+7,804","+13,601","+31,351","-119,545","+137,445","","",""
"8","2887","台新新光金","38.55","+1.05","+2.8","08/31","+9,443","+11,664","+9,654","+11,246","+31,386","+15,994","+111,629","+274,773","+277,642","+169,509"
"9","2408","南亞科","543","+3","+0.56","08/31","+6,609","+6,813","+9,536","+10,063","+4,395","-19,037","+18,069","+26,429","-4,161","+37,290"
"10","3036","文曄","196","0","0","08/31","+535","+1,959","+3,711","+9,302","+12,198","+9,976","+17,857","+47,859","+67,862","+48,500"
"11","00406A","主動中信台灣收益","9.67","-0.14","-1.43","08/31","+7,035","+6,735","+6,885","+8,602","+16,349","+11,158","","","",""
"12","00685L","群益臺灣加權正2","11.82","-0.14","-1.17","08/31","+9,945","+5,797","+3,318","+8,484","+28,721","-1,969","+410,745","+411,718","+413,262","+411,839"
"13","5483","中美晶","178","-5.5","-3","08/31","+4,351","+5,279","+5,834","+8,224","+13,982","+13,652","+30,091","+28,764","+33,629","+26,396"
