排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00406A,主動中信台灣收益,9.67,-0.14,-1.43,431532,08/31,6670,2933,5254,12195,20417.0,21285.0,,,,
2,1312,國喬,15.55,1.4,9.89,108411,08/31,4636,9663,10006,10118,9867.0,14968.0,34380.0,32846.0,32017.0,34868.0
3,2426,鼎元,97.8,1.7,1.77,86618,08/31,-986,2120,3303,9952,11591.0,14417.0,2730.0,22934.0,22890.0,22714.0
4,3481,群創,49.85,1.25,2.57,264345,08/31,-5308,7930,8255,9384,-977.0,-14577.0,-113869.0,-1341.0,151857.0,106831.0
5,009829,大華韓國KOSPI50,10.4,-0.01,-0.1,36393,08/31,2152,1562,2538,7620,,,,,,
6,3231,緯創,178.0,0.0,0.0,38947,08/31,1186,1906,5224,7186,9107.0,-6245.0,-9553.0,-15724.0,-4921.0,-6650.0
7,3605,宏致,139.0,8.0,6.11,36448,08/31,2917,4230,5057,6135,3174.0,11223.0,13751.0,12653.0,9265.0,13077.0
8,2303,聯電,129.0,-1.0,-0.77,217808,08/31,7151,4331,-1371,5572,3906.0,7690.0,24628.0,84128.0,127186.0,145095.0
9,3049,精金,13.55,0.05,0.37,31545,08/31,649,2514,2744,5175,5844.0,5844.0,5844.0,5073.0,3168.0,4120.0
10,2301,光寶科,305.0,-12.5,-3.94,26246,08/31,-409,-873,-1623,4925,6789.0,3681.0,2318.0,915.0,4198.0,541.0
11,00708L,期元大S&P黃金正2,82.7,-5.45,-6.18,13362,08/31,1767,2418,3489,4751,7317.0,9178.0,9754.0,9978.0,7110.0,12622.0
12,00411A,主動統一前沿科技,9.61,-0.23,-2.34,30048,08/31,705,1594,2368,4676,,,,,,
13,6147,頎邦,175.5,-7.0,-3.84,21206,08/31,-1597,-780,2924,4426,1297.0,3128.0,-11243.0,31467.0,31398.0,31087.0
14,2313,華通,248.5,7.5,3.11,67617,08/31,-499,3816,4177,4348,5127.0,4552.0,-8325.0,558.0,6969.0,-1475.0
15,2327,國巨*,545.0,-52.0,-8.71,71751,08/31,2057,3278,4504,4016,4617.0,10113.0,-10118.0,5903.0,13521.0,-1470.0
