排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1801,1503,士電,202.0,-3.0,-1.46,26W37,09/11,21.6,-0.21,24.2,-0.23,26.4,-0.42,27.6,-0.06
1802,2702,華園,12.7,0.0,0.0,26W37,09/11,21.1,0.05,24.1,0.0,26.3,0.0,26.5,0.0
1803,2204,中華,52.8,-0.3,-0.56,26W37,09/11,21.7,0.07,24.3,0.12,26.2,0.23,27.2,0.03
1804,2640,大車隊,153.5,-1.5,-0.97,26W37,09/11,14.0,0.03,17.7,0.02,26.2,0.02,32.5,0.02
1805,6971,惠民實業,24.9,0.0,0.0,26W37,09/11,21.1,0.0,24.1,0.0,26.2,0.0,32.1,0.0
1806,1773,勝一,159.0,-2.5,-1.55,26W37,09/11,18.8,-0.05,23.0,0.02,26.2,-0.07,28.9,-0.07
1807,00695B,富邦美債7-10,34.06,-0.12,-0.35,26W37,09/11,21.7,0.31,24.1,1.16,26.2,1.33,28.8,0.0
1808,2739,寒舍,37.25,-0.15,-0.4,26W37,09/11,20.5,0.04,23.9,0.06,26.2,0.01,27.7,0.0
1809,2454,聯發科,4585.0,-135.0,-2.86,26W37,09/11,15.2,-0.42,19.9,-0.4,26.1,-0.22,30.7,-0.17
1810,1519,華城,712.0,-6.0,-0.84,26W37,09/11,19.9,-0.28,22.3,-0.4,26.1,-0.19,28.1,-0.5
1811,2887I,台新新光辛特,9.52,0.0,0.0,26W37,09/11,18.2,-0.1,22.1,-0.14,26.1,-0.16,28.7,-0.26
1812,2379,瑞昱,704.0,8.0,1.15,26W37,09/11,14.1,0.19,18.8,0.2,26.0,-0.3,32.1,0.35
1813,2356,英業達,62.0,-0.6,-0.96,26W37,09/11,22.5,0.51,24.3,0.51,26.0,0.55,27.4,0.48
1814,2538,基泰,8.74,-0.06,-0.68,26W37,09/11,16.3,0.16,20.8,0.23,26.0,0.11,29.4,-0.14
1815,6577,勁豐,78.7,0.5,0.64,26W37,09/11,20.3,-0.16,22.8,0.0,26.0,0.0,27.7,0.0
1816,6166,凌華,112.5,0.0,0.0,26W37,09/11,18.1,0.73,21.8,0.9,25.9,0.75,28.4,1.03
1817,6624,萬年清,39.35,0.35,0.9,26W37,09/11,15.7,0.0,19.8,0.0,25.8,0.0,30.1,0.0
1818,7753,星亞,36.2,-0.25,-0.69,26W37,09/11,18.6,-0.06,22.1,0.0,25.8,0.0,27.5,0.0
1819,6614,資拓宏宇,35.7,0.05,0.14,26W37,09/11,19.5,-0.17,22.8,0.0,25.8,0.01,26.4,0.01
1820,7770,君曜,36.05,-1.45,-3.87,26W37,09/11,14.2,0.0,19.1,0.0,25.7,0.0,34.9,0.0
