排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1201,4168,醣聯,21.8,0.2,0.93,26M08,1.03,0.0,9.18,0,0,0.0,0.0,0.0,0,0,1.03,0.0,9.18,0,0
1202,4169,泰宗,145.0,-2.0,-1.36,26M08,1.37,0.0,20.6,0,0,0.0,0.0,0.0,0,0,1.37,0.0,20.6,0,0
1203,4173,久裕,17.2,0.1,0.58,26M08,2.98,0.0,40.0,0,0,0.0,0.0,0.0,0,0,2.98,0.0,40.0,0,0
1204,4178,永笙-KY,16.5,-0.3,-1.79,26M08,5.22,0.0,24.2,0,0,0.0,0.0,0.0,0,0,5.22,0.0,24.2,0,0
1205,4188,安克,14.75,-0.7,-4.53,26M08,2.96,0.0,46.8,0,0,0.0,0.0,0.0,0,0,2.96,0.0,46.8,0,0
1206,4190,佐登-KY,25.85,-0.1,-0.39,26M08,0.62,21.0,10.2,0,0,0.0,0.0,0.0,0,0,0.62,21.0,10.2,0,0
1207,4192,杏國,18.25,-0.65,-3.44,26M08,2.28,0.0,64.7,0,0,0.0,0.0,0.0,0,0,2.28,0.0,64.7,0,0
1208,4195,基米-創,13.6,-0.6,-4.23,26M08,1.19,0.0,14.8,0,0,0.0,0.0,0.0,0,0,1.19,0.0,14.8,0,0
1209,4198,欣大健康,48.3,-0.5,-1.02,26M08,1.52,58.0,63.2,0,0,0.0,0.0,0.0,0,0,1.52,58.0,63.2,0,0
1210,4205,中華食,69.2,0.3,0.44,26M08,3.07,0.0,31.5,0,0,0.0,0.0,0.01,0,0,3.07,0.0,31.5,0,0
1211,4303,信立,36.85,-0.05,-0.14,26M08,1.18,0.0,12.5,0,0,0.0,0.0,0.0,0,0,1.18,0.0,12.5,0,0
1212,4304,勝昱,17.2,-0.8,-4.44,26M07,0.36,0.0,5.91,0,0,0.0,0.0,0.0,0,0,0.36,0.0,5.91,0,0
1213,4305,世坤,41.9,0.0,0.0,26M08,1.3,0.0,23.6,0,0,0.0,0.0,0.09,0,0,1.31,0.0,23.7,0,0
1214,4306,炎洲,14.7,-0.2,-1.34,26M08,9.76,0.0,14.4,0,0,0.0,0.0,0.0,0,0,9.76,0.0,14.4,0,0
1215,4401,東隆興,13.8,-0.05,-0.36,26M08,2.87,0.0,23.4,0,0,0.01,0.0,0.09,0,0,2.88,0.0,23.5,0,0
1216,4406,新昕纖,10.0,0.0,0.0,26M08,0.81,0.0,15.6,0,0,0.0,0.0,0.09,0,0,0.82,0.0,15.7,0,0
1217,4414,如興,8.1,-0.08,-0.98,26M08,8.4,0.0,31.8,0,0,0.02,0.0,0.06,0,0,8.42,0.0,31.9,0,0
1218,4419,皇家美食,45.3,0.0,0.0,26M08,6.1,0.0,36.1,0,0,0.0,0.0,0.0,0,0,6.1,0.0,36.1,0,0
1219,4420,光明,39.2,0.0,0.0,26M08,1.67,-5.0,41.3,0,0,0.0,0.0,0.0,0,0,1.67,-5.0,41.3,0,0
1220,4426,利勤,7.65,-0.03,-0.39,26M08,2.45,0.0,14.2,0,0,0.0,0.0,0.0,0,0,2.45,0.0,14.2,0,0
1221,4430,耀億,17.5,0.0,0.0,26M08,1.46,0.0,25.9,0,0,0.0,0.0,0.0,0,0,1.46,0.0,25.9,0,0
1222,4432,銘旺實,15.4,-0.25,-1.6,26M08,2.19,0.0,43.2,0,0,0.0,0.0,0.0,0,0,2.19,0.0,43.2,0,0
1223,4433,興采,18.6,-0.15,-0.8,26M08,2.33,0.0,38.0,0,0,0.0,0.0,0.0,0,0,2.33,0.0,38.0,0,0
1224,4438,廣越,58.0,0.2,0.35,26M08,4.44,0.0,39.1,0,0,0.0,0.0,0.0,0,0,4.44,0.0,39.1,0,0
1225,4439,冠星-KY,94.5,-0.8,-0.84,26M08,1.71,0.0,44.8,0,0,0.0,0.0,0.02,0,0,1.71,0.0,44.9,0,0
1226,4440,宜新實業,17.6,0.05,0.28,26M08,0.71,0.0,10.5,0,0,0.0,0.0,0.0,0,0,0.71,0.0,10.5,0,0
1227,4441,振大環球,173.5,0.5,0.29,26M08,1.37,20.0,20.1,0,0,0.0,0.0,0.0,0,0,1.37,20.0,20.1,0,0
1228,4442,竣邦-KY,55.0,1.0,1.85,26M08,1.05,0.0,32.8,0,0,0.0,0.0,0.0,0,0,1.05,0.0,32.8,0,0
1229,4503,金雨,22.8,-0.35,-1.51,26M08,1.73,0.0,22.1,0,0,0.0,0.0,0.0,0,0,1.73,0.0,22.1,0,0
1230,4506,崇友,120.0,-1.0,-0.83,26M08,10.8,0.0,61.1,0,0,0.0,0.0,0.0,0,0,10.8,0.0,61.1,0,0
1231,4527,方土霖,41.0,0.25,0.61,26M08,2.16,0.0,28.4,0,0,0.0,0.0,0.0,0,0,2.16,0.0,28.4,0,0
1232,4528,江興鍛,14.9,0.0,0.0,26M08,3.77,5714.0,44.8,0,0,0.0,0.0,0.02,0,0,3.77,5714.0,44.8,0,0
1233,4529,淳紳,3.58,-0.15,-4.02,26M08,2.68,0.0,31.7,0,0,0.0,0.0,0.0,0,0,2.68,0.0,31.7,0,0
1234,4530,天意能創,25.85,0.05,0.19,26M08,0.56,1.0,15.7,0,0,0.0,0.0,0.0,0,0,0.56,1.0,15.7,0,0
1235,4532,瑞智,23.45,-0.25,-1.05,26M08,19.5,0.0,39.4,0,0,0.0,0.0,0.0,0,0,19.5,0.0,39.4,0,0
1236,4533,協易機,24.5,-0.35,-1.41,26M08,1.73,0.0,9.7,0,0,0.0,0.0,0.0,0,0,1.73,0.0,9.7,0,0
1237,4534,慶騰,27.8,-1.5,-5.12,26M08,1.73,0.0,19.9,0,0,0.0,0.0,0.0,0,0,1.73,0.0,19.9,0,0
1238,4535,至興,27.5,-0.5,-1.79,26M08,3.6,1.0,47.6,0,0,0.0,0.0,0.0,0,0,3.6,1.0,47.6,0,0
1239,4536,拓凱,162.0,-2.5,-1.52,26M08,1.93,0.0,21.3,0,0,0.0,0.0,0.0,0,0,1.93,0.0,21.3,0,0
1240,4538,大詠城,17.35,-0.25,-1.42,26M08,1.55,45.0,26.1,0,0,0.0,0.0,0.0,0,0,1.55,45.0,26.1,0,0
1241,4540,全球傳動,58.1,0.1,0.17,26M08,0.94,0.0,8.19,0,0,0.0,0.0,0.0,0,0,0.94,0.0,8.19,0,0
1242,4541,晟田,57.0,-1.0,-1.72,26M08,0.83,0.0,12.2,0,0,0.0,0.0,0.0,0,0,0.83,0.0,12.2,0,0
1243,4543,萬在,28.05,-0.6,-2.09,26M08,0.43,206.0,7.23,0,0,0.0,0.0,0.0,0,0,0.43,206.0,7.23,0,0
1244,4545,銘鈺,32.6,1.2,3.82,26M08,5.01,-180.0,65.0,0,0,0.0,0.0,0.0,0,0,5.01,-180.0,65.0,0,0
1245,4549,桓達,94.2,-2.1,-2.18,26M08,0.92,0.0,16.1,0,0,0.0,0.0,0.0,0,0,0.92,0.0,16.1,0,0
1246,4550,長佳,23.25,-0.7,-2.92,26M08,0.73,0.0,19.3,0,0,0.0,0.0,0.0,0,0,0.73,0.0,19.3,0,0
1247,4551,智伸科,157.0,-2.0,-1.26,26M08,1.25,0.0,10.8,0,0,0.0,0.0,0.0,0,0,1.25,0.0,10.8,0,0
1248,4552,力達-KY,15.7,-0.4,-2.48,26M08,4.61,0.0,39.8,0,0,0.0,0.0,0.0,0,0,4.61,0.0,39.8,0,0
1249,4554,橙的,28.05,-0.6,-2.09,26M08,1.29,1679.0,48.9,0,0,0.0,0.0,0.0,0,0,1.29,1679.0,48.9,0,0
1250,4555,氣立,42.5,0.3,0.71,26M08,2.01,0.0,28.7,0,0,0.0,0.0,0.0,0,0,2.01,0.0,28.7,0,0
1251,4556,旭然,94.6,8.6,10.0,26M08,1.36,0.0,32.1,0,0,0.0,0.0,0.0,0,0,1.36,0.0,32.1,0,0
1252,4557,永新-KY,50.0,-0.4,-0.79,26M08,0.13,0.0,2.67,0,0,0.0,0.0,0.0,0,0,0.13,0.0,2.67,0,0
1253,4558,寶緯,17.3,-0.3,-1.7,26M08,0.75,0.0,15.1,0,0,0.0,0.0,0.0,0,0,0.75,0.0,15.1,0,0
1254,4560,強信-KY,29.45,-0.2,-0.67,26M08,2.73,0.0,40.0,0,0,0.0,0.0,0.0,0,0,2.73,0.0,40.0,0,0
1255,4561,健椿,40.4,-0.8,-1.94,26M08,1.17,0.0,20.0,0,0,0.0,0.0,0.0,0,0,1.17,0.0,20.0,0,0
1256,4564,元翎,15.7,0.05,0.32,26M08,3.24,0.0,13.9,0,0,0.0,0.0,0.0,0,0,3.24,0.0,13.9,0,0
1257,4568,科際精密,38.5,0.0,0.0,26M08,0.52,0.0,16.4,0,0,0.0,0.0,0.0,0,0,0.52,0.0,16.4,0,0
1258,4569,六方科-KY,155.0,-3.5,-2.21,26M08,1.29,0.0,42.3,0,0,0.0,0.0,0.03,0,0,1.29,0.0,42.3,0,0
1259,4571,鈞興-KY,150.5,0.0,0.0,26M08,0.72,0.0,13.5,0,0,0.0,0.0,0.0,0,0,0.72,0.0,13.5,0,0
1260,4572,駐龍,142.5,1.5,1.06,26M08,0.8,0.0,20.0,0,0,0.0,0.0,0.0,0,0,0.8,0.0,20.0,0,0
1261,4577,達航科技,84.1,-3.7,-4.21,26M08,0.67,0.0,13.6,0,0,0.0,0.0,0.0,0,0,0.67,0.0,13.6,0,0
1262,4581,光隆精密-KY,47.15,-0.1,-0.21,26M08,0.45,0.0,13.3,0,0,0.0,0.0,0.0,0,0,0.45,0.0,13.3,0,0
1263,4582,聚恆-創,22.7,-0.2,-0.87,26M08,1.22,10.0,16.2,0,0,0.0,0.0,0.0,0,0,1.22,10.0,16.2,0,0
1264,4583,台灣精銳,433.0,-9.0,-2.04,26M08,2.57,0.0,32.1,0,0,0.0,0.0,0.0,0,0,2.57,0.0,32.1,0,0
1265,4584,君帆,37.8,-0.25,-0.66,26M08,0.53,0.0,17.6,0,0,0.0,0.0,0.0,0,0,0.53,0.0,17.6,0,0
1266,4585,達明,298.0,7.5,2.58,26M08,8.0,0.0,76.4,0,0,0.0,0.0,0.0,0,0,8.0,0.0,76.4,0,0
1267,4588,玖鼎電力,50.6,-0.4,-0.78,26M08,0.89,0.0,20.7,0,0,0.0,0.0,0.0,0,0,0.89,0.0,20.7,0,0
1268,4590,富田-創,89.9,-2.1,-2.28,26M08,1.11,0.0,20.2,0,0,0.0,0.0,0.0,0,0,1.11,0.0,20.2,0,0
1269,4609,唐鋒,4.24,0.04,0.95,26M08,0.91,0.0,19.0,0,0,0.0,0.0,0.0,0,0,0.91,0.0,19.0,0,0
1270,4702,中美實,9.23,-0.11,-1.18,26M08,3.08,0.0,42.6,0,0,0.0,0.0,0.0,0,0,3.08,0.0,42.6,0,0
1271,4706,大恭,35.75,-0.1,-0.28,26M08,4.52,130.0,57.1,0,0,0.0,0.0,0.0,0,0,4.52,130.0,57.1,0,0
1272,4711,永純,16.3,-0.35,-2.1,26M08,1.13,0.0,18.5,0,0,0.0,0.0,0.0,0,0,1.13,0.0,18.5,0,0
1273,4714,永捷,11.7,0.7,6.36,26M08,2.27,0.0,10.2,0,0,0.0,0.0,0.0,0,0,2.27,0.0,10.2,0,0
1274,4721,美琪瑪,72.1,-0.8,-1.1,26M08,0.67,0.0,8.97,0,0,0.0,0.0,0.0,0,0,0.67,0.0,8.97,0,0
