"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"301","00972","野村日本動能高息","市","21.9","+0.07","+0.32","16","09/22","0","0","+10","+10","3.4","22.4","＋・＋"
"302","6576","逸達","櫃","80.9","-0.3","-0.37","66","09/22","-29","0","0","-29","35.2","22.4","－・・"
"303","6446","藥華藥","市","1160","+10","+0.87","3,255","09/22","-212","-50","+38","-224","94.1","22.3","－－＋"
"304","6244","茂迪","櫃","23.7","-0.3","-1.25","4,708","09/22","-398","0","-55","-453","86","22.2","－・－"
"305","009807","台新標普科技精選","櫃","17.68","+0.4","+2.31","50","09/22","0","0","+31","+31","3.05","22.2","・・＋"
"306","009806","台新標普500","櫃","13.87","+0.17","+1.24","642","09/22","0","0","+9","+9","3.02","22.1","・・＋"
"307","6139","亞翔","市","715","-3","-0.42","1,640","09/22","-457","+1","-88","-544","52","22.1","－＋－"
"308","6669","緯穎","市","2115","-35","-1.63","6,260","09/22","+947","-1,244","+25","-272","41","22","＋－＋"
"309","2916","滿心","櫃","40.3","-0.4","-0.98","18","09/22","-1","0","0","-1","14.2","22","－・・"
"310","3363","上詮","櫃","660","-1","-0.15","2,787","09/22","-220","0","0","-219","24.9","21.9","－・＋"
"311","3022","威強電","市","91.5","-1.3","-1.4","1,049","09/22","+15","0","-19","-4","38.6","21.9","＋・－"
"312","5212","凌網","櫃","48","+0.15","+0.31","21","09/22","0","0","0","0","7.57","21.9","・・・"
"313","3498","陽程","櫃","205.5","+9.5","+4.85","3,269","09/22","+209","0","+113","+323","13.4","21.8","＋・＋"
"314","6290","良維","櫃","276","-5","-1.78","4,445","09/22","+135","0","-189","-54","36.6","21.6","＋・－"
"315","3583","辛耘","市","704","+2","+0.28","550","09/22","+1","0","+5","+6","17.3","21.5","＋・＋"
"316","3374","精材","櫃","487","+44","+9.93","17,275","09/22","+1,713","+1,536","-27","+3,222","58.3","21.5","＋＋－"
"317","6231","系微","櫃","224.5","+1","+0.45","310","09/22","+9","0","-3","+6","9.76","21.4","＋・－"
"318","6515","穎崴","市","5765","-30","-0.52","1,416","09/22","+94","-321","-1","-228","7.67","21.3","＋－－"
"319","6104","創惟","櫃","90.4","-0.9","-0.99","370","09/22","-90","0","-1","-91","19.4","21.3","－・－"
"320","3357","臺慶科","櫃","210.5","+1.5","+0.72","1,454","09/22","-272","0","-17","-289","24.3","21.1","－・－"
"321","2911","麗嬰房","市","6.2","0","0","127","09/22","-26","0","0","-26","22.2","21.1","－・・"
"322","4991","環宇-KY","櫃","473","-25","-5.02","5,676","09/22","-1,622","-19","+3","-1,638","25.6","21.1","－－＋"
"323","8213","志超","市","33.25","+0.05","+0.15","224","09/22","+18","0","-3","+15","57.1","21","＋・－"
"324","3481","群創","市","50.5","+0.1","+0.2","502,871","09/22","+24,830","-44","+1,858","+26,643","1,681","21","＋－＋"
"325","3014","聯陽","市","139","-0.5","-0.36","3,658","09/22","+1,293","+137","-20","+1,410","34.8","21","＋＋－"
"326","3605","宏致","市","171.5","+2.5","+1.48","38,677","09/22","-763","+2,487","-262","+1,462","36.6","21","－＋－"
"327","6213","聯茂","市","543","+1","+0.18","21,327","09/22","+2,398","+39","-48","+2,389","76.2","20.9","＋＋－"
"328","7792","安葆","櫃","378","+34","+9.88","2,185","09/22","+427","0","-25","+402","9.72","20.8","＋・－"
"329","2886","兆豐金","市","50.5","-0.6","-1.17","21,286","09/22","+12,736","-4,781","+468","+8,423","3,087","20.8","＋－＋"
"330","1587","吉茂","市","23.75","-0.2","-0.84","48","09/22","+11","0","0","+11","16.5","20.6","＋・・"
"331","2415","錩新","市","27","-0.15","-0.55","138","09/22","-64","0","+1","-63","20.6","20.6","－・＋"
"332","4726","永昕","櫃","22.65","-0.3","-1.31","174","09/22","+33","0","0","+33","42.6","20.6","＋・－"
"333","2467","志聖","市","528","+2","+0.38","744","09/22","-48","0","+2","-45","32.3","20.6","－・＋"
"334","9912","偉聯","市","13","+0.05","+0.39","9","09/22","+2","0","0","+2","11","20.5","＋・・"
"335","3189","景碩","市","909","+82","+9.92","29,109","09/22","+9,137","+179","+894","+10,210","108","20.5","＋＋＋"
"336","3693","營邦","櫃","700","-2","-0.28","2,110","09/22","+35","-10","-57","-32","8.79","20.4","＋－－"
"337","00681R","元大美債20反1","市","21.83","-0.03","-0.14","6","09/22","+1","0","+3","+4","1.55","20.4","＋・＋"
"338","00922","國泰台灣領袖50","市","43.71","+0.32","+0.74","9,867","09/22","-782","0","-1,957","-2,739","435","20.3","－・－"
"339","7769","鴻勁","市","6155","+155","+2.58","1,211","09/22","+239","-187","-8","+43","36.6","20.3","＋－－"
"340","3141","晶宏","櫃","89.2","-3.6","-3.88","4,006","09/22","+320","0","-56","+264","15.3","20.3","＋・－"
"341","4904","遠傳","市","105.5","-0.5","-0.47","2,638","09/22","-148","+234","+93","+179","730","20.2","－＋＋"
"342","3033","威健","市","41.45","-0.45","-1.07","2,227","09/22","-630","0","-166","-795","97.7","20.2","－・－"
"343","4728","雙美","櫃","393.5","-6","-1.5","2","09/22","-1","0","0","-1","11","20.1","－・・"
"344","6997","博弘","櫃","67","-2.3","-3.32","7","09/22","0","0","0","0","4.45","20.1","・・・"
"345","6206","飛捷","市","140.5","-1.5","-1.06","507","09/22","-36","0","-20","-56","28.6","20","－・－"
"346","2409","友達","市","36.65","+3.3","+9.9","1,162,431","09/22","+245,314","-43","+5,214","+250,485","1,506","20","＋－＋"
"347","4568","科際精密","櫃","39.65","-0.55","-1.37","9","09/22","-1","0","0","-1","6.39","19.9","－・・"
"348","2939","永邑-KY","市","19.95","+0.05","+0.25","9","09/22","+2","0","0","+2","9.05","19.9","＋・・"
"349","1617","榮星","市","19.6","+0.2","+1.03","2,088","09/22","-322","0","+1","-321","33.6","19.8","－・＋"
"350","6196","帆宣","市","535","0","0","1,221","09/22","+307","-61","+14","+259","43.5","19.8","＋－＋"
"351","7757","金色三麥","櫃","88.6","-1.3","-1.45","4","09/22","0","0","0","0","4.74","19.7","・・・"
"352","3703","欣陸","市","19.75","-0.05","-0.25","569","09/22","-124","0","0","-124","161","19.5","－・・"
"353","5425","台半","櫃","93.5","+0.2","+0.21","9,211","09/22","+2,179","0","+94","+2,273","51.5","19.5","＋・＋"
"354","5906","台南-KY","市","40.2","-1.8","-4.29","5","09/22","+1","0","0","+1","6.98","19.5","＋・・"
"355","8103","瀚荃","市","122.5","-6","-4.67","6,184","09/22","+231","0","-39","+193","15.3","19.5","＋・－"
"356","1467","南緯","市","8.15","+0.06","+0.74","214","09/22","+131","0","+3","+134","45.4","19.4","＋・＋"
"357","6166","凌華","市","127","+1.5","+1.2","7,119","09/22","+153","0","+4","+157","42.3","19.4","＋・＋"
"358","2377","微星","市","153.5","+0.5","+0.33","4,831","09/22","+516","-20","-21","+475","164","19.4","＋－－"
"359","6591","動力-KY","市","45.45","+0.25","+0.55","156","09/22","+41","0","0","+41","7.98","19.4","＋・・"
"360","3010","華立","市","124.5","-0.5","-0.4","379","09/22","-183","0","+1","-181","50.3","19.4","－・＋"
"361","3211","順達","櫃","385","-2.5","-0.65","6,245","09/22","-649","+280","-64","-432","29.9","19.4","－＋－"
"362","7610","聯友金屬-創","市","1905","+15","+0.79","605","09/22","+78","0","-1","+78","11.3","19.3","＋・－"
"363","2458","義隆","市","129.5","-1","-0.77","1,906","09/22","-474","-5","+11","-468","58.8","19.3","－－＋"
"364","3531","先益","櫃","21.2","0","0","9","09/22","0","0","0","0","11.8","19.3","・・・"
"365","9933","中鼎","市","40.9","-0.45","-1.09","1,236","09/22","-406","0","+57","-349","182","19.3","－・＋"
"366","8147","正淩","櫃","137.5","+2","+1.48","449","09/22","-88","0","+4","-84","8.05","19.3","－・＋"
"367","1785","光洋科","櫃","96","-1.4","-1.44","3,448","09/22","-384","0","0","-384","115","19.3","－・－"
"368","4164","承業醫","市","26.5","+0.25","+0.95","417","09/22","+87","0","-15","+72","37.4","19.2","＋・－"
"369","2364","倫飛","市","67.5","0","0","359","09/22","+78","0","-2","+76","11","19.1","＋・－"
"370","1410","南染","市","24.25","-0.2","-0.82","263","09/22","-2","0","0","-2","11.8","19","－・・"
"371","3045","台灣大","市","123","-1.5","-1.2","14,859","09/22","+3,840","-197","+300","+3,943","708","19","＋－＋"
"372","6683","雍智科技","櫃","1590","-85","-5.07","1,930","09/22","-225","-4","+10","-219","5.21","18.9","－－＋"
"373","6283","淳安","市","18.75","-0.05","-0.27","35","09/22","-4","0","0","-4","27.8","18.9","－・・"
"374","7717","萊德光電-KY","櫃","595","+3","+0.51","1,213","09/22","-32","0","-54","-85","4.67","18.8","－・－"
"375","2344","華邦電","市","171","-3","-1.72","97,425","09/22","+7,784","-15,495","-343","-8,054","847","18.8","＋－－"
"376","4960","誠美材","市","23.4","-0.05","-0.21","11,028","09/22","-669","0","+49","-620","108","18.8","－・＋"
"377","8081","致新","市","252","+1.5","+0.6","259","09/22","+14","-1","+1","+14","16.2","18.8","＋－＋"
"378","2881","富邦金","市","154.5","0","0","17,071","09/22","+352","-1,561","+198","-1,011","2,632","18.8","＋－＋"
"379","2204","中華","市","52.7","0","0","524","09/22","-164","+165","0","+2","104","18.8","－＋＋"
"380","2313","華通","市","222","0","0","15,507","09/22","+817","+404","-241","+980","231","18.7","＋＋－"
"381","3088","艾訊","櫃","128","-1","-0.78","596","09/22","+91","0","-5","+86","20.1","18.5","＋・－"
"382","3081","聯亞","櫃","2825","-50","-1.74","2,370","09/22","-503","+105","-20","-418","18.8","18.5","－＋－"
"383","4979","華星光","櫃","605","-13","-2.1","11,642","09/22","+20","-1,507","-19","-1,506","26.3","18.5","＋－－"
"384","2356","英業達","市","61.2","-0.6","-0.97","8,627","09/22","-1,579","-26","+54","-1,550","662","18.4","－－＋"
"385","00702","國泰標普低波高息","市","23.9","-0.08","-0.33","143","09/22","0","0","-21","-21","1.23","18.4","・・－"
"386","1519","華城","市","712","-6","-0.84","546","09/22","-9","-4","-5","-18","63.5","18.3","－－－"
"387","1605","華新","市","37","-0.1","-0.27","19,722","09/22","+2,231","0","+201","+2,432","810","18.3","＋・＋"
