統一代號,股票名稱,產業別,B0_股價日期,B0_成交,B0_漲跌幅,B0_成交張數,B0_成交額(百萬),B0_PER,B0_5日均額(百萬),B0_量價狀態,B0_金額日變化率(%),B0_爆發倍數(X),今日上榜,△,法人持股,最新動態,5日ΔChange,20日ΔChange,60日ΔChange,120日ΔChange,外資持股比,B2_外資成交動態,B2_投信成交動態,B2_外資發行動態,B2_投信發行動態,B3_連買狀態,軋空評估,套牢評估,B4_融資減幅_當日,B4_融資減張_當日,B4_借券減幅_當日,B4_借券減張_當日,B4_融券增幅_當日,B4_融券增張_當日,B4_融資增幅_當日,B4_借券增幅_當日,B5_1000張_週動態,B5_1000張_最新週,B5_1000張_6周,B5_800張_週動態,B5_800張_最新週,B5_800張_6周,B5_600張_週動態,B5_600張_最新週,B5_600張_6周,B5_400張_週動態,B5_400張_最新週,B5_400張_6周,B6_總額(億),B6_收盤價,B6_成交均價,B7_董監持股%,B7_董監質押%,B7_持股近月增減%,B7_持股動態,B7_持股近半年增減%,B7_質押近月增減%,B7_質押動態,B8_主力連買動態,B8_斥資(億),B8_乖離率(%),B8_吃豆腐動態,B8_吃貨斥資(萬),B8_上榜期程,B8_集中度動態,B8_單日Δ,B8_5日Δ
2938,床的世界,居家生活,09/23,18.8,2.17,225.0,4.2,,3.91,⚖️ 溫和震盪整理,431.6455696202531,1.07,,,,,,,,,,,,,,,,,,,,,,,,,🚨 劇減,-8.85,-8.85,🚨 劇減,-8.85,-8.85,🚨 劇減,-8.85,-8.85,🚨 劇減,-9.1,-9.1,,,,,,,,,,,,,,,,,,,
7812,稜研科技*,通信網路業,09/23,70.9,1.29,225.0,16.3,,24.95,⚖️ 溫和震盪整理,-51.488095238095234,0.65,,,,,,,,,0.00,,,,,🌐 外資日連買(2)-🆕 試單觀察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7825,和亞智慧,其他電子業,09/23,74.8,-0.93,193.0,14.6,,34.98,⚖️ 溫和震盪整理,-47.48201438848921,0.42,,,,,,,,,0.20,,,⚪ 觀望 (無資料),,,,,,,,,,,,,🔄 持平,0.0,-2.68,🔄 持平,-0.0,-3.46,🔄 持平,-0.0,-3.72,🔄 持平,-0.0,-6.14,,,,15.3,0,,無,,,無,,,,,,,,,
7856,漢測,半導體業,09/23,4730.0,0.0,631.0,2958.0,,6414.0,⚖️ 溫和震盪整理,-70.03039513677811,0.46,,,,,,,,,15.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,茂生農經,農業科技業,09/23,54.7,-0.18,12.0,0.63,10.2,0.31,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),6.779661016949157,2.03,,,,,,,,,3.70,,,,,,,⚠️ 初危,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,11.1,21.8,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
1264,德麥,食品工業,09/23,244.5,0.2,27.0,6.53,11.5,5.32,⏸️ 平量滯漲 (拋壓增大，高位見頂),-29.709364908503755,1.23,,,,,,,,,1.80,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,-2.24,🔄 持平,-0.0,-0.09,🔄 持平,-0.0,-0.09,,,,15.9,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,-0.39,🎯 成本保衛戰 (極佳吃豆腐點),294.0,,➡️ 橫盤震盪,0.37,0.69
1268,漢來美食,觀光餐旅,09/23,174.5,0.0,32.0,5.5,13.2,4.03,⏸️ 平量滯漲 (拋壓增大，高位見頂),307.40740740740733,1.36,,,,,,,,,1.80,,,,,🌐 外資日連買(3)-🆕 試單觀察 | 🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,2.63,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,16.0,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,0.76,🎯 成本保衛戰 (極佳吃豆腐點),1390.0,,,,
1294,漢田生技,食品工業,09/23,50.7,-0.2,20.0,1.0,12.4,0.82,⏸️ 平量滯漲 (拋壓增大，高位見頂),-30.069930069930063,1.22,,,,,,,,,2.10,,,,,🌐 外資週連買(3)-🌱 週線發動,,,,,,,,,,,↗️ 微增,0.01,3.24,↗️ 微增,0.01,7.54,↗️ 微增,0.01,0.52000004,↗️ 微增,0.01,4.0,,,,21.2,0,-4.199999,🚨 減/大減,0.10000038,0.0,➖ 持平,,,,,,,,,
1295,生合,食品工業,09/23,45.3,1.23,29.0,1.32,11.0,1.14,⏸️ 平量滯漲 (拋壓增大，高位見頂),38.947368421052644,1.16,,,,,,,,,1.40,,,,,,,,0.73,,,,,,,,🔄 持平,0.0,-0.040000003,🔄 持平,-0.0,4.6400003,🔄 持平,-0.0,0.3,🔄 持平,-0.0,1.42,,,,15.2,0,1.3000002,🔥 大增,-11.7,0.0,➖ 持平,,,,,,,,,
1336,台翰,電子零組件業,09/23,16.95,0.3,114.0,1.95,22.9,4.03,⚖️ 溫和震盪整理,111.95652173913042,0.48,,,,,,,,,4.50,🔥 強延續 (37.70%),,🔥 持續加碼 (0.06%),,🌐 外資日連買(6)-⚡ 買盤點火 | 🌐 外資週連買(5)-🚀 趨勢加溫,,,,-19.0,,,,,,,↗️ 微增,0.05,0.4,⚠️ 大減,-1.09,0.4,⚠️ 大減,-1.07,-1.29,📉 小減,-0.5,0.7300001,,,,29.2,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
